date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-24,DAL,False,False,L,18,8.0,3.0,5.0,0.0,0.0,2.0,3.0,7.0,0.429,0.0,2.0,0.0,2.0,3.0,0.667,5.9,-3.0
2024-10-26,HOU,True,False,W,27,8.0,1.0,3.0,2.0,1.0,3.0,2.0,8.0,0.25,0.0,2.0,0.0,4.0,6.0,0.667,3.3,5.0
2024-10-28,HOU,True,False,L,18,4.0,1.0,5.0,1.0,0.0,3.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,2.3,1.0
2024-10-30,OKC,False,False,L,20,0.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.5,-4.0
2024-10-31,UTA,False,True,W,21,8.0,4.0,1.0,1.0,0.0,0.0,3.0,8.0,0.375,1.0,2.0,0.5,1.0,2.0,0.5,5.3,3.0
2024-11-02,MIN,True,False,W,15,3.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,1.0,3.0,0.333,0.0,2.0,0.0,-0.4,3.0
2024-11-04,LAC,False,False,L,20,11.0,4.0,1.0,0.0,1.0,1.0,4.0,10.0,0.4,0.0,3.0,0.0,3.0,4.0,0.75,7.2,-13.0
2024-11-06,HOU,False,False,L,25,5.0,2.0,0.0,3.0,0.0,0.0,2.0,8.0,0.25,1.0,5.0,0.2,0.0,0.0,0.0,3.4,-17.0
2024-11-07,POR,True,True,W,25,14.0,3.0,6.0,0.0,0.0,0.0,6.0,11.0,0.545,0.0,3.0,0.0,2.0,2.0,1.0,13.8,12.0
2024-11-09,UTA,True,False,L,35,23.0,2.0,3.0,2.0,0.0,1.0,8.0,16.0,0.5,3.0,7.0,0.429,4.0,5.0,0.8,16.7,-3.0
2024-11-11,SAC,True,False,W,31,10.0,4.0,6.0,1.0,1.0,3.0,4.0,11.0,0.364,2.0,5.0,0.4,0.0,0.0,0.0,8.0,15.0
2024-11-13,WAS,True,False,W,27,10.0,1.0,5.0,0.0,1.0,2.0,3.0,6.0,0.5,1.0,3.0,0.333,3.0,4.0,0.75,8.3,11.0
2024-11-15,LAL,True,False,L,33,22.0,2.0,5.0,0.0,0.0,1.0,7.0,12.0,0.583,3.0,4.0,0.75,5.0,8.0,0.625,18.7,17.0
2024-11-16,DAL,False,True,L,28,12.0,4.0,3.0,2.0,0.0,2.0,4.0,11.0,0.364,2.0,4.0,0.5,2.0,2.0,1.0,10.0,-19.0
2024-11-19,OKC,True,False,W,35,10.0,3.0,8.0,0.0,1.0,7.0,3.0,13.0,0.231,1.0,7.0,0.143,3.0,4.0,0.75,1.5,15.0
2024-11-21,UTA,True,False,W,35,18.0,3.0,6.0,1.0,1.0,2.0,6.0,14.0,0.429,1.0,3.0,0.333,5.0,5.0,1.0,15.4,4.0
2024-11-23,GSW,True,False,W,33,19.0,3.0,3.0,1.0,0.0,2.0,7.0,15.0,0.467,2.0,7.0,0.286,3.0,4.0,0.75,12.5,14.0
2024-11-26,UTA,False,False,W,29,23.0,3.0,5.0,0.0,1.0,1.0,9.0,20.0,0.45,3.0,8.0,0.375,2.0,4.0,0.5,14.7,-8.0
2024-11-27,LAL,True,True,L,30,10.0,4.0,7.0,1.0,0.0,2.0,3.0,9.0,0.333,1.0,4.0,0.25,3.0,4.0,0.75,9.6,-9.0
2024-12-01,SAC,False,False,W,33,8.0,0.0,1.0,0.0,1.0,3.0,3.0,12.0,0.25,2.0,7.0,0.286,0.0,0.0,0.0,-1.2,-7.0
2024-12-03,PHX,False,False,L,34,16.0,1.0,3.0,1.0,0.0,3.0,5.0,14.0,0.357,1.0,6.0,0.167,5.0,6.0,0.833,7.8,5.0
2024-12-05,CHI,True,False,L,23,12.0,2.0,6.0,2.0,1.0,1.0,2.0,9.0,0.222,0.0,2.0,0.0,8.0,10.0,0.8,12.2,-12.0
2024-12-06,SAC,True,True,L,29,15.0,3.0,5.0,3.0,0.0,2.0,5.0,15.0,0.333,2.0,7.0,0.286,3.0,4.0,0.75,11.1,-15.0
2024-12-08,NOP,True,False,W,34,22.0,5.0,4.0,1.0,0.0,4.0,8.0,15.0,0.533,2.0,5.0,0.4,4.0,5.0,0.8,15.2,-8.0
2024-12-15,MIN,True,False,L,23,2.0,2.0,5.0,0.0,0.0,3.0,1.0,8.0,0.125,0.0,3.0,0.0,0.0,0.0,0.0,-2.5,-23.0
