date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2013-10-30,UTA,False,False,W,18,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,-7.0
2013-11-01,MIN,False,False,L,23,8.0,8.0,1.0,0.0,1.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,4.0,6.0,0.667,8.3,-14.0
2013-11-03,PHX,True,False,W,9,2.0,4.0,0.0,0.0,1.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-7.0
2013-11-06,DAL,True,False,W,20,6.0,9.0,0.0,2.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,10.5,8.0
2013-11-08,DET,False,False,W,31,17.0,10.0,3.0,1.0,3.0,0.0,7.0,10.0,0.7,0.0,0.0,0.0,3.0,4.0,0.75,20.6,20.0
2013-11-10,WAS,True,False,W,20,1.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.9,0.0
2013-11-13,LAC,False,False,L,21,7.0,4.0,0.0,0.0,1.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,2.0,0.5,5.9,-5.0
2013-11-14,GSW,False,True,L,14,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,-10.0
2013-11-16,MIL,False,False,W,14,2.0,7.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.8,10.0
2013-11-18,DEN,True,False,W,6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0
2013-11-21,LAC,True,False,W,24,6.0,7.0,2.0,0.0,3.0,1.0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,4.0,0.5,6.7,10.0
2013-11-24,UTA,True,False,W,27,3.0,7.0,2.0,1.0,0.0,4.0,1.0,5.0,0.2,0.0,0.0,0.0,1.0,2.0,0.5,-1.6,-4.0
2013-11-27,SAS,True,False,W,12,2.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-3.0
2013-11-29,GSW,True,False,W,14,5.0,7.0,1.0,0.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,7.2,-13.0
2013-12-01,MIN,True,False,W,9,2.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,-3.0
2013-12-03,SAC,False,False,W,14,3.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,3.4,10.0
2013-12-04,POR,False,True,L,13,5.0,5.0,1.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,4.1,-8.0
2013-12-06,NOP,False,False,W,4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-4.0
2013-12-08,IND,True,False,W,18,5.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,6.9,0.0
2013-12-10,ATL,False,False,W,11,4.0,4.0,1.0,0.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,5.7,-3.0
2013-12-11,MEM,False,True,W,16,3.0,5.0,0.0,1.0,0.0,3.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.3,3.0
2013-12-13,LAL,True,False,W,15,1.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,4.8,24.0
2013-12-15,ORL,True,False,W,20,6.0,4.0,0.0,2.0,1.0,3.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,4.8,4.0
2013-12-17,DEN,False,False,W,9,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-1.3,-1.0
2013-12-19,CHI,True,False,W,27,4.0,7.0,0.0,4.0,2.0,2.0,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,6.3,7.0
2013-12-21,SAS,False,False,W,19,4.0,6.0,0.0,1.0,2.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,4.0,0.5,3.9,1.0
2013-12-22,TOR,True,True,L,11,0.0,5.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,6.0
2013-12-25,NYK,False,False,W,12,5.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,5.5,9.0
2013-12-27,CHA,False,False,W,16,6.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,6.0,0.667,6.8,1.0
2013-12-29,HOU,True,False,W,6,6.0,1.0,1.0,0.0,0.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,4.4,6.0
2013-12-31,POR,True,False,L,20,4.0,3.0,1.0,0.0,0.0,3.0,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,-0.6,-6.0
2014-01-02,BKN,True,False,L,14,7.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,0.667,0.0,0.0,0.0,3.0,4.0,0.75,6.2,-2.0
2014-01-04,MIN,False,False,W,16,10.0,9.0,0.0,0.0,2.0,2.0,4.0,5.0,0.8,0.0,0.0,0.0,2.0,2.0,1.0,11.0,1.0
2014-01-05,BOS,True,True,W,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-5.0
2014-01-07,UTA,False,False,L,12,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.8,-10.0
2014-01-09,DEN,False,False,L,19,3.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,2.7,-1.0
2014-01-11,MIL,True,False,W,11,1.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,4.0
2014-01-14,MEM,False,False,L,21,5.0,9.0,0.0,1.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,1.0,1.0,1.0,6.0,10.0
2014-01-16,HOU,False,False,W,10,5.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,1.9,-6.0
2014-01-17,GSW,True,True,W,11,6.0,5.0,0.0,1.0,0.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,4.7,8.0
2014-01-19,SAC,True,False,W,19,0.0,7.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,6.0
2014-01-21,POR,True,False,W,17,4.0,6.0,1.0,0.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,5.9,-1.0
2014-01-22,SAS,False,True,W,14,1.0,7.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.7,0.0
2014-01-24,BOS,False,False,W,20,3.0,5.0,0.0,0.0,1.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,1.4,-2.0
2014-01-25,PHI,False,True,W,8,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.3,7.0
2014-01-27,ATL,True,False,W,10,2.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,3.2,1.0
2014-01-29,MIA,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2014-01-31,BKN,False,False,W,12,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.6,-5.0
2014-02-01,WAS,False,True,L,14,2.0,3.0,0.0,0.0,1.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-4.0
2014-02-03,MEM,True,False,W,23,3.0,5.0,1.0,1.0,4.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,4.0,0.25,5.0,0.0
2014-02-05,MIN,True,False,W,8,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-9.0
2014-02-07,ORL,False,False,L,11,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,5.0
2014-02-09,NYK,True,False,W,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-1.0
2014-02-11,POR,False,False,W,13,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,4.0
2014-02-13,LAL,False,False,W,8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,-6.0
