date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2009-10-29,SAS,True,False,W,16,6.0,6.0,1.0,0.0,0.0,0.0,1.0,6.0,0.167,0.0,0.0,0.0,4.0,5.0,0.8,4.3,0.0
2009-10-30,BOS,False,True,L,23,6.0,2.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,-2.0
2009-11-01,MIA,False,False,L,17,4.0,4.0,0.0,0.0,1.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.3,-5.0
2009-11-03,MIL,True,False,W,21,5.0,6.0,0.0,1.0,1.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,4.0,0.25,3.3,-6.0
2009-11-05,CLE,False,False,W,34,11.0,7.0,0.0,1.0,2.0,0.0,5.0,12.0,0.417,0.0,0.0,0.0,1.0,2.0,0.5,9.1,0.0
2009-11-07,CHA,True,False,W,19,6.0,2.0,0.0,0.0,0.0,2.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
2009-11-10,DEN,True,False,L,28,10.0,6.0,1.0,3.0,1.0,2.0,5.0,8.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,10.2,16.0
2009-11-11,TOR,False,True,L,34,18.0,5.0,2.0,2.0,2.0,1.0,8.0,13.0,0.615,0.0,0.0,0.0,2.0,4.0,0.5,17.0,-10.0
2009-11-14,PHI,True,False,W,17,0.0,6.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,-10.0
2009-11-17,SAC,False,False,W,11,6.0,2.0,0.0,0.0,1.0,3.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2009-11-19,LAL,False,False,L,18,4.0,7.0,1.0,0.0,0.0,2.0,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.8,-5.0
2009-11-21,DEN,False,False,L,39,9.0,12.0,1.0,2.0,1.0,1.0,3.0,6.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,12.8,-4.0
2009-11-23,POR,False,False,L,34,6.0,6.0,2.0,0.0,3.0,1.0,3.0,11.0,0.273,0.0,0.0,0.0,0.0,2.0,0.0,1.4,-9.0
2009-11-26,UTA,False,False,L,29,8.0,6.0,0.0,0.0,2.0,3.0,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,4.7,-13.0
2009-11-30,MIL,False,False,L,18,8.0,4.0,0.0,1.0,1.0,2.0,3.0,6.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,4.7,-7.0
2009-12-02,DET,True,False,W,20,9.0,5.0,0.0,0.0,0.0,1.0,4.0,6.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,4.9,3.0
2009-12-04,CLE,False,False,L,36,14.0,13.0,0.0,1.0,0.0,0.0,7.0,14.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,10.7,-8.0
2009-12-05,TOR,True,True,L,24,3.0,5.0,0.0,1.0,1.0,4.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,4.0,0.25,-1.9,-27.0
2009-12-08,NJN,True,False,L,36,20.0,6.0,2.0,0.0,3.0,1.0,8.0,13.0,0.615,0.0,0.0,0.0,4.0,8.0,0.5,16.4,1.0
2009-12-09,ATL,False,True,L,19,11.0,3.0,0.0,1.0,0.0,1.0,5.0,8.0,0.625,0.0,0.0,0.0,1.0,2.0,0.5,6.7,-15.0
2009-12-11,GSW,True,False,W,17,9.0,11.0,0.0,0.0,0.0,3.0,4.0,7.0,0.571,0.0,0.0,0.0,1.0,2.0,0.5,6.4,-2.0
2009-12-12,BOS,True,True,L,34,12.0,11.0,1.0,2.0,2.0,1.0,3.0,9.0,0.333,0.0,0.0,0.0,6.0,7.0,0.857,12.5,-19.0
2009-12-15,LAL,True,False,L,23,6.0,6.0,1.0,0.0,2.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,4.0,0.5,6.8,-15.0
2009-12-17,NYK,True,False,W,29,12.0,10.0,0.0,1.0,2.0,0.0,6.0,11.0,0.545,0.0,0.0,0.0,0.0,1.0,0.0,10.9,23.0
2009-12-19,ATL,True,False,W,25,10.0,8.0,1.0,0.0,2.0,3.0,5.0,9.0,0.556,0.0,0.0,0.0,0.0,0.0,0.0,7.2,-14.0
2009-12-21,SAC,True,False,L,22,10.0,9.0,0.0,0.0,0.0,2.0,4.0,9.0,0.444,0.0,0.0,0.0,2.0,3.0,0.667,6.0,-9.0
2009-12-22,NYK,False,True,L,32,8.0,4.0,1.0,0.0,0.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,2.0,3.0,0.667,6.1,8.0
2009-12-26,NOH,True,False,W,9,5.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,1.0,1.0,5.1,10.0
2009-12-29,IND,True,False,W,18,6.0,5.0,0.0,0.0,0.0,3.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-2.0
2009-12-31,DET,False,False,W,23,8.0,4.0,0.0,2.0,0.0,2.0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,6.6,15.0
2010-01-02,ORL,True,False,W,33,10.0,12.0,2.0,0.0,3.0,1.0,4.0,11.0,0.364,0.0,0.0,0.0,2.0,2.0,1.0,12.0,4.0
2010-01-04,OKC,True,False,L,27,10.0,9.0,0.0,3.0,0.0,0.0,4.0,11.0,0.364,0.0,0.0,0.0,2.0,2.0,1.0,12.0,3.0
2010-01-05,CHA,False,True,L,22,8.0,3.0,0.0,1.0,0.0,2.0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.7,2.0
2010-01-08,MIL,False,False,L,24,6.0,2.0,1.0,1.0,0.0,1.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.9,4.0
2010-01-09,MIN,True,True,W,23,13.0,9.0,0.0,0.0,1.0,0.0,4.0,8.0,0.5,0.0,0.0,0.0,5.0,6.0,0.833,12.0,8.0
2010-01-11,DET,True,False,W,22,7.0,4.0,0.0,0.0,0.0,2.0,2.0,5.0,0.4,0.0,0.0,0.0,3.0,3.0,1.0,3.5,11.0
2010-01-14,BOS,False,False,W,29,14.0,6.0,2.0,2.0,2.0,0.0,7.0,14.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,12.8,16.0
2010-01-15,WAS,True,True,W,14,4.0,3.0,1.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.2,-2.0
2010-01-18,GSW,False,False,L,28,10.0,9.0,0.0,0.0,2.0,1.0,3.0,7.0,0.429,0.0,0.0,0.0,4.0,6.0,0.667,7.8,-11.0
2010-01-20,LAC,False,False,L,11,4.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-7.0
2010-01-22,PHX,False,False,W,28,6.0,8.0,0.0,0.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,4.9,2.0
2010-01-23,HOU,False,True,W,43,16.0,14.0,2.0,0.0,1.0,2.0,6.0,8.0,0.75,0.0,0.0,0.0,4.0,6.0,0.667,16.3,19.0
2010-01-25,SAS,False,False,W,26,8.0,7.0,1.0,0.0,3.0,1.0,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,9.5,-4.0
2010-01-27,OKC,False,False,W,35,4.0,15.0,0.0,0.0,2.0,1.0,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,5.5,16.0
