date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-19,ATL,False,False,L,15,8.0,7.0,0.0,0.0,0.0,0.0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,8.3,-1.0
2022-10-21,MEM,True,False,L,20,6.0,7.0,1.0,0.0,1.0,0.0,2.0,6.0,0.333,1.0,2.0,0.5,1.0,1.0,1.0,6.1,11.0
2022-10-22,MIL,False,True,L,19,11.0,2.0,1.0,1.0,3.0,1.0,4.0,9.0,0.444,3.0,4.0,0.75,0.0,0.0,0.0,8.5,-7.0
2022-10-24,UTA,True,False,W,19,11.0,9.0,0.0,3.0,0.0,1.0,4.0,12.0,0.333,0.0,2.0,0.0,3.0,4.0,0.75,9.3,7.0
2022-10-26,UTA,False,False,L,23,3.0,6.0,1.0,1.0,0.0,0.0,1.0,7.0,0.143,1.0,4.0,0.25,0.0,0.0,0.0,1.6,-11.0
2022-10-28,POR,False,False,L,15,4.0,3.0,0.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.9,-1.0
2022-10-30,PHX,False,False,L,12,9.0,2.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8.3,-4.0
2022-10-31,LAC,False,True,L,12,6.0,1.0,0.0,1.0,0.0,1.0,2.0,7.0,0.286,0.0,1.0,0.0,2.0,2.0,1.0,2.2,-3.0
2022-11-02,LAC,True,False,L,18,6.0,7.0,2.0,1.0,3.0,2.0,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,7.3,-4.0
2022-11-05,MIN,False,False,L,24,17.0,6.0,2.0,1.0,0.0,1.0,6.0,8.0,0.75,2.0,2.0,1.0,3.0,5.0,0.6,16.2,2.0
2022-11-07,ORL,False,False,W,20,8.0,6.0,0.0,2.0,0.0,1.0,3.0,7.0,0.429,2.0,3.0,0.667,0.0,0.0,0.0,6.7,13.0
2022-11-09,TOR,False,False,L,21,14.0,6.0,5.0,5.0,0.0,2.0,5.0,15.0,0.333,0.0,2.0,0.0,4.0,5.0,0.8,14.2,9.0
2022-11-12,NOP,False,False,L,21,5.0,2.0,3.0,3.0,0.0,1.0,1.0,4.0,0.25,1.0,3.0,0.333,2.0,2.0,1.0,6.1,6.0
2022-11-14,LAC,True,False,L,15,9.0,3.0,0.0,2.0,0.0,0.0,4.0,7.0,0.571,1.0,3.0,0.333,0.0,0.0,0.0,9.0,-7.0
2022-11-16,DAL,False,False,W,18,8.0,7.0,0.0,0.0,1.0,2.0,3.0,5.0,0.6,0.0,1.0,0.0,2.0,2.0,1.0,5.7,12.0
2022-11-18,IND,True,False,L,19,4.0,6.0,0.0,0.0,0.0,2.0,1.0,9.0,0.111,0.0,1.0,0.0,2.0,2.0,1.0,-1.7,-12.0
2022-11-20,GSW,True,False,L,23,19.0,8.0,1.0,3.0,0.0,0.0,8.0,14.0,0.571,1.0,5.0,0.2,2.0,2.0,1.0,18.9,7.0
2022-11-25,ATL,True,False,W,19,6.0,7.0,0.0,1.0,0.0,0.0,2.0,9.0,0.222,0.0,1.0,0.0,2.0,2.0,1.0,4.4,4.0
2022-11-26,OKC,True,True,W,17,7.0,6.0,0.0,2.0,0.0,2.0,3.0,8.0,0.375,1.0,1.0,1.0,0.0,0.0,0.0,4.0,-10.0
2022-11-28,DEN,False,False,L,19,6.0,3.0,0.0,1.0,0.0,1.0,2.0,6.0,0.333,1.0,3.0,0.333,1.0,2.0,0.5,3.1,-12.0
2022-11-30,DEN,False,False,L,14,4.0,5.0,2.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,4.0,4.0,1.0,5.1,-8.0
2022-12-02,PHX,False,False,W,18,9.0,5.0,0.0,0.0,0.0,1.0,4.0,8.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,5.1,6.0
2022-12-03,GSW,False,True,L,29,13.0,10.0,1.0,0.0,0.0,0.0,6.0,10.0,0.6,0.0,0.0,0.0,1.0,2.0,0.5,12.5,10.0
2022-12-05,PHI,True,False,W,21,18.0,6.0,0.0,3.0,1.0,0.0,7.0,11.0,0.636,2.0,3.0,0.667,2.0,2.0,1.0,19.4,0.0
2022-12-08,SAS,False,False,L,23,8.0,6.0,2.0,0.0,1.0,1.0,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,9.7,7.0
2022-12-11,MIL,True,False,W,13,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-8.0
2022-12-13,PHX,True,False,W,19,10.0,7.0,0.0,1.0,2.0,3.0,3.0,8.0,0.375,0.0,3.0,0.0,4.0,4.0,1.0,7.5,1.0
2022-12-15,MIA,True,False,L,16,5.0,5.0,1.0,0.0,1.0,1.0,2.0,7.0,0.286,1.0,2.0,0.5,0.0,0.0,0.0,2.0,4.0
2022-12-17,POR,True,False,L,23,13.0,6.0,1.0,0.0,0.0,1.0,6.0,14.0,0.429,1.0,3.0,0.333,0.0,0.0,0.0,7.1,4.0
2022-12-19,SAS,True,False,L,24,11.0,4.0,0.0,1.0,0.0,1.0,3.0,5.0,0.6,1.0,2.0,0.5,4.0,6.0,0.667,9.1,-3.0
2022-12-21,ORL,True,False,L,21,9.0,3.0,1.0,0.0,0.0,2.0,2.0,4.0,0.5,2.0,3.0,0.667,3.0,4.0,0.75,4.6,-15.0
2022-12-23,DAL,True,False,L,21,7.0,3.0,0.0,1.0,1.0,4.0,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,2.9,-15.0
2022-12-26,CHI,False,False,W,17,9.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,4.0,4.0,1.0,10.3,0.0
2022-12-27,BOS,False,True,L,17,6.0,5.0,1.0,0.0,1.0,0.0,2.0,9.0,0.222,2.0,6.0,0.333,0.0,0.0,0.0,3.4,-11.0
2022-12-29,DAL,False,False,L,18,6.0,8.0,1.0,0.0,0.0,1.0,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,3.6,-8.0
2022-12-31,NYK,True,False,L,24,9.0,13.0,1.0,3.0,1.0,3.0,4.0,11.0,0.364,1.0,5.0,0.2,0.0,1.0,0.0,9.8,0.0
2023-01-02,DAL,True,False,L,16,2.0,7.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2023-01-04,NOP,False,False,L,15,4.0,4.0,3.0,1.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,2.0,0.0,4.0,-11.0
2023-01-05,UTA,True,True,L,20,4.0,6.0,2.0,1.0,2.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,6.3,10.0
2023-01-08,MIN,True,False,L,16,3.0,4.0,2.0,1.0,1.0,0.0,1.0,5.0,0.2,1.0,2.0,0.5,0.0,0.0,0.0,3.4,0.0
2023-01-11,SAC,False,False,L,19,7.0,3.0,0.0,0.0,0.0,2.0,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.5,-10.0
2023-01-13,SAC,False,False,L,13,7.0,3.0,1.0,1.0,1.0,0.0,3.0,5.0,0.6,0.0,2.0,0.0,1.0,1.0,1.0,7.2,-2.0
2023-01-15,LAC,False,False,L,20,11.0,4.0,2.0,3.0,1.0,0.0,5.0,6.0,0.833,1.0,1.0,1.0,0.0,0.0,0.0,15.1,-14.0
2023-01-16,LAL,False,True,L,20,9.0,7.0,0.0,0.0,1.0,1.0,4.0,6.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,9.4,7.0
2023-01-18,CHA,True,False,L,19,7.0,5.0,1.0,0.0,0.0,2.0,3.0,11.0,0.273,1.0,3.0,0.333,0.0,0.0,0.0,1.5,-4.0
2023-01-21,MIN,False,False,L,27,14.0,9.0,1.0,0.0,0.0,1.0,5.0,11.0,0.455,1.0,2.0,0.5,3.0,4.0,0.75,11.5,-2.0
2023-01-23,MIN,True,False,W,26,11.0,9.0,3.0,3.0,2.0,2.0,5.0,8.0,0.625,0.0,0.0,0.0,1.0,2.0,0.5,14.2,0.0
2023-01-25,WAS,True,False,L,19,5.0,3.0,1.0,0.0,2.0,2.0,2.0,4.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,4.0,-6.0
2023-01-26,CLE,True,True,L,25,18.0,11.0,3.0,0.0,1.0,3.0,8.0,13.0,0.615,0.0,3.0,0.0,2.0,3.0,0.667,15.6,-5.0
2023-01-28,DET,False,False,W,31,16.0,10.0,1.0,2.0,0.0,2.0,7.0,15.0,0.467,1.0,3.0,0.333,1.0,1.0,1.0,13.2,11.0
