date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2016-10-27,WAS,True,False,W,4,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-4.0
2016-10-29,PHI,False,False,W,6,4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,3.7,6.0
2016-11-05,HOU,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2016-11-08,CLE,False,False,W,9,2.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8,7.0
2016-11-12,PHI,True,False,W,3,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.0
2016-11-16,MIL,True,False,W,19,8.0,5.0,1.0,1.0,2.0,2.0,2.0,5.0,0.4,0.0,3.0,0.0,4.0,4.0,1.0,7.1,8.0
2016-11-18,CHA,False,False,L,17,2.0,4.0,2.0,1.0,0.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.4,8.0
2016-11-20,NYK,False,False,L,18,4.0,5.0,0.0,0.0,1.0,0.0,2.0,8.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,2.2,-5.0
2016-11-22,NOP,True,False,L,17,10.0,1.0,0.0,0.0,0.0,1.0,4.0,6.0,0.667,2.0,4.0,0.5,0.0,0.0,0.0,6.7,15.0
2016-11-23,IND,False,True,W,16,8.0,4.0,0.0,1.0,1.0,1.0,3.0,4.0,0.75,1.0,2.0,0.5,1.0,2.0,0.5,7.1,23.0
2016-11-25,UTA,False,False,L,19,9.0,4.0,3.0,0.0,0.0,1.0,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,7.1,-25.0
2016-11-27,LAL,False,False,L,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-4.0
2016-12-02,DET,True,False,L,17,5.0,6.0,1.0,0.0,0.0,0.0,1.0,6.0,0.167,1.0,4.0,0.25,2.0,2.0,1.0,3.7,-17.0
2016-12-03,TOR,False,True,L,9,2.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,-1.7,-19.0
2016-12-07,MIA,True,False,W,12,4.0,2.0,1.0,0.0,1.0,0.0,1.0,5.0,0.2,0.0,1.0,0.0,2.0,2.0,1.0,1.7,-4.0
2016-12-09,MIL,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-5.0
2016-12-13,ORL,True,False,L,2,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,4.0
2016-12-21,MIN,True,False,L,11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9,-2.0
2016-12-23,DEN,False,False,W,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.6,-1.0
2016-12-26,MIN,False,False,L,10,2.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0
2017-01-07,DAL,False,False,W,14,2.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.9,-9.0
2017-01-10,BKN,False,False,W,20,8.0,6.0,1.0,1.0,2.0,2.0,2.0,6.0,0.333,2.0,4.0,0.5,2.0,2.0,1.0,8.3,5.0
2017-01-13,BOS,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-16,NYK,False,False,W,7,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.0
2017-01-18,DET,False,False,L,20,10.0,2.0,1.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,1.0,0.0,6.0,6.0,1.0,6.8,4.0
2017-01-20,CHI,True,False,W,9,2.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,-5.4,-18.0
2017-01-27,WAS,True,False,L,12,2.0,3.0,2.0,1.0,0.0,1.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,1.5,-1.0
2017-01-29,NYK,True,False,W,4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-9.0
2017-02-01,MIA,False,False,L,6,3.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,2.9,5.0
2017-02-04,ORL,True,False,W,5,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.833,5.6,6.0
2017-02-06,UTA,True,False,L,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-5.0
2017-02-13,POR,False,False,W,25,5.0,5.0,0.0,3.0,0.0,0.0,1.0,4.0,0.25,1.0,3.0,0.333,2.0,2.0,1.0,5.1,8.0
2017-02-15,LAC,False,False,L,25,8.0,5.0,0.0,0.0,0.0,3.0,3.0,8.0,0.375,1.0,4.0,0.25,1.0,1.0,1.0,1.7,-6.0
2017-02-24,MIA,True,False,L,16,8.0,4.0,1.0,1.0,0.0,2.0,3.0,7.0,0.429,0.0,0.0,0.0,2.0,2.0,1.0,4.4,-7.0
2017-02-25,ORL,False,True,L,27,11.0,4.0,0.0,1.0,1.0,2.0,4.0,7.0,0.571,2.0,3.0,0.667,1.0,2.0,0.5,9.0,3.0
2017-02-27,BOS,False,False,W,30,8.0,12.0,3.0,2.0,1.0,1.0,3.0,9.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,11.5,10.0
2017-03-01,DAL,True,False,W,12,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,-1.6,1.0
2017-03-03,CLE,True,False,L,12,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.9,5.0
2017-03-05,IND,True,False,L,9,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.9,-10.0
2017-03-06,GSW,True,True,L,10,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.6,-3.0
2017-03-08,BKN,True,False,W,14,2.0,1.0,0.0,2.0,0.0,0.0,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.4,-3.0
2017-03-10,TOR,True,False,W,9,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,-2.0
2017-03-11,MEM,False,True,W,31,17.0,3.0,2.0,2.0,2.0,2.0,5.0,6.0,0.833,3.0,4.0,0.75,4.0,4.0,1.0,18.5,14.0
2017-03-13,SAS,False,False,L,10,5.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.5,-2.0
2017-03-16,MEM,True,False,L,29,16.0,6.0,1.0,0.0,4.0,3.0,6.0,10.0,0.6,2.0,4.0,0.5,2.0,2.0,1.0,13.3,-2.0
2017-03-18,POR,True,False,L,31,8.0,6.0,2.0,0.0,3.0,1.0,2.0,9.0,0.222,0.0,3.0,0.0,4.0,5.0,0.8,6.4,0.0
2017-03-20,CHA,False,False,L,30,11.0,4.0,2.0,0.0,0.0,1.0,4.0,13.0,0.308,1.0,3.0,0.333,2.0,4.0,0.5,3.5,-13.0
2017-03-22,WAS,False,False,L,28,7.0,4.0,2.0,1.0,1.0,1.0,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,0.0,5.5,-15.0
2017-03-24,MIL,False,False,L,19,5.0,1.0,1.0,2.0,0.0,2.0,2.0,5.0,0.4,0.0,1.0,0.0,1.0,1.0,1.0,2.5,3.0
2017-03-26,BKN,True,False,L,38,17.0,7.0,1.0,3.0,1.0,1.0,5.0,13.0,0.385,2.0,4.0,0.5,5.0,6.0,0.833,15.0,11.0
2017-03-28,PHX,True,False,W,36,15.0,6.0,1.0,1.0,2.0,2.0,5.0,10.0,0.5,1.0,4.0,0.25,4.0,5.0,0.8,10.5,5.0
2017-03-29,PHI,False,True,W,35,9.0,4.0,0.0,2.0,0.0,4.0,2.0,8.0,0.25,1.0,3.0,0.333,4.0,4.0,1.0,3.0,0.0
2017-04-01,CHI,False,False,L,26,9.0,3.0,1.0,3.0,0.0,2.0,3.0,9.0,0.333,0.0,4.0,0.0,3.0,6.0,0.5,4.1,-3.0
2017-04-02,BKN,False,True,L,36,13.0,5.0,2.0,2.0,1.0,0.0,5.0,12.0,0.417,1.0,3.0,0.333,2.0,5.0,0.4,9.8,1.0
2017-04-06,BOS,True,False,W,41,20.0,7.0,4.0,0.0,0.0,3.0,7.0,13.0,0.538,2.0,3.0,0.667,4.0,4.0,1.0,15.2,8.0
2017-04-07,CLE,False,True,W,25,5.0,4.0,1.0,1.0,0.0,4.0,2.0,9.0,0.222,1.0,4.0,0.25,0.0,0.0,0.0,-3.6,-16.0
