date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-10-24,GSW,False,False,W,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-3.0
2019-10-26,PHX,False,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-28,CHA,True,False,W,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
2019-10-30,UTA,False,False,L,10,4.0,3.0,5.0,1.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,7.1,9.0
2019-11-03,UTA,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-11,TOR,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-13,HOU,False,False,L,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.0
2019-11-14,NOP,False,True,L,25,5.0,2.0,4.0,1.0,0.0,3.0,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,2.2,-2.0
2019-11-16,ATL,True,False,W,33,13.0,6.0,8.0,0.0,0.0,2.0,6.0,8.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,13.6,41.0
2019-11-18,OKC,True,False,W,21,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,3.0,4.0,0.75,-0.8,-8.0
2019-11-20,BOS,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2019-11-24,NOP,True,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,5.0
2019-11-26,DAL,False,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-9.0
2019-11-27,MEM,False,True,W,14,6.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,5.5,-1.0
2019-11-29,SAS,False,False,L,4,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.0
2019-12-01,WAS,True,False,W,15,7.0,3.0,0.0,1.0,1.0,2.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,5.2,2.0
2019-12-03,POR,True,False,W,10,5.0,1.0,2.0,0.0,0.0,1.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,3.4,2.0
2019-12-06,MIL,False,False,L,10,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3.0
2019-12-08,WAS,False,False,W,11,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-18.0
2019-12-11,TOR,False,False,W,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-1.0
2019-12-13,MIN,False,False,W,18,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,11.0
2019-12-14,CHI,False,True,L,16,5.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,4.2,-16.0
2020-01-10,GSW,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-12,DEN,False,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,CLE,True,False,W,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.5,-10.0
2020-01-16,ORL,True,False,W,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,6.0
2020-01-18,NOP,False,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,ATL,False,False,L,15,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.9,-9.0
2020-01-26,ORL,False,False,W,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0
2020-02-01,MIN,True,False,W,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-5.0
2020-02-08,MIN,False,False,L,15,3.0,1.0,5.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,5.2,-3.0
2020-02-09,CLE,False,True,W,12,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,7.0
2020-02-11,PHI,False,False,L,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0
2020-02-13,BOS,False,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,1.0
2020-02-22,SAC,True,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,NOP,True,False,W,12,3.0,3.0,2.0,1.0,0.0,0.0,1.0,5.0,0.2,1.0,1.0,1.0,0.0,0.0,0.0,3.2,-14.0
2020-08-06,DAL,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-08,POR,False,False,W,12,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,1.6,11.0
2020-08-09,BKN,True,True,L,23,14.0,3.0,0.0,0.0,0.0,0.0,6.0,7.0,0.857,2.0,3.0,0.667,0.0,0.0,0.0,11.2,-1.0
2020-08-12,DEN,False,False,W,2,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
2020-08-14,OKC,True,False,W,42,25.0,14.0,9.0,2.0,0.0,3.0,8.0,12.0,0.667,1.0,3.0,0.333,8.0,13.0,0.615,26.9,-7.0
2020-12-22,LAL,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
2020-12-25,DEN,False,False,W,5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,-4.0
2020-12-27,DAL,True,False,L,24,4.0,3.0,2.0,0.0,0.0,1.0,2.0,8.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,-0.3,-29.0
2020-12-29,MIN,True,False,W,25,4.0,4.0,3.0,0.0,1.0,1.0,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.0
2020-12-30,POR,True,True,W,8,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-6.0
2021-01-01,UTA,False,False,L,7,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0
2021-01-05,SAS,True,False,L,9,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.2,-20.0
2021-01-06,GSW,False,True,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2021-01-08,GSW,False,False,L,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.0
2021-01-10,CHI,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2021-01-15,SAC,False,False,W,30,13.0,9.0,1.0,3.0,0.0,3.0,5.0,8.0,0.625,2.0,3.0,0.667,1.0,4.0,0.25,12.4,18.0
2021-01-17,IND,True,False,W,11,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9,7.0
2021-01-20,SAC,True,False,W,3,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.9,2.0
2021-01-22,OKC,True,False,W,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
2021-01-24,OKC,True,False,W,4,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,-1.0
2021-01-26,ATL,False,False,L,34,10.0,9.0,1.0,4.0,0.0,0.0,4.0,8.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,11.8,-11.0
2021-01-28,MIA,False,False,W,27,12.0,3.0,2.0,0.0,1.0,1.0,3.0,6.0,0.5,1.0,3.0,0.333,5.0,5.0,1.0,10.2,17.0
2021-01-29,ORL,False,True,W,12,4.0,4.0,2.0,1.0,0.0,0.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,4.5,-8.0
2021-01-31,NYK,False,False,W,16,4.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,2.9,-1.0
2021-02-03,CLE,False,False,W,4,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
2021-02-05,BOS,True,False,L,19,4.0,4.0,2.0,0.0,1.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,5.8,2.0
2021-02-07,SAC,True,False,L,26,6.0,6.0,3.0,2.0,0.0,2.0,3.0,8.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,5.5,6.0
2021-02-10,MIN,False,False,W,20,4.0,5.0,2.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.1,-8.0
2021-02-12,CHI,False,False,W,33,7.0,4.0,2.0,2.0,1.0,2.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,7.1,21.0
2021-02-14,CLE,True,False,W,20,8.0,6.0,1.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,6.0,8.0,0.75,5.5,-8.0
2021-02-15,MIA,True,True,W,37,15.0,7.0,3.0,0.0,0.0,1.0,5.0,8.0,0.625,1.0,2.0,0.5,4.0,6.0,0.667,14.2,0.0
2021-02-17,UTA,True,False,L,30,8.0,4.0,3.0,0.0,0.0,1.0,3.0,6.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,7.3,-10.0
2021-02-19,UTA,True,False,W,14,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0
2021-02-21,BKN,True,False,L,18,6.0,2.0,2.0,0.0,0.0,1.0,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,4.6,-12.0
2021-02-23,WAS,True,False,W,20,12.0,3.0,2.0,1.0,0.0,1.0,5.0,7.0,0.714,2.0,2.0,1.0,0.0,0.0,0.0,9.0,6.0
2021-02-25,MEM,False,False,L,12,2.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,-1.9,-12.0
2021-02-26,MEM,False,True,W,18,13.0,6.0,2.0,0.0,0.0,1.0,6.0,8.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,11.6,-1.0
2021-02-28,MIL,False,False,L,15,4.0,4.0,2.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,5.7,3.0
2021-03-02,BOS,False,False,L,17,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,-20.0
2021-03-04,WAS,False,False,L,29,14.0,5.0,3.0,0.0,1.0,0.0,2.0,5.0,0.4,2.0,2.0,1.0,8.0,8.0,1.0,14.8,2.0
2021-03-11,GSW,True,False,W,17,3.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,2.3,3.0
2021-03-14,NOP,False,False,L,27,7.0,7.0,3.0,2.0,0.0,0.0,2.0,5.0,0.4,1.0,2.0,0.5,2.0,2.0,1.0,10.1,2.0
2021-03-15,DAL,False,True,W,13,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,-9.0
2021-03-17,DAL,False,False,L,14,3.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,2.0,-6.0
2021-03-20,CHA,True,False,W,23,16.0,4.0,0.0,0.0,0.0,1.0,7.0,10.0,0.7,0.0,2.0,0.0,2.0,2.0,1.0,11.2,12.0
2021-03-22,ATL,True,False,W,29,21.0,10.0,2.0,0.0,0.0,0.0,8.0,14.0,0.571,1.0,2.0,0.5,4.0,5.0,0.8,17.2,23.0
2021-03-24,SAS,False,False,W,25,7.0,7.0,1.0,0.0,0.0,2.0,3.0,8.0,0.375,1.0,1.0,1.0,0.0,1.0,0.0,3.0,18.0
2021-03-25,SAS,False,True,W,32,10.0,12.0,3.0,1.0,0.0,0.0,3.0,10.0,0.3,0.0,3.0,0.0,4.0,4.0,1.0,10.5,15.0
2021-03-27,PHI,True,False,W,29,23.0,3.0,1.0,0.0,0.0,0.0,10.0,12.0,0.833,2.0,2.0,1.0,1.0,3.0,0.333,17.8,5.0
2021-03-29,MIL,True,False,W,34,14.0,6.0,6.0,0.0,1.0,0.0,6.0,12.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,13.9,19.0
2021-03-30,ORL,True,True,L,30,9.0,7.0,6.0,1.0,0.0,2.0,3.0,12.0,0.25,1.0,3.0,0.333,2.0,2.0,1.0,7.1,-3.0
2021-04-01,DEN,True,False,L,27,18.0,6.0,2.0,0.0,0.0,2.0,8.0,10.0,0.8,1.0,1.0,1.0,1.0,2.0,0.5,14.2,3.0
2021-04-04,LAL,True,False,W,20,7.0,4.0,1.0,0.0,0.0,1.0,3.0,10.0,0.3,1.0,4.0,0.25,0.0,0.0,0.0,2.5,-6.0
2021-04-06,POR,True,False,W,10,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.7,-1.0
2021-04-08,PHX,True,False,W,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-8.0
2021-04-09,HOU,True,True,W,36,16.0,3.0,9.0,2.0,1.0,0.0,7.0,8.0,0.875,2.0,2.0,1.0,0.0,0.0,0.0,21.5,18.0
2021-04-11,DET,True,False,W,22,5.0,3.0,2.0,1.0,0.0,0.0,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,5.1,11.0
2021-04-13,IND,False,False,W,25,12.0,4.0,3.0,2.0,0.0,1.0,5.0,9.0,0.556,2.0,2.0,1.0,0.0,0.0,0.0,11.2,10.0
2021-04-14,DET,False,True,W,29,9.0,4.0,1.0,0.0,0.0,0.0,4.0,12.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,3.3,-5.0
2021-04-16,PHI,False,False,L,18,0.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5.0
2021-04-18,MIN,True,False,W,22,8.0,3.0,3.0,0.0,0.0,1.0,2.0,7.0,0.286,2.0,3.0,0.667,2.0,2.0,1.0,5.1,-7.0
2021-04-20,POR,False,False,W,24,7.0,2.0,1.0,0.0,0.0,1.0,3.0,6.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,3.9,8.0
2021-04-21,MEM,True,True,W,34,19.0,6.0,7.0,0.0,0.0,1.0,6.0,16.0,0.375,1.0,4.0,0.25,6.0,6.0,1.0,15.1,-3.0
2021-04-23,HOU,False,False,W,37,5.0,3.0,1.0,1.0,0.0,0.0,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,3.8,7.0
2021-04-26,NOP,False,False,L,29,17.0,4.0,2.0,0.0,0.0,3.0,4.0,6.0,0.667,2.0,3.0,0.667,7.0,7.0,1.0,13.6,-9.0
2021-04-28,PHX,False,False,L,34,12.0,6.0,0.0,2.0,0.0,0.0,6.0,10.0,0.6,0.0,2.0,0.0,0.0,0.0,0.0,10.4,-8.0
2021-05-01,DEN,True,False,L,13,5.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.6,-14.0
2021-05-04,TOR,True,False,W,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
2021-05-06,LAL,True,False,W,4,7.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,0.0,1.0,0.0,1.0,1.0,1.0,6.7,2.0
2021-05-11,TOR,False,False,W,21,20.0,1.0,2.0,1.0,0.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,18.0,1.0
2021-05-13,CHA,False,False,W,4,2.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.6,3.0
2021-05-16,OKC,False,False,L,23,19.0,2.0,1.0,0.0,0.0,0.0,7.0,8.0,0.875,1.0,2.0,0.5,4.0,5.0,0.8,16.7,16.0
