date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-11-02,SAS,False,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2024-11-04,CHA,True,False,W,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.7,-7.0
2024-11-07,CHI,False,False,W,2,4.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,-1.0
2024-11-08,POR,True,True,W,4,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.0
2024-12-02,LAL,True,False,W,6,5.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,3.0,6.0
2024-12-04,LAC,False,False,W,8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-06,GSW,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-4.0
2024-12-15,SAS,False,False,W,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-7.0
2024-12-19,NYK,True,False,L,11,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.6,9.0
2024-12-23,ATL,False,False,L,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,4.0
2025-02-05,CHI,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,2.0
2025-02-06,HOU,True,True,W,7,5.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.7,-2.0
2025-02-08,POR,True,False,W,13,4.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0,0.1,-18.0
2025-02-10,CLE,False,False,L,13,2.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.5,-6.0
2025-02-12,MIL,True,False,L,20,11.0,5.0,6.0,1.0,1.0,1.0,4.0,7.0,0.571,1.0,3.0,0.333,2.0,2.0,1.0,14.1,0.0
2025-02-13,OKC,True,True,W,29,13.0,6.0,1.0,0.0,0.0,1.0,4.0,10.0,0.4,1.0,4.0,0.25,4.0,4.0,1.0,9.5,23.0
2025-02-21,HOU,False,False,L,19,6.0,3.0,2.0,1.0,0.0,1.0,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,4.6,10.0
2025-02-23,OKC,True,False,L,19,7.0,1.0,2.0,0.0,0.0,0.0,3.0,7.0,0.429,0.0,1.0,0.0,1.0,1.0,1.0,4.6,-22.0
2025-02-24,OKC,False,True,W,29,17.0,10.0,1.0,1.0,2.0,1.0,7.0,10.0,0.7,0.0,1.0,0.0,3.0,3.0,1.0,17.1,12.0
2025-02-27,LAL,False,False,L,29,25.0,5.0,2.0,0.0,0.0,3.0,9.0,15.0,0.6,1.0,3.0,0.333,6.0,6.0,1.0,17.2,11.0
2025-02-28,UTA,False,True,L,28,17.0,4.0,5.0,0.0,1.0,0.0,7.0,16.0,0.438,3.0,5.0,0.6,0.0,1.0,0.0,13.6,-6.0
2025-03-02,PHX,False,False,W,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,-4.0
2025-03-04,PHI,True,False,W,10,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,12.0
2025-03-05,CHA,False,True,W,13,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,1.0,1.0,1.0,2.0,0.5,1.5,3.0
2025-03-07,MIA,False,False,W,8,6.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,-6.0
2025-03-09,SAS,True,False,W,8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,-2.0
2025-03-12,DEN,False,False,W,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-4.0
2025-03-16,UTA,True,False,W,19,4.0,4.0,1.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.1,-5.0
2025-03-19,NOP,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
