date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2017-12-23,POR,True,False,L,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.6,-5.0
2017-12-29,LAC,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,3.0
2018-01-07,ATL,True,False,W,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
2018-01-21,NYK,True,False,W,1,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.7,1.0
2018-01-31,ORL,False,False,L,7,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,1.6,6.0
2018-02-08,OKC,True,False,W,4,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
2018-02-14,NOP,False,False,L,5,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,-4.0
2018-02-23,DAL,True,False,W,5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.9,-1.0
2018-03-01,MIA,False,False,W,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,1.0
2018-03-07,ORL,True,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2018-03-26,DET,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-06,MIN,True,False,L,3,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.0
2018-04-08,UTA,True,False,L,9,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,6.0
2018-04-10,HOU,True,False,L,8,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-3.0,-9.0
2018-04-11,LAC,False,True,W,18,6.0,6.0,1.0,1.0,2.0,0.0,3.0,8.0,0.375,0.0,5.0,0.0,0.0,0.0,0.0,6.1,-5.0
2018-10-24,GSW,False,False,L,9,6.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,2.0,0.0,4.0,4.0,1.0,4.9,1.0
2018-10-28,LAC,False,False,L,11,7.0,3.0,1.0,0.0,0.0,1.0,3.0,7.0,0.429,0.0,2.0,0.0,1.0,1.0,1.0,4.3,-12.0
2018-11-04,NYK,True,False,W,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0
2018-11-06,DAL,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-14,CLE,True,False,W,4,6.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,4.9,2.0
2018-11-18,POR,True,False,L,5,6.0,2.0,3.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.7,7.0
2018-11-20,LAC,True,False,W,19,7.0,3.0,1.0,0.0,1.0,1.0,3.0,5.0,0.6,0.0,1.0,0.0,1.0,2.0,0.5,5.6,-1.0
2018-11-23,TOR,False,False,L,18,7.0,7.0,0.0,1.0,2.0,0.0,3.0,6.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,9.7,-2.0
2018-11-24,NOP,True,True,W,16,4.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0
2018-11-26,HOU,True,False,W,12,4.0,3.0,0.0,1.0,2.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.1,-17.0
2018-11-28,NOP,False,False,L,14,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-9.0
2018-11-30,PHI,False,False,L,19,12.0,7.0,0.0,1.0,1.0,1.0,5.0,7.0,0.714,0.0,1.0,0.0,2.0,2.0,1.0,12.3,-9.0
2018-12-01,BKN,True,True,W,19,2.0,7.0,2.0,1.0,0.0,3.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.4,-3.0
2018-12-03,NYK,False,False,W,19,8.0,6.0,1.0,0.0,0.0,1.0,3.0,4.0,0.75,0.0,1.0,0.0,2.0,2.0,1.0,7.1,14.0
2018-12-05,ATL,False,False,W,21,16.0,9.0,1.0,1.0,1.0,0.0,5.0,8.0,0.625,1.0,2.0,0.5,5.0,5.0,1.0,17.5,-5.0
2018-12-08,CLE,False,False,L,11,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-8.0
2018-12-10,IND,False,False,L,20,10.0,3.0,2.0,0.0,0.0,0.0,4.0,6.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,9.7,-15.0
2018-12-12,BOS,True,False,L,18,8.0,6.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,7.0
2018-12-14,BKN,False,False,L,17,7.0,3.0,1.0,0.0,2.0,1.0,3.0,7.0,0.429,1.0,4.0,0.25,0.0,1.0,0.0,4.5,-7.0
2018-12-16,LAL,True,False,W,28,8.0,11.0,2.0,1.0,2.0,0.0,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,11.9,12.0
2018-12-18,ATL,False,False,L,14,4.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,3.4,-7.0
2018-12-19,HOU,False,True,L,24,12.0,4.0,1.0,0.0,1.0,0.0,5.0,6.0,0.833,2.0,2.0,1.0,0.0,0.0,0.0,12.4,-10.0
2018-12-22,PHX,True,False,W,36,31.0,13.0,2.0,0.0,0.0,1.0,14.0,14.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,31.5,12.0
