date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2013-10-30,MIL,True,False,W,15,5.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0
2013-10-31,CHI,False,True,L,27,10.0,3.0,0.0,0.0,0.0,0.0,4.0,13.0,0.308,2.0,6.0,0.333,0.0,0.0,0.0,1.8,7.0
2013-11-03,MIN,True,False,L,25,6.0,1.0,1.0,0.0,0.0,1.0,3.0,12.0,0.25,0.0,7.0,0.0,0.0,0.0,0.0,-2.0,-7.0
2013-11-05,CHA,True,False,L,12,4.0,1.0,1.0,0.0,0.0,0.0,2.0,7.0,0.286,0.0,4.0,0.0,0.0,0.0,0.0,0.9,-9.0
2013-11-08,CHA,False,False,W,14,5.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.6,-1.0
2013-11-10,SAS,True,False,L,19,11.0,2.0,1.0,0.0,0.0,1.0,3.0,7.0,0.429,1.0,4.0,0.25,4.0,5.0,0.8,7.2,-4.0
2013-11-13,ATL,False,False,W,15,14.0,2.0,0.0,1.0,0.0,0.0,5.0,8.0,0.625,2.0,4.0,0.5,2.0,2.0,1.0,12.0,3.0
2013-11-14,HOU,True,True,L,14,8.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.667,1.0,1.0,1.0,3.0,3.0,1.0,7.6,-10.0
2013-11-16,ATL,True,False,L,22,8.0,1.0,3.0,1.0,0.0,1.0,3.0,7.0,0.429,2.0,2.0,1.0,0.0,1.0,0.0,6.7,-12.0
2013-11-19,DET,False,False,L,11,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8,-1.0
2013-11-20,IND,True,True,L,4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-1.0
2013-11-23,WAS,False,False,L,7,5.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,4.3,1.0
2013-11-27,LAC,False,False,L,8,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-11.0
2013-11-29,DEN,False,False,L,15,8.0,3.0,0.0,0.0,2.0,1.0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,7.0,3.0
2013-12-01,NOP,True,False,L,25,21.0,0.0,2.0,0.0,0.0,1.0,6.0,10.0,0.6,5.0,8.0,0.625,4.0,4.0,1.0,16.4,-6.0
2013-12-05,BKN,False,False,W,19,12.0,0.0,1.0,0.0,0.0,0.0,5.0,11.0,0.455,2.0,6.0,0.333,0.0,0.0,0.0,6.2,9.0
2013-12-06,ORL,True,True,W,23,15.0,1.0,3.0,1.0,0.0,0.0,5.0,7.0,0.714,5.0,7.0,0.714,0.0,0.0,0.0,15.5,32.0
2013-12-08,BOS,True,False,L,25,8.0,2.0,1.0,3.0,1.0,2.0,3.0,7.0,0.429,1.0,2.0,0.5,1.0,1.0,1.0,6.9,-29.0
2013-12-10,CLE,False,False,L,22,9.0,0.0,1.0,0.0,1.0,1.0,4.0,7.0,0.571,1.0,4.0,0.25,0.0,0.0,0.0,5.3,4.0
2013-12-11,CHI,True,True,W,18,7.0,1.0,1.0,0.0,0.0,0.0,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,0.0,3.9,-1.0
2013-12-13,BOS,False,False,L,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,-11.0
2013-12-14,ATL,True,True,W,27,13.0,4.0,2.0,3.0,0.0,1.0,5.0,10.0,0.5,1.0,3.0,0.333,2.0,3.0,0.667,12.6,5.0
2013-12-16,WAS,True,False,L,22,14.0,3.0,0.0,0.0,0.0,2.0,5.0,6.0,0.833,2.0,3.0,0.667,2.0,3.0,0.667,9.1,-12.0
2013-12-18,MIL,False,False,W,22,8.0,3.0,3.0,1.0,0.0,0.0,3.0,7.0,0.429,1.0,2.0,0.5,1.0,1.0,1.0,7.5,13.0
2013-12-21,MEM,True,False,L,30,16.0,1.0,2.0,1.0,1.0,1.0,7.0,13.0,0.538,2.0,7.0,0.286,0.0,0.0,0.0,11.3,1.0
2013-12-23,ORL,False,False,W,18,5.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,4.0,-9.0
2013-12-25,OKC,True,False,L,38,21.0,5.0,2.0,0.0,0.0,0.0,8.0,19.0,0.421,2.0,7.0,0.286,3.0,3.0,1.0,13.8,-22.0
2013-12-27,TOR,True,False,L,37,15.0,0.0,1.0,1.0,1.0,2.0,5.0,13.0,0.385,4.0,5.0,0.8,1.0,1.0,1.0,7.1,-5.0
2013-12-28,TOR,False,True,L,28,12.0,1.0,0.0,0.0,0.0,1.0,4.0,11.0,0.364,2.0,5.0,0.4,2.0,3.0,0.667,3.6,-9.0
2014-01-02,SAS,False,False,W,12,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,2.9,-7.0
2014-01-03,HOU,False,True,L,11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.2,-14.0
2014-01-05,DAL,False,False,W,12,10.0,2.0,0.0,0.0,0.0,0.0,4.0,6.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,7.6,0.0
2014-01-07,DET,True,False,W,13,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,-0.6,-12.0
2014-01-09,MIA,True,False,W,14,5.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,3.6,-1.0
2014-01-11,PHI,False,False,W,22,7.0,2.0,0.0,2.0,0.0,1.0,2.0,3.0,0.667,1.0,2.0,0.5,2.0,2.0,1.0,7.3,0.0
2014-01-13,PHX,True,False,W,15,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.2,-10.0
2014-01-14,CHA,False,True,L,27,12.0,1.0,1.0,1.0,0.0,0.0,4.0,10.0,0.4,2.0,6.0,0.333,2.0,3.0,0.667,8.6,-6.0
2014-01-16,IND,False,False,L,21,4.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,0.2,0.0,5.0,0.0,0.0,0.0,0.0,-4.4,-6.0
2014-01-17,LAC,True,True,L,11,6.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,3.9,-4.0
2014-01-20,BKN,True,False,L,25,11.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,1.0,2.0,0.5,4.0,5.0,0.8,8.1,-15.0
2014-01-22,PHI,True,False,L,16,6.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,0.4,1.0,3.0,0.333,1.0,1.0,1.0,3.6,13.0
2014-01-24,CHA,True,False,W,31,10.0,1.0,3.0,1.0,0.0,0.0,4.0,8.0,0.5,2.0,6.0,0.333,0.0,0.0,0.0,8.6,20.0
