date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-10-25,LAC,False,False,L,16,7.0,2.0,1.0,0.0,1.0,0.0,2.0,5.0,0.4,2.0,2.0,1.0,1.0,2.0,0.5,5.1,13.0
2023-10-27,ORL,True,False,L,23,2.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,2.9,2.0
2023-10-29,PHI,False,False,L,28,12.0,3.0,2.0,0.0,2.0,0.0,5.0,16.0,0.313,1.0,5.0,0.2,1.0,2.0,0.5,6.1,-13.0
2023-10-30,TOR,False,True,W,23,3.0,7.0,0.0,0.0,1.0,1.0,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,2.0,12.0
2023-11-01,DET,False,False,W,26,7.0,7.0,0.0,1.0,1.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,3.0,3.0,1.0,8.5,6.0
2023-11-03,MEM,True,False,W,31,5.0,3.0,1.0,2.0,0.0,1.0,2.0,8.0,0.25,0.0,3.0,0.0,1.0,1.0,1.0,2.4,2.0
2023-11-05,MEM,True,False,L,24,8.0,6.0,2.0,1.0,0.0,3.0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,7.7,-4.0
2023-11-08,SAC,False,False,L,25,2.0,4.0,1.0,3.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.1,7.0
2023-11-12,LAL,False,False,L,24,2.0,6.0,2.0,0.0,1.0,2.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.8,0.0
2023-11-14,UTA,False,False,L,26,9.0,5.0,1.0,0.0,2.0,2.0,3.0,6.0,0.5,2.0,4.0,0.5,1.0,2.0,0.5,7.2,-8.0
2023-11-15,CLE,True,True,L,22,0.0,1.0,3.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2,-12.0
2023-11-17,LAL,True,False,L,36,10.0,6.0,0.0,2.0,1.0,1.0,3.0,8.0,0.375,1.0,6.0,0.167,3.0,5.0,0.6,7.9,-7.0
2023-11-19,OKC,True,False,L,15,6.0,2.0,0.0,0.0,0.0,1.0,3.0,5.0,0.6,0.0,2.0,0.0,0.0,0.0,0.0,1.7,-15.0
2023-11-21,PHX,False,False,L,39,7.0,4.0,0.0,1.0,0.0,1.0,2.0,4.0,0.5,0.0,2.0,0.0,3.0,4.0,0.75,4.2,-16.0
2023-11-22,UTA,True,True,W,28,12.0,7.0,3.0,0.0,1.0,2.0,4.0,8.0,0.5,2.0,4.0,0.5,2.0,2.0,1.0,11.3,15.0
2023-11-26,MIL,False,False,L,17,6.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,2.8,-3.0
2023-11-27,IND,False,True,W,17,5.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,3.9,0.0
2023-11-30,CLE,False,False,W,24,9.0,2.0,1.0,2.0,1.0,1.0,4.0,6.0,0.667,1.0,3.0,0.333,0.0,0.0,0.0,9.8,-2.0
2023-12-02,UTA,False,False,L,30,8.0,3.0,0.0,4.0,1.0,0.0,4.0,8.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,8.8,-5.0
2023-12-06,GSW,False,False,L,27,6.0,13.0,2.0,0.0,0.0,3.0,3.0,14.0,0.214,0.0,4.0,0.0,0.0,0.0,0.0,-0.7,-3.0
