date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2018-10-17,NYK,False,False,L,33,14.0,6.0,5.0,0.0,0.0,4.0,5.0,14.0,0.357,1.0,5.0,0.2,3.0,4.0,0.75,5.5,-20.0
2018-10-19,MEM,False,False,L,33,20.0,2.0,9.0,1.0,1.0,3.0,7.0,18.0,0.389,4.0,9.0,0.444,2.0,3.0,0.667,15.0,-11.0
2018-10-21,CLE,False,False,W,38,35.0,2.0,11.0,1.0,0.0,1.0,13.0,23.0,0.565,6.0,14.0,0.429,3.0,3.0,1.0,31.6,19.0
2018-10-24,DAL,True,False,W,26,17.0,4.0,5.0,0.0,1.0,5.0,3.0,12.0,0.25,1.0,3.0,0.333,10.0,13.0,0.769,7.8,-6.0
2018-10-27,CHI,True,False,L,30,13.0,3.0,4.0,2.0,0.0,5.0,3.0,12.0,0.25,0.0,6.0,0.0,7.0,9.0,0.778,6.1,-21.0
2018-10-29,PHI,False,False,L,29,11.0,2.0,8.0,0.0,0.0,0.0,5.0,13.0,0.385,1.0,6.0,0.167,0.0,0.0,0.0,9.7,-14.0
2018-10-30,CLE,False,True,L,31,24.0,1.0,4.0,0.0,0.0,3.0,9.0,13.0,0.692,3.0,4.0,0.75,3.0,5.0,0.6,17.0,-29.0
2018-11-01,SAC,True,False,L,27,14.0,3.0,10.0,0.0,0.0,8.0,6.0,13.0,0.462,0.0,1.0,0.0,2.0,3.0,0.667,5.6,-11.0
2018-11-03,MIA,True,False,W,31,24.0,6.0,15.0,0.0,1.0,5.0,9.0,19.0,0.474,2.0,8.0,0.25,4.0,5.0,0.8,22.7,5.0
2018-11-06,CHA,False,False,L,30,18.0,3.0,10.0,0.0,0.0,6.0,8.0,19.0,0.421,0.0,7.0,0.0,2.0,2.0,1.0,10.2,-15.0
2018-11-07,NYK,True,True,L,31,15.0,5.0,8.0,0.0,0.0,2.0,6.0,19.0,0.316,1.0,7.0,0.143,2.0,2.0,1.0,8.8,3.0
2018-11-09,DET,True,False,L,23,16.0,4.0,5.0,0.0,0.0,6.0,4.0,9.0,0.444,0.0,3.0,0.0,8.0,8.0,1.0,10.0,-18.0
2018-11-11,LAL,False,False,L,35,20.0,2.0,12.0,1.0,1.0,4.0,8.0,18.0,0.444,4.0,8.0,0.5,0.0,0.0,0.0,16.9,15.0
