date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-10-27,SAC,False,False,W,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,7.0
2023-10-30,NOP,False,False,W,20,13.0,9.0,0.0,0.0,4.0,2.0,5.0,9.0,0.556,0.0,0.0,0.0,3.0,4.0,0.75,13.8,11.0
2023-11-01,SAC,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-05,CLE,False,False,L,12,5.0,4.0,1.0,1.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,5.0,0.2,4.5,8.0
2023-11-06,DET,False,True,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-08,DEN,False,False,L,18,8.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,4.0,5.0,0.8,6.0,4.0
2023-11-11,CLE,True,False,L,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.2,4.0
2023-11-12,MIN,True,True,L,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,6.0
2023-11-14,MIN,True,False,L,12,2.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.2,-2.0
2023-11-16,OKC,True,False,L,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0
2023-11-20,HOU,True,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22,PHX,False,False,L,15,6.0,4.0,0.0,1.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,5.0,0.4,4.3,-5.0
2023-11-24,SAS,True,False,W,5,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.6,1.0
2023-12-12,PHX,False,False,L,7,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-6.0
2023-12-14,LAC,False,False,L,5,2.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.4,-11.0
2023-12-17,POR,False,False,W,18,14.0,8.0,3.0,2.0,1.0,2.0,6.0,9.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,16.5,8.0
2023-12-19,BOS,True,False,W,29,10.0,13.0,1.0,0.0,3.0,1.0,5.0,7.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,13.2,25.0
2023-12-22,WAS,True,False,W,25,10.0,15.0,3.0,0.0,1.0,1.0,5.0,7.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,14.6,10.0
2023-12-23,POR,True,True,W,17,13.0,5.0,3.0,1.0,0.0,2.0,6.0,7.0,0.857,0.0,0.0,0.0,1.0,4.0,0.25,11.5,-1.0
2023-12-25,DEN,False,False,L,15,8.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,2.0,2.0,1.0,6.0,-4.0
2023-12-28,MIA,True,False,L,26,10.0,11.0,1.0,0.0,2.0,1.0,4.0,9.0,0.444,0.0,0.0,0.0,2.0,2.0,1.0,10.9,8.0
2023-12-30,DAL,True,False,L,29,17.0,6.0,2.0,1.0,0.0,1.0,8.0,11.0,0.727,0.0,0.0,0.0,1.0,3.0,0.333,14.5,-4.0
2024-01-02,ORL,True,False,W,24,10.0,4.0,2.0,1.0,2.0,3.0,3.0,4.0,0.75,0.0,0.0,0.0,4.0,6.0,0.667,10.0,-1.0
2024-01-04,DEN,True,False,L,21,4.0,2.0,2.0,0.0,0.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0
2024-01-05,DET,True,True,W,23,11.0,9.0,0.0,0.0,1.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,10.9,-2.0
2024-01-07,TOR,True,False,L,27,16.0,11.0,2.0,0.0,3.0,0.0,8.0,9.0,0.889,0.0,0.0,0.0,0.0,0.0,0.0,20.9,-3.0
2024-01-10,NOP,True,False,L,22,19.0,5.0,1.0,1.0,1.0,1.0,9.0,11.0,0.818,0.0,0.0,0.0,1.0,1.0,1.0,18.6,-16.0
2024-01-12,CHI,False,False,W,17,13.0,7.0,2.0,1.0,1.0,1.0,4.0,5.0,0.8,0.0,0.0,0.0,5.0,7.0,0.714,14.9,13.0
2024-01-13,MIL,False,True,L,18,12.0,2.0,1.0,1.0,1.0,0.0,6.0,8.0,0.75,0.0,0.0,0.0,0.0,2.0,0.0,11.0,-13.0
2024-01-15,MEM,False,False,L,10,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-6.0
2024-01-24,ATL,True,False,W,15,4.0,6.0,1.0,0.0,2.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,4.0,0.0,4.3,6.0
2024-01-27,LAL,True,False,L,6,4.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.9,-6.0
2024-01-30,PHI,True,False,W,12,6.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,5.7,-5.0
2024-02-02,MEM,False,False,W,9,5.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,4.9,2.0
2024-02-03,ATL,False,True,L,9,5.0,5.0,0.0,0.0,1.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,1.0,1.0,4.9,-2.0
2024-02-07,PHI,False,False,W,4,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.0
2024-02-08,IND,False,True,W,4,6.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,4.6,4.0
