date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-22,MIL,False,False,L,26,16.0,5.0,2.0,1.0,1.0,4.0,5.0,11.0,0.455,4.0,8.0,0.5,2.0,2.0,1.0,11.3,-8.0
2025-10-24,DAL,False,False,W,26,17.0,3.0,2.0,0.0,1.0,0.0,7.0,13.0,0.538,3.0,6.0,0.5,0.0,0.0,0.0,13.3,7.0
2025-10-26,CHA,True,False,L,29,16.0,4.0,2.0,0.0,1.0,0.0,6.0,14.0,0.429,2.0,7.0,0.286,2.0,2.0,1.0,10.7,-16.0
2025-10-28,PHI,True,False,L,26,10.0,2.0,2.0,0.0,0.0,1.0,4.0,11.0,0.364,2.0,7.0,0.286,0.0,0.0,0.0,4.1,3.0
2025-10-30,OKC,False,False,L,27,10.0,3.0,2.0,0.0,0.0,1.0,3.0,7.0,0.429,2.0,5.0,0.4,2.0,2.0,1.0,6.0,-2.0
2025-11-01,ORL,True,False,L,25,7.0,3.0,0.0,1.0,2.0,2.0,3.0,12.0,0.25,0.0,5.0,0.0,1.0,1.0,1.0,1.1,-9.0
2025-11-03,NYK,False,False,L,21,10.0,4.0,1.0,0.0,1.0,1.0,4.0,9.0,0.444,2.0,4.0,0.5,0.0,0.0,0.0,6.9,4.0
2025-11-05,BOS,False,False,L,24,7.0,1.0,1.0,0.0,0.0,3.0,2.0,5.0,0.4,1.0,2.0,0.5,2.0,2.0,1.0,1.1,-15.0
2025-11-07,CLE,True,False,L,29,19.0,3.0,1.0,0.0,0.0,2.0,7.0,11.0,0.636,3.0,4.0,0.75,2.0,3.0,0.667,11.7,-18.0
2025-11-08,DAL,True,True,L,26,9.0,9.0,0.0,1.0,0.0,3.0,4.0,13.0,0.308,1.0,6.0,0.167,0.0,0.0,0.0,2.6,1.0
2025-11-10,DET,False,False,L,23,10.0,4.0,3.0,0.0,0.0,1.0,4.0,7.0,0.571,1.0,2.0,0.5,1.0,1.0,1.0,9.4,-1.0
2025-11-12,HOU,False,False,L,27,12.0,1.0,1.0,1.0,0.0,1.0,4.0,10.0,0.4,4.0,7.0,0.571,0.0,1.0,0.0,6.8,-9.0
2025-11-16,BKN,True,False,L,17,6.0,0.0,1.0,0.0,0.0,1.0,3.0,9.0,0.333,0.0,4.0,0.0,0.0,0.0,0.0,-0.6,-25.0
2025-11-19,MIN,False,False,L,17,10.0,1.0,0.0,2.0,0.0,3.0,4.0,6.0,0.667,2.0,4.0,0.5,0.0,0.0,0.0,5.5,-1.0
2025-11-21,TOR,False,False,L,19,14.0,2.0,2.0,0.0,1.0,1.0,5.0,8.0,0.625,3.0,5.0,0.6,1.0,2.0,0.5,11.7,-20.0
2025-12-12,CLE,True,False,L,17,3.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,0.167,0.0,3.0,0.0,1.0,2.0,0.5,-0.6,-11.0
2025-12-14,IND,False,False,W,16,14.0,2.0,2.0,0.0,0.0,0.0,4.0,7.0,0.571,3.0,4.0,0.75,3.0,3.0,1.0,12.3,9.0
2025-12-18,SAS,False,False,L,24,8.0,6.0,2.0,1.0,0.0,1.0,2.0,9.0,0.222,2.0,5.0,0.4,2.0,2.0,1.0,6.1,-8.0
2025-12-20,MEM,False,False,W,21,12.0,3.0,2.0,1.0,0.0,3.0,5.0,11.0,0.455,2.0,7.0,0.286,0.0,0.0,0.0,5.8,7.0
2025-12-21,SAS,True,True,L,25,19.0,7.0,1.0,0.0,2.0,0.0,6.0,10.0,0.6,3.0,6.0,0.5,4.0,4.0,1.0,18.6,4.0
2025-12-23,CHA,False,False,L,21,12.0,3.0,2.0,1.0,0.0,0.0,5.0,12.0,0.417,2.0,7.0,0.286,0.0,0.0,0.0,9.3,10.0
2025-12-26,TOR,True,False,W,20,12.0,1.0,3.0,0.0,0.0,2.0,4.0,8.0,0.5,0.0,3.0,0.0,4.0,4.0,1.0,8.0,3.0
2025-12-28,MEM,True,False,W,26,14.0,0.0,4.0,1.0,1.0,1.0,5.0,11.0,0.455,2.0,5.0,0.4,2.0,2.0,1.0,11.0,18.0
2025-12-29,PHX,True,True,L,25,24.0,1.0,2.0,1.0,0.0,3.0,9.0,12.0,0.75,5.0,5.0,1.0,1.0,1.0,1.0,18.5,-18.0
2025-12-31,MIL,False,False,W,28,14.0,2.0,2.0,0.0,0.0,1.0,5.0,13.0,0.385,4.0,7.0,0.571,0.0,0.0,0.0,7.9,-5.0
2026-01-02,BKN,True,False,W,28,12.0,5.0,1.0,2.0,0.0,2.0,5.0,7.0,0.714,2.0,3.0,0.667,0.0,0.0,0.0,10.9,18.0
2026-01-04,MIN,True,False,L,27,13.0,3.0,3.0,1.0,0.0,2.0,3.0,11.0,0.273,1.0,5.0,0.2,6.0,6.0,1.0,7.3,-6.0
2026-01-06,ORL,True,False,W,22,6.0,2.0,5.0,2.0,0.0,2.0,2.0,7.0,0.286,0.0,4.0,0.0,2.0,2.0,1.0,4.4,16.0
2026-01-07,PHI,False,True,L,28,20.0,5.0,3.0,1.0,0.0,3.0,8.0,13.0,0.615,2.0,6.0,0.333,2.0,2.0,1.0,15.3,-9.0
2026-01-09,NOP,True,False,L,25,12.0,1.0,2.0,3.0,0.0,2.0,3.0,7.0,0.429,2.0,5.0,0.4,4.0,4.0,1.0,9.4,-29.0
2026-01-11,PHX,False,False,L,30,19.0,5.0,3.0,0.0,0.0,2.0,8.0,15.0,0.533,3.0,8.0,0.375,0.0,0.0,0.0,12.9,-16.0
2026-01-14,LAC,False,False,L,27,10.0,2.0,3.0,1.0,0.0,2.0,4.0,10.0,0.4,2.0,6.0,0.333,0.0,0.0,0.0,4.7,4.0
2026-01-16,SAC,False,False,L,30,18.0,2.0,4.0,1.0,1.0,1.0,7.0,17.0,0.412,4.0,8.0,0.5,0.0,0.0,0.0,13.0,-1.0
2026-01-17,DEN,False,True,L,31,4.0,2.0,1.0,1.0,0.0,0.0,1.0,10.0,0.1,0.0,4.0,0.0,2.0,4.0,0.5,-1.5,-8.0
2026-01-19,LAC,True,False,L,30,15.0,1.0,5.0,0.0,0.0,0.0,6.0,12.0,0.5,3.0,7.0,0.429,0.0,0.0,0.0,12.0,14.0
2026-01-22,DEN,True,False,L,34,19.0,3.0,3.0,0.0,1.0,2.0,7.0,14.0,0.5,3.0,7.0,0.429,2.0,2.0,1.0,13.7,-11.0
2026-01-24,CHA,False,False,L,37,26.0,0.0,6.0,0.0,0.0,2.0,8.0,22.0,0.364,6.0,15.0,0.4,4.0,5.0,0.8,14.8,-2.0
2026-01-27,POR,True,False,W,32,18.0,4.0,2.0,0.0,1.0,0.0,7.0,13.0,0.538,3.0,5.0,0.6,1.0,1.0,1.0,15.0,4.0
2026-01-29,MIL,True,False,W,11,8.0,0.0,2.0,0.0,0.0,0.0,2.0,7.0,0.286,0.0,3.0,0.0,4.0,4.0,1.0,5.3,10.0
2026-02-11,CLE,False,False,L,18,10.0,3.0,2.0,2.0,0.0,0.0,4.0,13.0,0.308,1.0,6.0,0.167,1.0,1.0,1.0,6.0,-6.0
2026-02-19,IND,True,False,W,19,10.0,6.0,2.0,0.0,0.0,0.0,4.0,12.0,0.333,0.0,4.0,0.0,2.0,2.0,1.0,6.8,0.0
