date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2020-12-30,LAL,True,False,L,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0
2021-01-03,UTA,True,False,L,8,9.0,3.0,1.0,0.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,3.0,3.0,1.0,9.5,3.0
2021-01-07,LAL,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2021-01-18,POR,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-01-20,GSW,False,False,L,5,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2021-01-22,DAL,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-8.0
2021-01-24,WAS,True,False,W,3,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
2021-01-29,DEN,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2021-01-30,MEM,True,True,L,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.3,-3.0
2021-02-24,OKC,False,False,L,12,4.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,-6.0
2021-03-01,BKN,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2021-03-02,NYK,True,True,W,3,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2021-03-10,DAL,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-3.0
2021-03-12,ORL,True,False,W,5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2021-03-14,PHI,False,False,L,17,8.0,0.0,3.0,0.0,0.0,0.0,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.1,-12.0
2021-03-15,DET,False,True,W,4,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-12.0
2021-03-19,CLE,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2021-03-20,MIL,False,True,L,8,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0
2021-03-24,LAC,True,False,L,8,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-10.0
2021-03-27,CHI,True,False,W,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
2021-03-29,SAC,True,False,L,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2021-03-31,SAC,True,False,W,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0
2021-04-05,CLE,True,False,L,12,4.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.4,-2.0
2021-04-07,DEN,False,False,L,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,7.0
2021-04-12,ORL,False,False,W,8,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,-5.0
2021-04-17,PHX,False,False,W,11,2.0,1.0,0.0,2.0,0.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-3.0
2021-04-19,IND,False,False,W,3,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.3,-6.0
2021-04-21,MIA,True,False,L,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.3,-4.0
2021-04-22,DET,True,True,W,19,5.0,1.0,5.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.4,-16.0
2021-05-02,PHI,True,False,L,22,4.0,2.0,3.0,0.0,0.0,0.0,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.5,-8.0
2021-05-03,UTA,False,True,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2021-05-05,UTA,False,False,L,24,11.0,2.0,3.0,0.0,0.0,0.0,5.0,8.0,0.625,1.0,1.0,1.0,0.0,0.0,0.0,10.1,2.0
2021-05-08,POR,False,False,L,6,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0
2021-05-10,MIL,True,False,W,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-3.0
2021-05-12,BKN,False,False,L,8,4.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,4.4,5.0
2021-05-15,PHX,True,False,L,29,9.0,2.0,5.0,0.0,0.0,1.0,3.0,6.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,8.3,-15.0
2021-05-16,PHX,True,True,L,18,9.0,0.0,7.0,1.0,0.0,0.0,3.0,5.0,0.6,0.0,1.0,0.0,3.0,4.0,0.75,11.8,5.0
2021-10-20,ORL,True,False,W,8,4.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0
2021-10-22,DEN,False,False,L,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0
2021-10-23,MIL,True,True,L,5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0
2021-10-28,DAL,False,False,L,7,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.8,-11.0
2021-10-30,MIL,False,False,W,6,2.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0
2021-11-01,IND,False,False,L,18,9.0,1.0,4.0,0.0,0.0,0.0,4.0,5.0,0.8,0.0,1.0,0.0,1.0,1.0,1.0,10.2,10.0
2021-11-03,DAL,True,False,L,2,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.7,3.0
2021-11-05,ORL,False,False,W,5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.0
2021-11-07,OKC,False,False,L,8,2.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.6,7.0
2021-11-10,SAC,True,False,W,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-10.0
2021-11-12,DAL,True,False,L,14,4.0,2.0,3.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,4.3,10.0
2021-11-16,LAC,False,False,L,9,6.0,1.0,0.0,1.0,0.0,0.0,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,4.3,-19.0
2021-11-18,MIN,False,False,L,15,8.0,3.0,3.0,1.0,0.0,3.0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-7.0
2021-11-22,PHX,True,False,L,9,7.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.7,-6.0
2021-11-24,ATL,True,False,L,9,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,-3.0
2021-11-26,BOS,True,False,W,18,12.0,2.0,2.0,0.0,0.0,2.0,5.0,6.0,0.833,0.0,0.0,0.0,2.0,2.0,1.0,9.0,17.0
2021-11-29,WAS,True,False,W,14,2.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-4.0
2021-12-02,POR,False,False,W,19,5.0,3.0,3.0,1.0,0.0,0.0,2.0,6.0,0.333,0.0,0.0,0.0,1.0,1.0,1.0,5.2,12.0
2021-12-04,GSW,False,False,W,14,2.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.9,-8.0
2021-12-06,PHX,False,False,L,14,2.0,2.0,3.0,4.0,0.0,1.0,1.0,8.0,0.125,0.0,1.0,0.0,0.0,0.0,0.0,2.9,6.0
2021-12-07,NYK,True,True,L,12,4.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,2.2,0.0
2021-12-09,DEN,True,False,W,13,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.0
2021-12-11,DEN,True,False,L,23,12.0,9.0,5.0,0.0,0.0,0.0,5.0,8.0,0.625,0.0,0.0,0.0,2.0,2.0,1.0,15.4,19.0
