date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-10-20,UTA,False,False,L,15,9.0,0.0,1.0,1.0,1.0,1.0,4.0,7.0,0.571,1.0,2.0,0.5,0.0,0.0,0.0,7.1,-4.0
2021-10-22,HOU,False,False,L,13,8.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,2.0,0.0,4.1,-11.0
2021-10-24,PHI,True,False,L,10,2.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,-0.8,-4.0
2021-10-26,GSW,True,False,L,9,2.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.8,3.0
2021-10-27,LAL,True,True,W,5,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,1.9,-9.0
2021-11-10,NOP,False,False,W,14,6.0,4.0,0.0,0.0,1.0,1.0,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,2.4,-1.0
2021-11-12,SAC,True,False,W,19,12.0,2.0,1.0,1.0,0.0,2.0,5.0,8.0,0.625,1.0,1.0,1.0,1.0,2.0,0.5,7.1,4.0
2021-11-14,BKN,True,False,L,5,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.7,0.0
2021-11-15,MIA,True,True,L,7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.3,1.0
2021-11-17,HOU,True,False,W,11,7.0,1.0,0.0,2.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,7.3,4.0
2021-11-26,WAS,True,False,L,17,7.0,1.0,0.0,1.0,0.0,0.0,3.0,11.0,0.273,1.0,4.0,0.25,0.0,0.0,0.0,1.8,-6.0
2021-11-29,HOU,False,False,L,30,17.0,7.0,1.0,2.0,1.0,2.0,5.0,12.0,0.417,1.0,5.0,0.2,6.0,6.0,1.0,13.3,1.0
2021-12-01,HOU,True,False,L,32,11.0,2.0,0.0,0.0,0.0,3.0,4.0,13.0,0.308,2.0,7.0,0.286,1.0,1.0,1.0,1.1,-7.0
2021-12-02,MEM,False,True,L,27,12.0,0.0,1.0,0.0,1.0,2.0,5.0,11.0,0.455,2.0,4.0,0.5,0.0,1.0,0.0,5.3,-47.0
2021-12-06,DET,False,False,W,13,7.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,5.5,7.0
2021-12-08,TOR,False,False,W,18,3.0,0.0,1.0,2.0,0.0,1.0,1.0,6.0,0.167,1.0,3.0,0.333,0.0,0.0,0.0,0.5,10.0
