date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-11-14,DEN,False,False,L,7,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.4,-3.0
2021-11-29,UTA,False,False,L,4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.6,-5.0
2021-11-30,DET,True,True,W,3,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2021-12-02,SAS,True,False,L,5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-7.0
2021-12-04,BOS,True,False,L,6,6.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,5.0,-5.0
2021-12-12,MIN,True,False,L,7,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,4.0
2021-12-15,MEM,True,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-6.0
2021-12-17,CHA,True,False,W,5,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,8.0
2021-12-21,NOP,False,False,L,4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0
2022-01-03,ATL,True,False,W,10,5.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,1.0,1.0,5.0,-9.0
2022-01-05,MIA,True,False,L,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,-1.7,14.0
2022-01-07,CLE,True,False,L,14,4.0,6.0,2.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,4.8,-3.0
2022-01-09,SAC,True,False,W,12,4.0,6.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0
2022-01-10,BKN,True,True,W,14,4.0,6.0,0.0,0.0,1.0,2.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,0.0,3.2,-5.0
2022-01-13,DEN,False,False,L,23,11.0,2.0,0.0,0.0,2.0,4.0,4.0,7.0,0.571,0.0,1.0,0.0,3.0,5.0,0.6,4.5,-21.0
2022-01-15,WAS,False,False,W,8,2.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,-2.2,-2.0
2022-01-17,ORL,False,False,W,12,8.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,0.0,1.0,0.0,2.0,2.0,1.0,7.0,-13.0
2022-01-19,MIA,False,False,L,20,2.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,4.3,-10.0
2022-01-21,BOS,False,False,W,10,4.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,4.8,-14.0
2022-01-23,TOR,False,False,W,15,6.0,6.0,3.0,0.0,1.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8.4,9.0
2022-01-25,MIN,True,False,L,14,2.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-10.0
2022-01-26,DAL,True,True,L,19,8.0,5.0,2.0,0.0,0.0,0.0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,7.1,-14.0
2022-01-28,HOU,False,False,W,15,6.0,2.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0
2022-01-30,CHI,False,False,L,22,10.0,2.0,2.0,0.0,3.0,0.0,5.0,6.0,0.833,0.0,1.0,0.0,0.0,0.0,0.0,10.7,-2.0
2022-01-31,OKC,False,True,L,9,5.0,3.0,2.0,1.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,1.0,1.0,1.0,6.6,0.0
2022-02-02,LAL,False,False,L,15,6.0,6.0,1.0,1.0,0.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,6.9,-5.0
2022-02-04,OKC,True,False,L,20,8.0,4.0,0.0,1.0,0.0,2.0,4.0,5.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,5.5,-3.0
2022-02-05,MIL,True,True,L,24,7.0,4.0,2.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,5.0,2.0
2022-02-08,ORL,True,False,L,20,8.0,3.0,0.0,0.0,0.0,1.0,3.0,8.0,0.375,0.0,2.0,0.0,2.0,2.0,1.0,3.5,-7.0
2022-02-09,LAL,True,True,W,16,6.0,4.0,0.0,1.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,5.7,1.0
2022-02-12,NYK,True,False,W,15,4.0,5.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,4.1,3.0
2022-02-14,MIL,False,False,W,23,9.0,10.0,5.0,1.0,0.0,2.0,4.0,7.0,0.571,1.0,1.0,1.0,0.0,0.0,0.0,10.8,-11.0
2022-02-16,MEM,False,False,W,15,3.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,3.4,-4.0
2022-02-24,GSW,True,False,L,23,9.0,1.0,2.0,1.0,0.0,1.0,2.0,5.0,0.4,0.0,0.0,0.0,5.0,6.0,0.833,6.0,-39.0
2022-02-27,DEN,True,False,L,20,6.0,5.0,0.0,2.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,6.4,-24.0
2022-03-02,PHX,False,False,L,30,13.0,7.0,6.0,0.0,1.0,0.0,5.0,12.0,0.417,2.0,2.0,1.0,1.0,2.0,0.5,11.2,-14.0
2022-03-05,MIN,False,False,L,32,12.0,14.0,4.0,0.0,1.0,0.0,3.0,8.0,0.375,0.0,2.0,0.0,6.0,8.0,0.75,14.1,-3.0
2022-03-07,MIN,False,False,L,30,11.0,7.0,3.0,0.0,1.0,2.0,4.0,8.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,8.3,-28.0
2022-03-09,UTA,False,False,L,29,22.0,3.0,0.0,0.0,1.0,0.0,6.0,14.0,0.429,1.0,4.0,0.25,9.0,9.0,1.0,15.4,-19.0
2022-03-12,WAS,True,False,W,38,27.0,6.0,3.0,2.0,0.0,0.0,11.0,16.0,0.688,0.0,2.0,0.0,5.0,5.0,1.0,25.7,9.0
2022-03-14,ATL,False,False,L,39,22.0,9.0,2.0,0.0,4.0,1.0,9.0,19.0,0.474,2.0,4.0,0.5,2.0,2.0,1.0,18.6,-14.0
2022-03-16,NYK,False,False,L,32,11.0,8.0,5.0,0.0,0.0,1.0,4.0,11.0,0.364,0.0,3.0,0.0,3.0,4.0,0.75,8.6,-25.0
2022-03-18,BKN,False,False,L,32,8.0,3.0,1.0,1.0,1.0,3.0,3.0,8.0,0.375,0.0,2.0,0.0,2.0,2.0,1.0,3.1,-11.0
2022-03-20,IND,False,False,L,32,17.0,8.0,3.0,2.0,1.0,1.0,7.0,13.0,0.538,2.0,3.0,0.667,1.0,2.0,0.5,16.1,-21.0
2022-03-21,DET,False,True,W,30,13.0,3.0,4.0,3.0,2.0,2.0,5.0,9.0,0.556,0.0,0.0,0.0,3.0,6.0,0.5,12.0,2.0
2022-03-23,SAS,True,False,L,25,10.0,4.0,2.0,1.0,1.0,1.0,4.0,10.0,0.4,0.0,2.0,0.0,2.0,2.0,1.0,6.7,-29.0
2022-03-25,HOU,True,False,L,30,19.0,5.0,6.0,1.0,0.0,2.0,8.0,13.0,0.615,0.0,0.0,0.0,3.0,5.0,0.6,16.2,-18.0
2022-03-26,HOU,True,True,L,30,15.0,10.0,5.0,2.0,0.0,6.0,7.0,11.0,0.636,0.0,2.0,0.0,1.0,2.0,0.5,13.4,-6.0
2022-11-05,PHX,False,False,L,16,9.0,4.0,1.0,0.0,0.0,0.0,2.0,7.0,0.286,0.0,2.0,0.0,5.0,6.0,0.833,6.0,7.0
