date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-01-24,MIN,True,False,L,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0
2024-01-25,UTA,True,True,L,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2024-02-01,CLE,True,False,L,14,5.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,6.6,4.0
2024-02-04,BOS,False,False,L,23,6.0,5.0,0.0,0.0,2.0,3.0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,2.8,-24.0
2024-02-06,NYK,False,False,L,32,12.0,6.0,2.0,0.0,2.0,1.0,6.0,10.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-16.0
2024-02-08,CHI,True,False,L,15,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-3.0
2024-02-10,CHA,False,False,L,14,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,4.0,-11.0
2024-02-12,NOP,True,False,L,18,6.0,5.0,1.0,1.0,3.0,2.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,6.1,12.0
2024-02-15,MIL,True,False,W,23,10.0,6.0,2.0,0.0,1.0,2.0,4.0,11.0,0.364,0.0,0.0,0.0,2.0,2.0,1.0,5.8,-10.0
2024-03-01,POR,True,False,L,30,5.0,6.0,1.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,3.6,-12.0
2024-03-04,BKN,False,False,W,19,10.0,7.0,0.0,0.0,1.0,1.0,5.0,6.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,7.6,7.0
2024-03-08,ATL,True,False,L,16,5.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,3.1,7.0
2024-03-10,OKC,False,False,L,21,2.0,4.0,2.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.7,-1.0
2024-03-12,WAS,True,False,W,31,24.0,6.0,0.0,0.0,2.0,3.0,11.0,13.0,0.846,0.0,0.0,0.0,2.0,2.0,1.0,19.9,7.0
2024-03-13,CHA,True,True,L,32,14.0,6.0,1.0,1.0,2.0,3.0,6.0,8.0,0.75,0.0,0.0,0.0,2.0,2.0,1.0,13.5,-2.0
2024-03-18,SAC,False,False,L,13,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-8.0
2024-03-20,GSW,False,False,L,25,4.0,4.0,2.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.5,4.0
2024-03-25,DEN,False,False,L,22,8.0,5.0,1.0,1.0,1.0,2.0,3.0,5.0,0.6,0.0,0.0,0.0,2.0,2.0,1.0,8.4,-3.0
2024-04-03,MIL,False,False,W,19,7.0,4.0,0.0,0.0,2.0,0.0,3.0,7.0,0.429,0.0,0.0,0.0,1.0,2.0,0.5,6.3,-19.0
2024-04-05,DET,True,False,W,31,17.0,13.0,1.0,1.0,3.0,4.0,7.0,9.0,0.778,0.0,0.0,0.0,3.0,3.0,1.0,18.8,-2.0
2024-04-06,PHI,True,True,L,33,5.0,7.0,2.0,0.0,0.0,3.0,2.0,6.0,0.333,0.0,0.0,0.0,1.0,1.0,1.0,2.9,-17.0
2024-04-09,SAS,True,False,L,30,14.0,9.0,2.0,1.0,1.0,1.0,6.0,14.0,0.429,0.0,0.0,0.0,2.0,2.0,1.0,12.2,-4.0
2024-04-10,CLE,False,True,L,36,4.0,9.0,3.0,1.0,4.0,1.0,2.0,7.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,7.5,-17.0
2024-04-12,LAL,True,False,L,35,6.0,5.0,0.0,0.0,1.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0
2024-04-14,DEN,True,False,L,38,6.0,11.0,3.0,2.0,1.0,2.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8.7,-13.0
2024-10-30,GSW,False,False,L,1,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0
2024-11-03,ATL,True,False,L,4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,4.0
2024-11-04,POR,True,True,L,2,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0
2024-11-08,ORL,False,False,L,13,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4,10.0
