date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-10-20,PHI,True,False,L,18,6.0,0.0,2.0,0.0,0.0,0.0,2.0,7.0,0.286,2.0,5.0,0.4,0.0,0.0,0.0,2.9,-4.0
2021-10-22,CHI,False,False,L,25,5.0,2.0,1.0,0.0,0.0,2.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,1.0,0.0,0.4,-28.0
2021-10-23,MIN,False,True,L,22,6.0,5.0,0.0,1.0,0.0,0.0,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,0.0,4.6,4.0
2021-10-25,MIN,False,False,W,20,6.0,3.0,0.0,1.0,0.0,0.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,5.9,9.0
2021-10-27,ATL,True,False,L,26,8.0,3.0,0.0,0.0,0.0,2.0,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,3.2,5.0
2021-10-29,SAC,True,False,L,22,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.1,-2.0
2021-10-30,NYK,True,True,L,18,7.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.333,1.0,3.0,0.333,4.0,4.0,1.0,4.4,0.0
2021-11-02,PHX,False,False,L,25,8.0,5.0,1.0,1.0,0.0,1.0,3.0,11.0,0.273,2.0,6.0,0.333,0.0,0.0,0.0,4.1,-5.0
2021-11-03,SAC,False,True,L,14,0.0,4.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,-5.0
2021-11-05,GSW,False,False,L,18,6.0,1.0,1.0,0.0,2.0,0.0,2.0,9.0,0.222,2.0,8.0,0.25,0.0,0.0,0.0,2.5,-22.0
2021-11-08,DAL,False,False,L,11,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.5,-14.0
2021-11-10,OKC,True,False,L,16,5.0,4.0,0.0,1.0,0.0,0.0,2.0,8.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,3.6,-17.0
2021-11-12,BKN,True,False,L,18,8.0,6.0,1.0,1.0,0.0,0.0,3.0,8.0,0.375,1.0,4.0,0.25,1.0,1.0,1.0,8.7,18.0
2021-11-13,MEM,True,True,W,10,8.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,6.9,-1.0
2021-11-15,WAS,False,False,L,9,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.6,9.0
2021-11-17,MIA,False,False,L,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-4.2,-11.0
2021-11-19,LAC,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-20,IND,False,True,L,21,8.0,6.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,12.6,17.0
2021-11-22,MIN,True,False,L,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,1.0
