date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-03-23,TOR,True,False,W,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-2.0
2024-03-25,CHI,False,False,W,9,6.0,3.0,0.0,0.0,0.0,1.0,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,2.4,-5.0
2024-03-27,BKN,True,False,L,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8,3.0
2024-03-29,DET,True,False,L,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0
2024-03-31,MIA,True,False,L,13,3.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,2.1,4.0
2024-04-02,MIL,True,False,W,31,14.0,7.0,3.0,1.0,0.0,1.0,5.0,11.0,0.455,1.0,6.0,0.167,3.0,3.0,1.0,11.3,6.0
2024-04-03,LAL,True,True,L,21,15.0,3.0,1.0,0.0,1.0,1.0,5.0,9.0,0.556,3.0,6.0,0.5,2.0,2.0,1.0,10.4,4.0
2024-04-05,POR,True,False,L,24,17.0,7.0,2.0,2.0,1.0,1.0,7.0,16.0,0.438,0.0,5.0,0.0,3.0,6.0,0.5,11.0,5.0
2024-04-07,TOR,False,False,L,23,11.0,9.0,4.0,0.0,3.0,2.0,4.0,10.0,0.4,1.0,5.0,0.2,2.0,2.0,1.0,10.8,5.0
2024-04-12,CHI,True,False,L,22,19.0,1.0,1.0,1.0,1.0,3.0,5.0,11.0,0.455,2.0,7.0,0.286,7.0,9.0,0.778,10.6,10.0
2024-12-23,OKC,False,False,L,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.7,-1.0
2024-12-30,NYK,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-4.0
2025-01-01,CHI,True,False,W,2,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
2025-01-19,SAC,False,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-2.0
2025-01-21,LAL,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,-4.0
2025-01-23,LAC,False,False,L,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2025-01-27,DAL,False,False,L,8,10.0,2.0,1.0,0.0,0.0,0.0,4.0,8.0,0.5,1.0,4.0,0.25,1.0,1.0,1.0,7.3,0.0
2025-01-29,TOR,True,False,L,8,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,3.0,0.0
2025-01-30,LAL,True,True,L,12,9.0,3.0,1.0,0.0,0.0,2.0,3.0,6.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,6.0,-3.0
2025-02-05,BKN,False,False,W,19,12.0,6.0,1.0,0.0,0.0,1.0,4.0,9.0,0.444,2.0,5.0,0.4,2.0,4.0,0.5,7.6,0.0
2025-02-07,CLE,True,False,L,16,7.0,4.0,4.0,1.0,0.0,1.0,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,0.0,6.1,10.0
2025-02-08,ATL,True,True,L,14,8.0,8.0,1.0,1.0,0.0,1.0,3.0,6.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,8.9,0.0
2025-02-10,SAS,True,False,L,20,18.0,6.0,2.0,1.0,1.0,1.0,7.0,10.0,0.7,2.0,3.0,0.667,2.0,2.0,1.0,16.9,13.0
2025-02-12,IND,True,False,L,2,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0
2025-02-21,MIL,True,False,L,3,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.6,-1.0
2025-02-23,ORL,False,False,L,19,12.0,5.0,2.0,1.0,0.0,3.0,4.0,6.0,0.667,1.0,3.0,0.333,3.0,4.0,0.75,9.1,-6.0
2025-02-24,BKN,True,True,W,10,6.0,4.0,0.0,0.0,1.0,1.0,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,3.6,-8.0
2025-02-26,POR,True,False,L,19,8.0,2.0,1.0,0.0,1.0,2.0,3.0,7.0,0.429,1.0,3.0,0.333,1.0,2.0,0.5,3.1,-13.0
2025-03-03,MIA,False,False,L,2,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7,4.0
2025-03-05,UTA,True,False,W,18,8.0,7.0,1.0,1.0,2.0,1.0,2.0,10.0,0.2,2.0,8.0,0.25,2.0,2.0,1.0,6.8,-3.0
2025-03-10,TOR,False,False,L,25,15.0,7.0,2.0,1.0,1.0,1.0,6.0,15.0,0.4,2.0,8.0,0.25,1.0,1.0,1.0,9.9,0.0
2025-03-17,POR,False,False,L,24,17.0,8.0,2.0,1.0,2.0,3.0,6.0,13.0,0.462,3.0,6.0,0.5,2.0,2.0,1.0,13.1,-5.0
2025-03-19,UTA,False,False,L,21,17.0,5.0,0.0,0.0,2.0,0.0,8.0,11.0,0.727,1.0,4.0,0.25,0.0,2.0,0.0,14.6,0.0
2025-03-21,ORL,True,False,L,21,17.0,6.0,3.0,3.0,1.0,0.0,5.0,10.0,0.5,4.0,4.0,1.0,3.0,3.0,1.0,20.0,8.0
2025-03-22,NYK,False,True,L,4,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,4.4,-2.0
2025-03-24,TOR,True,False,L,24,11.0,4.0,1.0,0.0,1.0,1.0,4.0,9.0,0.444,2.0,4.0,0.5,1.0,3.0,0.333,7.1,-16.0
2025-03-26,PHI,False,False,W,23,17.0,6.0,2.0,1.0,2.0,1.0,7.0,13.0,0.538,0.0,5.0,0.0,3.0,3.0,1.0,14.1,-8.0
2025-03-27,IND,True,True,L,15,4.0,2.0,1.0,0.0,0.0,4.0,1.0,6.0,0.167,0.0,2.0,0.0,2.0,2.0,1.0,-3.7,-28.0
2025-03-29,BKN,True,False,L,24,8.0,6.0,0.0,0.0,2.0,0.0,4.0,10.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,5.4,4.0
2025-03-31,MIA,True,False,L,22,14.0,4.0,1.0,0.0,0.0,3.0,6.0,13.0,0.462,2.0,6.0,0.333,0.0,0.0,0.0,5.8,-13.0
2025-04-02,SAC,True,False,W,22,17.0,8.0,3.0,0.0,1.0,1.0,6.0,13.0,0.462,2.0,4.0,0.5,3.0,5.0,0.6,14.1,1.0
2025-04-03,ORL,True,True,L,14,7.0,1.0,0.0,0.0,1.0,4.0,3.0,7.0,0.429,1.0,1.0,1.0,0.0,0.0,0.0,-1.3,-12.0
2025-04-09,PHI,True,False,L,24,24.0,6.0,0.0,0.0,0.0,4.0,7.0,13.0,0.538,3.0,4.0,0.75,7.0,9.0,0.778,13.9,-24.0
2025-04-11,CHI,False,False,L,26,17.0,3.0,2.0,0.0,2.0,1.0,7.0,14.0,0.5,1.0,5.0,0.2,2.0,2.0,1.0,12.3,-16.0
2025-04-13,MIA,False,False,W,39,28.0,11.0,5.0,0.0,1.0,4.0,9.0,12.0,0.75,4.0,6.0,0.667,6.0,7.0,0.857,25.1,6.0
2025-10-22,MIL,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2025-10-24,DAL,False,False,W,7,2.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,1.0,0.0,-0.5,11.0
2025-10-26,CHA,True,False,L,11,6.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,4.1,-1.0
2025-10-30,OKC,False,False,L,4,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0
2025-11-01,ORL,True,False,L,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.8,-7.0
2025-11-03,NYK,False,False,L,4,4.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,2.0,3.0,0.667,4.2,4.0
2025-11-05,BOS,False,False,L,6,5.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,1.0,1.0,1.0,4.7,-2.0
