date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-10-23,MEM,True,False,W,34,14.0,8.0,1.0,2.0,0.0,1.0,6.0,14.0,0.429,1.0,2.0,0.5,1.0,1.0,1.0,9.9,10.0
2019-10-26,MIL,False,False,W,32,14.0,5.0,0.0,0.0,0.0,3.0,6.0,16.0,0.375,2.0,7.0,0.286,0.0,0.0,0.0,2.5,-9.0
2019-10-27,MIN,False,True,L,35,8.0,5.0,4.0,1.0,0.0,5.0,3.0,9.0,0.333,1.0,6.0,0.167,1.0,1.0,1.0,2.0,0.0
2019-10-29,ATL,True,False,W,29,29.0,7.0,2.0,0.0,0.0,2.0,7.0,9.0,0.778,3.0,4.0,0.75,12.0,16.0,0.75,25.4,9.0
2019-10-31,ATL,False,False,W,30,17.0,4.0,3.0,1.0,0.0,1.0,7.0,16.0,0.438,3.0,9.0,0.333,0.0,0.0,0.0,11.9,-1.0
2019-11-03,HOU,True,False,W,35,12.0,7.0,7.0,1.0,0.0,1.0,3.0,10.0,0.3,2.0,5.0,0.4,4.0,4.0,1.0,13.2,2.0
2019-11-05,DEN,False,False,L,15,2.0,3.0,1.0,1.0,0.0,3.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,-1.2,-6.0
2019-11-07,PHX,False,False,W,29,15.0,2.0,2.0,1.0,0.0,0.0,6.0,12.0,0.5,3.0,4.0,0.75,0.0,0.0,0.0,11.6,14.0
2019-11-08,LAL,False,True,L,23,7.0,2.0,0.0,1.0,0.0,0.0,2.0,8.0,0.25,1.0,5.0,0.2,2.0,2.0,1.0,3.8,2.0
2019-11-14,CLE,False,False,W,22,16.0,1.0,1.0,0.0,1.0,4.0,4.0,7.0,0.571,2.0,4.0,0.5,6.0,6.0,1.0,10.0,9.0
2019-11-16,NOP,True,False,W,32,12.0,5.0,2.0,1.0,0.0,3.0,6.0,12.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,7.3,12.0
2019-11-20,CLE,True,False,W,31,22.0,3.0,3.0,0.0,0.0,5.0,9.0,13.0,0.692,4.0,7.0,0.571,0.0,0.0,0.0,13.7,16.0
2019-11-22,CHI,False,False,W,28,9.0,3.0,6.0,1.0,0.0,2.0,3.0,11.0,0.273,2.0,8.0,0.25,1.0,2.0,0.5,5.0,-1.0
2019-11-23,PHI,False,True,L,36,20.0,2.0,1.0,1.0,1.0,2.0,7.0,17.0,0.412,4.0,9.0,0.444,2.0,4.0,0.5,11.1,1.0
2019-11-25,CHA,True,False,W,30,18.0,2.0,1.0,0.0,0.0,0.0,6.0,13.0,0.462,2.0,7.0,0.286,4.0,4.0,1.0,11.4,2.0
2019-11-27,HOU,False,False,L,36,22.0,8.0,3.0,2.0,0.0,5.0,8.0,18.0,0.444,3.0,8.0,0.375,3.0,4.0,0.75,13.7,-1.0
2019-11-29,GSW,True,False,W,27,19.0,5.0,0.0,0.0,0.0,2.0,7.0,11.0,0.636,5.0,6.0,0.833,0.0,0.0,0.0,13.2,12.0
2019-12-01,BKN,False,False,W,21,4.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.5,-2.0
2019-12-03,TOR,False,False,W,18,6.0,2.0,1.0,1.0,0.0,1.0,2.0,7.0,0.286,1.0,4.0,0.25,1.0,1.0,1.0,2.4,-8.0
2019-12-04,BOS,False,True,L,20,5.0,1.0,1.0,0.0,1.0,1.0,2.0,8.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.5,-13.0
2019-12-06,WAS,True,False,W,32,22.0,7.0,2.0,2.0,0.0,1.0,10.0,18.0,0.556,2.0,7.0,0.286,0.0,0.0,0.0,17.5,7.0
2019-12-08,CHI,True,False,W,41,27.0,6.0,3.0,1.0,0.0,2.0,10.0,22.0,0.455,5.0,11.0,0.455,2.0,2.0,1.0,17.7,6.0
2019-12-10,ATL,True,False,W,23,0.0,0.0,1.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-4.5,-30.0
2019-12-13,LAL,True,False,L,24,7.0,3.0,1.0,0.0,0.0,1.0,3.0,12.0,0.25,1.0,6.0,0.167,0.0,0.0,0.0,0.4,6.0
2019-12-14,DAL,False,True,W,39,19.0,6.0,2.0,0.0,0.0,0.0,4.0,14.0,0.286,3.0,6.0,0.5,8.0,8.0,1.0,14.4,1.0
2019-12-16,MEM,False,False,L,38,22.0,5.0,3.0,1.0,0.0,1.0,7.0,20.0,0.35,2.0,5.0,0.4,6.0,6.0,1.0,14.4,-6.0
2019-12-18,PHI,False,False,W,25,9.0,8.0,7.0,1.0,0.0,2.0,4.0,11.0,0.364,1.0,3.0,0.333,0.0,0.0,0.0,8.4,4.0
2019-12-20,NYK,True,False,W,25,12.0,2.0,2.0,0.0,0.0,2.0,5.0,10.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,6.6,-9.0
2019-12-23,UTA,True,False,W,27,17.0,6.0,2.0,1.0,0.0,2.0,7.0,13.0,0.538,3.0,5.0,0.6,0.0,0.0,0.0,12.1,7.0
2019-12-27,IND,True,False,W,22,10.0,9.0,4.0,0.0,0.0,3.0,4.0,11.0,0.364,2.0,6.0,0.333,0.0,0.0,0.0,6.4,1.0
2019-12-28,PHI,True,True,W,34,16.0,5.0,0.0,0.0,0.0,1.0,6.0,14.0,0.429,4.0,8.0,0.5,0.0,0.0,0.0,9.1,-11.0
2019-12-30,WAS,False,False,L,20,6.0,3.0,2.0,0.0,0.0,3.0,2.0,7.0,0.286,1.0,4.0,0.25,1.0,2.0,0.5,0.0,-2.0
2020-01-02,TOR,True,False,W,33,13.0,4.0,3.0,1.0,0.0,2.0,5.0,10.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,10.7,5.0
2020-01-03,ORL,False,True,L,25,4.0,5.0,1.0,1.0,0.0,2.0,2.0,11.0,0.182,0.0,6.0,0.0,0.0,1.0,0.0,-2.1,-18.0
2020-01-05,POR,True,False,W,28,11.0,5.0,3.0,0.0,0.0,0.0,4.0,9.0,0.444,2.0,5.0,0.4,1.0,1.0,1.0,9.5,5.0
2020-01-08,IND,False,False,W,26,19.0,7.0,2.0,0.0,0.0,2.0,7.0,16.0,0.438,5.0,8.0,0.625,0.0,0.0,0.0,12.1,-1.0
