date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2015-11-10,CHA,True,False,L,13,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.6,-23.0
2015-11-12,GSW,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-4.0
2015-12-23,SAS,True,False,L,20,6.0,1.0,2.0,2.0,0.0,1.0,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,5.0,-11.0
2015-12-26,IND,True,False,L,11,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,-13.0
2015-12-28,SAS,False,False,L,11,2.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-8.0
2015-12-30,UTA,True,False,W,12,5.0,1.0,2.0,1.0,0.0,1.0,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,4.3,0.0
2015-12-31,DET,False,True,L,13,5.0,5.0,4.0,0.0,0.0,1.0,2.0,5.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,5.2,0.0
2016-01-02,MIL,True,False,L,15,6.0,4.0,2.0,0.0,0.0,1.0,2.0,6.0,0.333,0.0,0.0,0.0,2.0,3.0,0.667,5.0,-19.0
2016-01-04,PHI,False,False,L,2,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-5.0
2016-02-08,NOP,True,False,L,12,3.0,3.0,5.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,1.0,0.0,1.0,1.0,1.0,4.3,11.0
2016-02-19,MEM,False,False,L,14,5.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,0.333,1.0,1.0,1.0,2.0,2.0,1.0,3.3,-3.0
2016-02-22,BOS,True,False,W,16,9.0,2.0,1.0,1.0,0.0,1.0,4.0,7.0,0.571,1.0,2.0,0.5,0.0,0.0,0.0,6.6,-9.0
2016-02-24,TOR,False,False,L,12,4.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,5.0,-2.0
2016-02-27,NOP,False,False,W,13,7.0,3.0,3.0,0.0,0.0,1.0,2.0,4.0,0.5,2.0,3.0,0.667,1.0,2.0,0.5,7.0,-5.0
2016-02-28,DAL,False,True,L,23,7.0,3.0,6.0,2.0,0.0,0.0,2.0,9.0,0.222,2.0,4.0,0.5,1.0,1.0,1.0,8.6,1.0
2016-03-02,WAS,True,False,L,10,3.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,-0.4,-16.0
2016-03-04,MIL,False,False,L,24,2.0,5.0,5.0,2.0,0.0,2.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,5.7,7.0
2016-03-05,BKN,True,True,W,16,9.0,1.0,2.0,0.0,0.0,1.0,3.0,5.0,0.6,2.0,3.0,0.667,1.0,1.0,1.0,6.2,-6.0
