date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-22,BOS,False,False,W,42,34.0,7.0,3.0,1.0,0.0,2.0,13.0,26.0,0.5,5.0,13.0,0.385,3.0,6.0,0.5,23.0,-2.0
2025-10-25,CHA,True,False,W,40,15.0,6.0,8.0,3.0,1.0,2.0,6.0,15.0,0.4,1.0,3.0,0.333,2.0,2.0,1.0,14.8,9.0
2025-10-27,ORL,True,False,W,39,26.0,4.0,7.0,1.0,1.0,2.0,10.0,17.0,0.588,2.0,4.0,0.5,4.0,4.0,1.0,23.1,13.0
2025-10-28,WAS,False,True,W,40,14.0,6.0,4.0,1.0,0.0,2.0,4.0,12.0,0.333,4.0,8.0,0.5,2.0,2.0,1.0,9.2,11.0
2025-10-31,BOS,True,False,L,40,17.0,5.0,5.0,0.0,0.0,1.0,7.0,11.0,0.636,2.0,4.0,0.5,1.0,1.0,1.0,16.5,3.0
2025-11-02,BKN,False,False,W,33,16.0,2.0,3.0,3.0,0.0,3.0,6.0,12.0,0.5,2.0,6.0,0.333,2.0,2.0,1.0,11.9,7.0
2025-11-04,CHI,False,False,L,38,12.0,11.0,4.0,2.0,0.0,2.0,4.0,12.0,0.333,2.0,3.0,0.667,2.0,2.0,1.0,12.1,-5.0
2025-11-05,CLE,False,True,L,37,7.0,4.0,4.0,0.0,0.0,1.0,3.0,14.0,0.214,0.0,5.0,0.0,1.0,2.0,0.5,1.8,-10.0
2025-11-08,TOR,True,False,W,36,11.0,7.0,4.0,3.0,0.0,2.0,5.0,15.0,0.333,0.0,4.0,0.0,1.0,2.0,0.5,7.2,7.0
2025-11-09,DET,True,True,L,32,11.0,6.0,2.0,1.0,1.0,5.0,3.0,9.0,0.333,1.0,2.0,0.5,4.0,6.0,0.667,4.2,6.0
2025-11-11,BOS,True,False,W,35,6.0,3.0,3.0,0.0,2.0,0.0,2.0,11.0,0.182,2.0,6.0,0.333,0.0,0.0,0.0,3.1,10.0
2025-11-14,DET,False,False,L,37,18.0,7.0,3.0,1.0,0.0,2.0,6.0,15.0,0.4,4.0,8.0,0.5,2.0,2.0,1.0,11.9,-1.0
2025-11-17,LAC,True,False,W,37,14.0,6.0,6.0,0.0,0.0,0.0,6.0,13.0,0.462,2.0,6.0,0.333,0.0,2.0,0.0,10.9,4.0
2025-11-19,TOR,True,False,L,37,21.0,6.0,4.0,3.0,2.0,4.0,8.0,20.0,0.4,1.0,6.0,0.167,4.0,5.0,0.8,14.8,-9.0
2025-11-20,MIL,False,True,W,38,12.0,10.0,3.0,0.0,0.0,1.0,5.0,14.0,0.357,2.0,4.0,0.5,0.0,0.0,0.0,9.1,1.0
2025-11-30,ATL,True,False,L,21,7.0,2.0,2.0,2.0,0.0,1.0,3.0,6.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,5.8,-3.0
2025-12-02,WAS,True,False,W,24,9.0,6.0,6.0,2.0,2.0,0.0,4.0,10.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,13.0,10.0
2025-12-04,GSW,True,False,W,24,10.0,6.0,5.0,3.0,0.0,5.0,4.0,8.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,8.1,1.0
2025-12-05,MIL,False,True,W,24,12.0,4.0,1.0,0.0,0.0,0.0,4.0,8.0,0.5,2.0,4.0,0.5,2.0,2.0,1.0,8.3,2.0
2025-12-07,LAL,True,False,L,38,15.0,5.0,3.0,0.0,0.0,1.0,5.0,13.0,0.385,2.0,3.0,0.667,3.0,3.0,1.0,9.7,6.0
2025-12-12,IND,True,False,W,39,22.0,4.0,5.0,2.0,0.0,0.0,6.0,10.0,0.6,3.0,5.0,0.6,7.0,10.0,0.7,22.1,17.0
2025-12-14,ATL,False,False,L,39,26.0,6.0,2.0,0.0,1.0,2.0,9.0,21.0,0.429,4.0,10.0,0.4,4.0,4.0,1.0,15.2,0.0
2025-12-19,NYK,False,False,W,38,23.0,3.0,4.0,2.0,1.0,1.0,10.0,18.0,0.556,3.0,6.0,0.5,0.0,0.0,0.0,19.8,13.0
2025-12-20,DAL,True,True,W,35,26.0,6.0,4.0,0.0,0.0,2.0,10.0,21.0,0.476,3.0,11.0,0.273,3.0,3.0,1.0,17.5,4.0
2025-12-26,CHI,False,False,L,33,10.0,7.0,3.0,1.0,0.0,1.0,4.0,13.0,0.308,0.0,5.0,0.0,2.0,2.0,1.0,6.7,-15.0
2025-12-28,OKC,False,False,L,34,10.0,2.0,5.0,0.0,0.0,2.0,3.0,16.0,0.188,2.0,7.0,0.286,2.0,4.0,0.5,0.5,-23.0
2025-12-30,MEM,False,False,W,41,25.0,6.0,4.0,4.0,1.0,1.0,10.0,21.0,0.476,5.0,10.0,0.5,0.0,0.0,0.0,21.8,-1.0
2026-01-01,DAL,False,False,W,40,23.0,5.0,2.0,4.0,1.0,0.0,9.0,14.0,0.643,3.0,6.0,0.5,2.0,3.0,0.667,24.4,3.0
2026-01-03,NYK,False,False,W,41,26.0,2.0,4.0,2.0,2.0,2.0,10.0,16.0,0.625,4.0,9.0,0.444,2.0,2.0,1.0,23.2,15.0
2026-01-05,DEN,True,False,L,42,17.0,8.0,9.0,2.0,2.0,3.0,6.0,17.0,0.353,5.0,11.0,0.455,0.0,0.0,0.0,17.0,-7.0
2026-01-07,WAS,True,False,W,35,13.0,6.0,7.0,5.0,0.0,2.0,4.0,13.0,0.308,1.0,6.0,0.167,4.0,4.0,1.0,14.0,27.0
2026-01-09,ORL,False,False,W,40,6.0,9.0,7.0,2.0,0.0,1.0,3.0,8.0,0.375,0.0,3.0,0.0,0.0,0.0,0.0,9.8,7.0
2026-01-11,TOR,False,False,L,45,17.0,4.0,4.0,2.0,0.0,4.0,6.0,19.0,0.316,2.0,8.0,0.25,3.0,4.0,0.75,6.1,-12.0
2026-01-12,TOR,False,True,W,33,15.0,2.0,8.0,1.0,0.0,2.0,5.0,7.0,0.714,5.0,6.0,0.833,0.0,0.0,0.0,15.7,8.0
2026-01-14,CLE,True,False,L,27,9.0,3.0,2.0,2.0,1.0,2.0,3.0,10.0,0.3,1.0,6.0,0.167,2.0,2.0,1.0,4.6,-18.0
2026-01-16,CLE,True,False,L,35,10.0,4.0,4.0,0.0,1.0,3.0,4.0,5.0,0.8,2.0,2.0,1.0,0.0,0.0,0.0,8.6,-6.0
2026-01-19,IND,True,False,W,35,11.0,5.0,4.0,0.0,0.0,3.0,3.0,9.0,0.333,0.0,3.0,0.0,5.0,9.0,0.556,5.2,3.0
2026-01-20,PHX,True,True,L,37,25.0,7.0,1.0,2.0,1.0,4.0,10.0,21.0,0.476,2.0,7.0,0.286,3.0,4.0,0.75,15.4,5.0
2026-01-22,HOU,True,False,W,40,9.0,7.0,4.0,3.0,0.0,2.0,4.0,9.0,0.444,1.0,6.0,0.167,0.0,0.0,0.0,9.4,13.0
2026-01-24,NYK,True,False,L,39,14.0,3.0,4.0,1.0,0.0,2.0,5.0,9.0,0.556,1.0,4.0,0.25,3.0,4.0,0.75,10.4,1.0
2026-01-26,CHA,False,False,L,26,9.0,6.0,1.0,1.0,0.0,2.0,2.0,11.0,0.182,1.0,4.0,0.25,4.0,4.0,1.0,2.4,-36.0
2026-01-27,MIL,True,True,W,31,12.0,8.0,7.0,1.0,2.0,1.0,4.0,7.0,0.571,3.0,3.0,1.0,1.0,2.0,0.5,16.6,4.0
2026-01-29,SAC,True,False,W,35,5.0,5.0,3.0,3.0,0.0,1.0,2.0,7.0,0.286,1.0,5.0,0.2,0.0,0.0,0.0,6.9,0.0
2026-01-31,NOP,True,False,W,37,15.0,3.0,5.0,1.0,0.0,1.0,6.0,10.0,0.6,2.0,5.0,0.4,1.0,1.0,1.0,14.4,7.0
2026-02-02,LAC,False,False,W,31,5.0,3.0,7.0,1.0,0.0,0.0,1.0,11.0,0.091,1.0,8.0,0.125,2.0,2.0,1.0,4.1,5.0
2026-02-03,GSW,False,True,W,40,25.0,7.0,7.0,2.0,0.0,2.0,11.0,20.0,0.55,2.0,7.0,0.286,1.0,2.0,0.5,22.8,27.0
2026-02-05,LAL,False,False,L,39,19.0,10.0,2.0,4.0,0.0,3.0,7.0,16.0,0.438,3.0,7.0,0.429,2.0,2.0,1.0,15.6,-2.0
2026-02-07,PHX,False,False,W,25,5.0,6.0,2.0,0.0,0.0,1.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,4.0,-5.0
2026-02-09,POR,False,False,L,33,11.0,6.0,3.0,0.0,2.0,4.0,3.0,13.0,0.231,1.0,6.0,0.167,4.0,4.0,1.0,4.4,-29.0
2026-02-11,NYK,True,False,L,32,14.0,4.0,2.0,0.0,1.0,1.0,6.0,16.0,0.375,0.0,5.0,0.0,2.0,2.0,1.0,7.9,-29.0
2026-02-19,ATL,True,False,L,34,20.0,9.0,0.0,1.0,1.0,6.0,7.0,15.0,0.467,3.0,8.0,0.375,3.0,3.0,1.0,8.7,-6.0
2026-02-21,NOP,False,False,L,35,14.0,5.0,3.0,0.0,0.0,1.0,5.0,14.0,0.357,1.0,5.0,0.2,3.0,3.0,1.0,8.0,-16.0
2026-02-22,MIN,False,True,W,37,24.0,7.0,1.0,2.0,0.0,1.0,8.0,18.0,0.444,6.0,7.0,0.857,2.0,2.0,1.0,17.2,3.0
2026-02-24,IND,False,False,W,30,23.0,7.0,4.0,2.0,0.0,1.0,9.0,13.0,0.692,2.0,4.0,0.5,3.0,3.0,1.0,23.0,27.0
2026-02-26,MIA,True,False,W,39,19.0,8.0,4.0,2.0,1.0,2.0,8.0,13.0,0.615,1.0,6.0,0.167,2.0,2.0,1.0,19.0,1.0
2026-03-01,BOS,False,False,L,40,23.0,5.0,3.0,2.0,1.0,2.0,8.0,21.0,0.381,5.0,11.0,0.455,2.0,3.0,0.667,15.4,-14.0
2026-03-03,SAS,True,False,L,20,6.0,4.0,1.0,1.0,2.0,1.0,2.0,9.0,0.222,0.0,2.0,0.0,2.0,3.0,0.667,4.6,-25.0
2026-03-10,MEM,True,False,W,35,21.0,5.0,5.0,3.0,0.0,2.0,7.0,15.0,0.467,1.0,5.0,0.2,6.0,6.0,1.0,18.9,-7.0
