date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-19,DEN,True,False,W,24,12.0,10.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,6.0,0.333,12.6,12.0
2022-10-21,MIN,False,False,W,18,6.0,5.0,2.0,0.0,4.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,3.0,0.667,9.8,-3.0
2022-10-23,NOP,False,False,W,22,7.0,9.0,2.0,0.0,2.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,10.7,9.0
2022-10-24,HOU,False,True,L,8,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3,0.0
2022-10-26,HOU,True,False,W,11,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,3.2,-4.0
2022-11-02,DAL,False,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-2.0
2022-11-04,LAL,False,False,W,11,8.0,4.0,0.0,0.0,2.0,0.0,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0
2022-11-06,LAC,False,False,W,16,4.0,5.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0
2022-11-07,LAL,True,True,W,18,8.0,9.0,1.0,0.0,2.0,0.0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,9.8,8.0
2022-11-09,ATL,False,False,W,16,12.0,6.0,1.0,0.0,3.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.8,14.0
2022-11-12,WAS,False,False,L,15,2.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.2,15.0
2022-11-13,PHI,False,True,L,12,2.0,9.0,0.0,0.0,3.0,2.0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,2.5,13.0
2022-11-15,NYK,True,False,L,18,8.0,7.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,-8.0
2022-11-18,PHX,True,False,W,20,1.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.4,-18.0
2022-11-19,POR,False,True,W,11,6.0,5.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,-6.0
2022-11-21,LAC,False,False,L,12,4.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,-4.0
2022-11-23,DET,True,False,L,21,5.0,7.0,0.0,0.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,6.4,-4.0
2022-11-25,GSW,False,False,L,21,8.0,4.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,11.2,2.0
2022-11-26,PHX,False,True,L,17,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,3.1,0.0
2022-11-28,CHI,True,False,L,5,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0
2022-11-30,LAC,True,False,W,22,5.0,4.0,0.0,0.0,4.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,3.0,0.333,4.7,8.0
2022-12-02,IND,True,False,W,25,20.0,11.0,1.0,0.0,2.0,1.0,7.0,7.0,1.0,0.0,0.0,0.0,6.0,8.0,0.75,21.5,4.0
2022-12-03,POR,True,True,L,17,8.0,8.0,0.0,0.0,3.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,-10.0
2022-12-07,GSW,True,False,W,24,10.0,12.0,1.0,0.0,5.0,1.0,5.0,6.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0.0
2022-12-09,MIN,True,False,L,21,6.0,7.0,0.0,1.0,0.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0
2022-12-10,DEN,False,True,L,22,10.0,8.0,0.0,0.0,3.0,0.0,4.0,6.0,0.667,0.0,0.0,0.0,2.0,3.0,0.667,11.5,4.0
2022-12-13,NOP,True,False,W,23,11.0,16.0,0.0,0.0,3.0,0.0,5.0,10.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,14.1,9.0
2022-12-15,NOP,True,False,W,28,11.0,8.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,12.4,12.0
2022-12-17,MIL,False,False,L,14,4.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,-9.0
2022-12-19,CLE,False,False,L,25,11.0,6.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,11.0,-9.0
2022-12-20,DET,False,True,W,27,10.0,8.0,1.0,0.0,2.0,1.0,5.0,7.0,0.714,0.0,0.0,0.0,0.0,2.0,0.0,10.2,7.0
2022-12-22,WAS,True,False,W,32,12.0,14.0,1.0,0.0,2.0,1.0,5.0,7.0,0.714,0.0,0.0,0.0,2.0,2.0,1.0,15.6,16.0
2022-12-26,SAS,False,False,L,21,7.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,3.0,6.0,0.5,4.2,-2.0
