date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2018-10-18,PHI,False,False,L,20,8.0,3.0,3.0,0.0,1.0,1.0,4.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.1,-18.0
2018-10-20,DET,True,False,L,18,8.0,2.0,1.0,0.0,2.0,2.0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.9,-3.0
2018-10-22,DAL,False,False,L,32,4.0,9.0,4.0,0.0,1.0,3.0,2.0,7.0,0.286,0.0,1.0,0.0,0.0,0.0,0.0,2.7,5.0
2018-10-24,CHA,True,False,W,30,6.0,7.0,2.0,0.0,2.0,1.0,2.0,7.0,0.286,0.0,0.0,0.0,2.0,6.0,0.333,4.2,-9.0
2018-10-26,CHA,False,False,L,18,7.0,4.0,1.0,0.0,3.0,2.0,2.0,5.0,0.4,1.0,1.0,1.0,2.0,2.0,1.0,5.1,-21.0
2018-10-27,ATL,False,True,W,22,10.0,10.0,1.0,1.0,2.0,1.0,4.0,9.0,0.444,0.0,2.0,0.0,2.0,2.0,1.0,10.8,-8.0
2018-10-29,GSW,True,False,L,27,18.0,7.0,4.0,1.0,0.0,0.0,7.0,13.0,0.538,0.0,2.0,0.0,4.0,5.0,0.8,16.8,-20.0
2018-10-31,DEN,True,False,L,38,25.0,8.0,5.0,3.0,3.0,1.0,9.0,21.0,0.429,2.0,3.0,0.667,5.0,6.0,0.833,24.7,4.0
2018-11-02,IND,True,False,L,24,11.0,8.0,6.0,1.0,1.0,1.0,5.0,10.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,13.7,8.0
2018-11-03,HOU,True,True,L,36,14.0,13.0,1.0,2.0,4.0,3.0,4.0,7.0,0.571,0.0,1.0,0.0,6.0,6.0,1.0,16.7,2.0
2018-11-05,NYK,False,False,W,22,11.0,13.0,2.0,0.0,2.0,3.0,3.0,9.0,0.333,1.0,1.0,1.0,4.0,4.0,1.0,9.6,11.0
2018-11-07,NOP,False,False,L,29,17.0,11.0,0.0,1.0,3.0,1.0,7.0,11.0,0.636,1.0,2.0,0.5,2.0,3.0,0.667,16.7,-7.0
2018-11-10,CLE,True,False,W,25,15.0,5.0,1.0,0.0,3.0,2.0,5.0,6.0,0.833,0.0,0.0,0.0,5.0,8.0,0.625,13.9,-7.0
2018-11-12,DAL,True,False,L,27,7.0,10.0,1.0,1.0,2.0,3.0,3.0,9.0,0.333,0.0,3.0,0.0,1.0,1.0,1.0,5.0,10.0
2018-11-14,BOS,False,False,L,26,11.0,7.0,0.0,0.0,1.0,2.0,5.0,13.0,0.385,0.0,1.0,0.0,1.0,1.0,1.0,4.7,-15.0
2018-11-16,MIL,False,False,L,25,12.0,4.0,4.0,1.0,1.0,1.0,6.0,8.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,12.3,-21.0
2018-11-17,TOR,True,True,L,22,8.0,5.0,3.0,0.0,1.0,1.0,2.0,8.0,0.25,0.0,1.0,0.0,4.0,4.0,1.0,6.5,-20.0
2018-11-21,PHX,True,False,W,22,14.0,5.0,2.0,1.0,0.0,2.0,6.0,9.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,10.0,-4.0
2018-11-23,MIA,True,False,L,14,6.0,4.0,2.0,0.0,2.0,2.0,1.0,2.0,0.5,0.0,1.0,0.0,4.0,4.0,1.0,5.0,-1.0
