date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-01-03,LAL,True,False,L,17,6.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,1.0
2021-01-05,LAL,True,False,L,18,8.0,2.0,0.0,1.0,0.0,1.0,3.0,8.0,0.375,0.0,1.0,0.0,2.0,2.0,1.0,4.2,13.0
2021-01-07,CLE,True,False,L,20,2.0,1.0,2.0,1.0,1.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.0
2021-01-08,BKN,True,True,W,19,6.0,6.0,3.0,0.0,1.0,0.0,3.0,8.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,7.0,5.0
2021-01-11,CLE,False,False,W,18,8.0,1.0,2.0,1.0,2.0,0.0,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,9.8,8.0
2021-01-13,MIN,False,False,W,18,12.0,5.0,3.0,2.0,0.0,0.0,6.0,8.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0
2021-01-16,PHI,True,False,W,28,15.0,4.0,2.0,4.0,0.0,1.0,7.0,13.0,0.538,1.0,5.0,0.2,0.0,0.0,0.0,13.5,5.0
2021-01-18,PHX,True,False,W,29,12.0,6.0,1.0,2.0,0.0,1.0,5.0,8.0,0.625,1.0,2.0,0.5,1.0,2.0,0.5,10.7,-7.0
2021-01-30,SAS,False,False,W,21,6.0,6.0,3.0,1.0,2.0,0.0,3.0,8.0,0.375,0.0,1.0,0.0,0.0,1.0,0.0,6.3,4.0
2021-02-01,SAS,False,False,W,24,10.0,9.0,1.0,2.0,2.0,1.0,4.0,6.0,0.667,0.0,0.0,0.0,2.0,3.0,0.667,12.4,18.0
2021-02-02,IND,False,True,L,23,12.0,4.0,2.0,0.0,2.0,1.0,5.0,10.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,8.4,-20.0
2021-02-04,HOU,True,False,L,23,9.0,10.0,1.0,1.0,0.0,2.0,3.0,7.0,0.429,1.0,3.0,0.333,2.0,2.0,1.0,9.6,-10.0
2021-02-06,NOP,False,False,L,28,5.0,8.0,1.0,0.0,1.0,1.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,3.9,-4.0
2021-02-08,TOR,True,False,L,20,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,-17.0
2021-02-10,CHA,True,False,W,17,6.0,3.0,3.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,5.2,17.0
2021-02-12,LAL,False,False,L,20,8.0,2.0,0.0,0.0,1.0,0.0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,6.2,-14.0
2021-02-14,SAC,False,False,W,22,12.0,5.0,2.0,1.0,0.0,1.0,5.0,8.0,0.625,1.0,2.0,0.5,1.0,2.0,0.5,10.9,5.0
2021-02-16,NOP,True,False,L,20,5.0,3.0,1.0,2.0,0.0,5.0,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.2,-27.0
2021-02-17,OKC,True,True,W,19,7.0,2.0,2.0,1.0,0.0,1.0,3.0,4.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,7.0,-5.0
2021-02-19,DET,True,False,W,18,8.0,8.0,3.0,1.0,1.0,1.0,4.0,8.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,10.4,12.0
2021-02-20,PHX,True,True,L,24,9.0,4.0,0.0,0.0,1.0,1.0,3.0,9.0,0.333,0.0,5.0,0.0,3.0,3.0,1.0,6.0,-11.0
2021-02-22,DAL,False,False,L,18,4.0,10.0,0.0,1.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,7.5,-1.0
2021-02-25,LAC,True,False,W,23,4.0,3.0,5.0,2.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,6.5,19.0
2021-02-26,LAC,True,True,L,15,5.0,4.0,0.0,0.0,0.0,1.0,2.0,6.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,0.6,-12.0
2021-02-28,HOU,False,False,W,19,5.0,4.0,2.0,0.0,0.0,2.0,2.0,4.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,1.6,29.0
2021-03-02,WAS,False,False,W,17,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.8,16.0
2021-03-04,MIL,True,False,L,13,0.0,5.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0
2021-03-10,WAS,True,False,W,16,6.0,3.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,2.2,-2.0
2021-03-12,DEN,True,False,L,11,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-1.0
2021-03-14,OKC,False,False,L,17,5.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,5.9,-6.0
