date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-22,MIN,True,False,L,5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.6,-5.0
2025-10-24,GSW,True,False,W,7,2.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0
2025-10-26,LAC,False,False,L,4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.6,-2.0
2025-10-27,LAL,False,True,W,9,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,-1.8,-1.0
2025-10-29,UTA,False,False,W,4,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-4.0
2025-11-18,PHX,True,False,L,13,9.0,5.0,3.0,0.0,1.0,3.0,4.0,7.0,0.571,0.0,2.0,0.0,1.0,1.0,1.0,7.4,2.0
2025-11-19,CHI,True,True,L,8,2.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-5.0
2025-11-23,OKC,False,False,L,18,8.0,4.0,3.0,0.0,1.0,0.0,3.0,11.0,0.273,1.0,6.0,0.167,1.0,1.0,1.0,5.1,-6.0
2025-11-24,MIL,False,True,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-6.0
2025-11-26,SAS,True,False,L,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0
2025-11-30,OKC,True,False,L,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.2,3.0
2025-12-03,CLE,False,False,W,5,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.7,5.0
2025-12-07,MEM,False,False,L,19,4.0,5.0,2.0,0.0,0.0,2.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.6,2.0
2025-12-23,ORL,True,False,L,8,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,4.6,1.0
2025-12-28,BOS,True,False,W,11,3.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,-0.6,6.0
2025-12-29,DAL,True,True,W,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.5,2.0
2025-12-31,OKC,False,False,L,11,3.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,2.1,-5.0
2026-01-02,NOP,False,False,W,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.7,-5.0
2026-01-03,SAS,False,True,W,11,2.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,1.0
2026-01-05,UTA,True,False,W,2,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,3.7,2.0
2026-01-07,HOU,True,False,W,17,3.0,3.0,2.0,0.0,0.0,2.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,-1.1,2.0
2026-01-09,HOU,True,False,W,13,2.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,-1.5,0.0
2026-01-13,GSW,False,False,L,13,3.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,2.0,-9.0
2026-01-17,LAL,True,False,W,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-6.0
2026-01-18,SAC,False,True,W,9,2.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,-0.8,-7.0
