date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-22,UTA,False,False,L,4,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,3.6,6.0
2025-10-24,PHX,True,False,W,5,6.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,1.0
2025-10-28,GSW,False,False,L,5,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,4.0
2025-11-04,OKC,True,False,L,7,5.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,3.2,3.0
2025-11-06,PHX,False,False,L,3,4.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1.0
2025-11-20,ORL,False,False,L,11,6.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,-13.0
2025-11-22,CHA,False,False,W,3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-9.0
2025-11-23,CLE,False,True,L,4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
2025-11-25,LAL,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2025-12-01,MIA,False,False,L,12,6.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,0.0,3.6,-5.0
2025-12-03,ATL,False,False,W,3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0
2025-12-15,MEM,True,False,L,4,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.3,5.0
2025-12-23,HOU,True,False,W,15,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,2.3,-4.0
2025-12-26,POR,False,False,W,12,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.7,4.0
2025-12-28,DET,True,False,W,12,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0
2025-12-30,SAC,True,False,W,25,16.0,6.0,2.0,0.0,1.0,1.0,6.0,8.0,0.75,0.0,1.0,0.0,4.0,6.0,0.667,15.3,27.0
2026-01-01,UTA,True,False,W,27,6.0,10.0,1.0,0.0,2.0,1.0,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,7.2,18.0
2026-01-03,BOS,True,False,L,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-7.0
2026-01-07,NYK,False,False,L,2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.2,1.0
2026-01-09,BKN,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2026-01-12,CHA,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2026-01-14,WAS,True,False,W,23,16.0,5.0,2.0,0.0,2.0,2.0,7.0,7.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,15.0,14.0
2026-01-16,TOR,False,False,W,14,5.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0,0.833,3.1,-14.0
2026-01-20,CHI,False,False,L,12,4.0,4.0,0.0,0.0,1.0,1.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.9,-9.0
2026-01-25,BKN,True,False,W,7,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
2026-01-27,UTA,False,False,W,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.5,-8.0
2026-01-30,DEN,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,3.0
2026-02-01,PHX,False,False,W,3,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.7,7.0
2026-02-02,PHI,True,True,L,6,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.0
2026-02-04,CLE,True,False,L,25,10.0,8.0,0.0,0.0,2.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,-16.0
2026-02-06,SAC,False,False,W,6,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-1.0
2026-02-08,MIN,False,False,W,17,15.0,6.0,2.0,0.0,1.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,7.0,0.714,14.4,7.0
2026-02-10,HOU,False,False,L,13,3.0,4.0,0.0,0.0,2.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,2.9,-7.0
2026-02-11,HOU,False,True,W,10,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2026-02-19,DEN,True,False,W,13,4.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0
2026-02-20,LAL,False,True,L,13,6.0,3.0,1.0,1.0,0.0,2.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,4.5,-3.0
2026-02-22,ORL,True,False,L,26,7.0,8.0,0.0,0.0,4.0,1.0,3.0,7.0,0.429,1.0,2.0,0.5,0.0,0.0,0.0,8.3,2.0
2026-02-26,MIN,True,False,L,16,10.0,4.0,0.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,0.0,0.0,6.0,6.0,1.0,6.3,-6.0
2026-03-01,NOP,True,False,W,20,7.0,6.0,0.0,0.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,3.0,3.0,1.0,6.2,10.0
2026-03-02,GSW,False,True,W,21,11.0,9.0,0.0,2.0,4.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,5.0,6.0,0.833,14.7,10.0
2026-03-04,IND,True,False,W,8,6.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,8.4,14.0
