date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-23,CHI,True,False,W,23,12.0,7.0,1.0,1.0,3.0,1.0,5.0,8.0,0.625,0.0,0.0,0.0,2.0,2.0,1.0,13.7,4.0
2024-10-25,POR,False,False,W,22,8.0,6.0,2.0,0.0,2.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,4.0,6.0,0.667,9.1,-11.0
2024-10-27,POR,False,False,L,20,5.0,3.0,2.0,2.0,2.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,7.7,-1.0
2024-10-29,GSW,False,False,L,22,9.0,7.0,3.0,0.0,2.0,2.0,4.0,6.0,0.667,0.0,0.0,0.0,1.0,5.0,0.2,8.4,-4.0
2024-10-30,GSW,False,True,L,12,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-13.0
2024-11-01,IND,True,False,W,26,4.0,10.0,0.0,0.0,1.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,6.6,8.0
2024-11-03,ATL,True,False,L,26,4.0,6.0,3.0,1.0,1.0,1.0,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,6.4,-18.0
2024-11-04,POR,True,True,L,27,4.0,7.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,7.9,-7.0
2024-11-06,CLE,True,False,L,19,10.0,4.0,0.0,0.0,3.0,1.0,4.0,8.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,8.7,-2.0
2024-11-08,ORL,False,False,L,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,-30.0
2024-11-11,BKN,True,False,L,30,17.0,11.0,2.0,1.0,1.0,0.0,7.0,8.0,0.875,0.0,0.0,0.0,3.0,4.0,0.75,21.0,-2.0
2024-11-13,OKC,False,False,L,26,10.0,10.0,2.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,-9.0
2024-11-15,DEN,True,False,W,29,6.0,12.0,0.0,1.0,0.0,6.0,2.0,6.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,3.2,1.0
2024-11-16,LAL,True,True,L,29,8.0,7.0,3.0,2.0,0.0,3.0,3.0,5.0,0.6,0.0,0.0,0.0,2.0,4.0,0.5,8.5,-2.0
2024-11-19,DAL,False,False,L,23,3.0,9.0,4.0,1.0,1.0,2.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,5.7,-21.0
2024-11-20,CLE,False,True,L,19,12.0,8.0,0.0,0.0,0.0,0.0,4.0,9.0,0.444,0.0,0.0,0.0,4.0,4.0,1.0,10.9,-25.0
2024-11-25,IND,False,False,L,31,16.0,13.0,0.0,2.0,2.0,0.0,7.0,11.0,0.636,0.0,0.0,0.0,2.0,6.0,0.333,17.2,26.0
2024-11-27,TOR,True,False,L,28,11.0,5.0,1.0,1.0,2.0,2.0,3.0,5.0,0.6,0.0,0.0,0.0,5.0,8.0,0.625,10.9,-21.0
2024-11-29,MEM,False,False,L,31,16.0,14.0,1.0,1.0,3.0,1.0,6.0,13.0,0.462,0.0,0.0,0.0,4.0,6.0,0.667,16.3,-13.0
2024-12-01,NYK,False,False,L,20,11.0,8.0,1.0,0.0,1.0,2.0,5.0,7.0,0.714,0.0,0.0,0.0,1.0,1.0,1.0,11.1,-8.0
2024-12-02,ATL,False,True,L,35,23.0,12.0,0.0,1.0,1.0,4.0,11.0,14.0,0.786,0.0,0.0,0.0,1.0,4.0,0.25,18.9,-9.0
2024-12-05,PHX,True,False,W,25,9.0,12.0,0.0,0.0,0.0,0.0,3.0,9.0,0.333,0.0,0.0,0.0,3.0,5.0,0.6,7.9,0.0
2024-12-07,OKC,True,False,L,29,8.0,7.0,0.0,1.0,2.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,9.9,-15.0
2024-12-08,SAS,False,True,L,32,18.0,14.0,0.0,1.0,2.0,0.0,6.0,13.0,0.462,0.0,0.0,0.0,6.0,7.0,0.857,19.5,-2.0
2024-12-12,SAC,True,False,L,31,7.0,11.0,1.0,0.0,1.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,9.1,-6.0
2024-12-15,IND,False,False,L,34,9.0,14.0,2.0,1.0,1.0,0.0,4.0,7.0,0.571,0.0,0.0,0.0,1.0,2.0,0.5,13.4,-14.0
2024-12-19,HOU,False,False,L,33,11.0,11.0,1.0,0.0,0.0,1.0,5.0,8.0,0.625,0.0,0.0,0.0,1.0,2.0,0.5,9.6,-19.0
2024-12-21,NYK,True,False,L,30,9.0,8.0,1.0,1.0,0.0,5.0,3.0,8.0,0.375,0.0,0.0,0.0,3.0,4.0,0.75,5.3,-11.0
2024-12-22,DEN,True,True,L,40,21.0,9.0,1.0,2.0,3.0,0.0,9.0,12.0,0.75,0.0,1.0,0.0,3.0,5.0,0.6,22.9,4.0
2024-12-26,HOU,True,False,L,29,2.0,9.0,4.0,0.0,2.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-4.0
2024-12-27,MEM,True,True,L,27,6.0,6.0,2.0,0.0,3.0,3.0,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,4.2,-6.0
