date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-23,UTA,False,False,W,15,5.0,5.0,0.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,5.0,0.2,1.1,-5.0
2024-10-25,HOU,False,False,L,23,13.0,9.0,1.0,1.0,1.0,0.0,6.0,10.0,0.6,0.0,0.0,0.0,1.0,3.0,0.333,12.7,-11.0
2024-10-26,ORL,True,True,W,13,7.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,4.1,-12.0
2024-10-28,CHI,True,False,L,14,6.0,5.0,0.0,0.0,0.0,0.0,3.0,7.0,0.429,0.0,2.0,0.0,0.0,0.0,0.0,3.8,-5.0
2024-10-30,BKN,True,False,L,18,13.0,2.0,1.0,1.0,0.0,1.0,6.0,9.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,10.0,-6.0
2024-10-31,MIL,True,True,W,24,10.0,8.0,0.0,1.0,1.0,1.0,5.0,9.0,0.556,0.0,0.0,0.0,0.0,0.0,0.0,8.4,5.0
2024-11-02,PHI,False,False,W,22,10.0,10.0,1.0,1.0,1.0,3.0,4.0,7.0,0.571,0.0,0.0,0.0,2.0,2.0,1.0,9.9,15.0
2024-11-04,BKN,False,False,L,29,25.0,12.0,1.0,0.0,4.0,2.0,11.0,12.0,0.917,1.0,1.0,1.0,2.0,4.0,0.5,26.9,5.0
2024-11-06,LAL,True,False,W,15,8.0,7.0,0.0,0.0,0.0,3.0,3.0,5.0,0.6,0.0,0.0,0.0,2.0,2.0,1.0,5.6,4.0
2024-11-08,WAS,True,False,W,22,14.0,8.0,2.0,1.0,2.0,3.0,5.0,8.0,0.625,1.0,2.0,0.5,3.0,3.0,1.0,13.2,5.0
2024-11-10,POR,False,False,W,24,12.0,6.0,2.0,4.0,1.0,6.0,5.0,7.0,0.714,1.0,1.0,1.0,1.0,2.0,0.5,10.2,23.0
2024-11-13,LAL,False,False,L,26,12.0,8.0,1.0,1.0,1.0,2.0,3.0,8.0,0.375,0.0,0.0,0.0,6.0,6.0,1.0,9.6,12.0
2024-11-15,GSW,False,False,L,23,14.0,9.0,0.0,1.0,1.0,0.0,5.0,8.0,0.625,2.0,2.0,1.0,2.0,2.0,1.0,15.2,14.0
2024-11-17,DEN,True,False,W,14,7.0,7.0,2.0,1.0,2.0,1.0,3.0,7.0,0.429,0.0,1.0,0.0,1.0,2.0,0.5,8.2,4.0
2024-12-15,LAL,False,False,L,24,13.0,10.0,1.0,1.0,1.0,0.0,6.0,8.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,16.8,12.0
2024-12-19,GSW,True,False,W,24,8.0,8.0,4.0,0.0,2.0,4.0,3.0,5.0,0.6,1.0,2.0,0.5,1.0,2.0,0.5,7.5,24.0
2024-12-21,ATL,False,False,W,27,10.0,6.0,0.0,1.0,0.0,2.0,5.0,7.0,0.714,0.0,0.0,0.0,0.0,1.0,0.0,7.1,5.0
2024-12-23,LAC,True,False,L,27,3.0,14.0,1.0,1.0,2.0,2.0,1.0,8.0,0.125,1.0,3.0,0.333,0.0,0.0,0.0,5.9,3.0
2024-12-26,TOR,True,False,W,27,21.0,16.0,2.0,0.0,2.0,0.0,9.0,15.0,0.6,1.0,5.0,0.2,2.0,5.0,0.4,24.1,29.0
