date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-10-25,MIA,False,False,L,27,4.0,7.0,3.0,0.0,5.0,2.0,1.0,7.0,0.143,1.0,2.0,0.5,1.0,2.0,0.5,5.2,-14.0
2023-10-27,CHA,False,False,W,30,6.0,13.0,6.0,0.0,1.0,3.0,2.0,9.0,0.222,0.0,1.0,0.0,2.0,2.0,1.0,5.9,10.0
2023-10-28,CHI,True,True,W,31,9.0,12.0,5.0,1.0,1.0,2.0,3.0,7.0,0.429,0.0,2.0,0.0,3.0,4.0,0.75,11.7,6.0
2023-10-30,OKC,False,False,L,31,15.0,10.0,3.0,1.0,3.0,3.0,6.0,14.0,0.429,0.0,2.0,0.0,3.0,4.0,0.75,13.6,-13.0
2023-11-01,POR,True,False,L,30,16.0,7.0,2.0,2.0,0.0,2.0,8.0,14.0,0.571,0.0,3.0,0.0,0.0,0.0,0.0,12.5,-9.0
2023-11-02,NOP,False,True,L,25,16.0,7.0,5.0,0.0,1.0,3.0,5.0,17.0,0.294,0.0,6.0,0.0,6.0,7.0,0.857,9.0,-16.0
2023-11-05,PHX,True,False,L,38,14.0,9.0,4.0,4.0,4.0,1.0,6.0,14.0,0.429,2.0,3.0,0.667,0.0,0.0,0.0,18.7,-13.0
2023-11-06,GSW,True,True,L,38,16.0,7.0,2.0,4.0,0.0,1.0,6.0,10.0,0.6,1.0,4.0,0.25,3.0,3.0,1.0,18.7,3.0
2023-11-08,MIL,False,False,L,37,6.0,15.0,3.0,0.0,1.0,2.0,3.0,8.0,0.375,0.0,1.0,0.0,0.0,0.0,0.0,6.5,-6.0
2023-11-10,PHI,True,False,L,32,12.0,13.0,4.0,1.0,3.0,2.0,6.0,11.0,0.545,0.0,1.0,0.0,0.0,1.0,0.0,13.7,2.0
2023-11-12,CHI,False,False,L,32,9.0,16.0,2.0,0.0,2.0,3.0,2.0,9.0,0.222,0.0,1.0,0.0,5.0,7.0,0.714,9.3,-19.0
2023-11-14,ATL,True,False,L,35,21.0,8.0,5.0,3.0,2.0,2.0,9.0,12.0,0.75,0.0,1.0,0.0,3.0,6.0,0.5,22.5,-4.0
2023-11-17,CLE,False,False,L,17,9.0,10.0,2.0,0.0,0.0,5.0,4.0,8.0,0.5,0.0,1.0,0.0,1.0,3.0,0.333,4.0,-5.0
2023-11-19,TOR,False,False,L,30,9.0,10.0,2.0,1.0,1.0,5.0,3.0,5.0,0.6,0.0,1.0,0.0,3.0,4.0,0.75,5.4,-21.0
2023-11-20,DEN,True,True,L,24,8.0,7.0,0.0,0.0,2.0,0.0,4.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,5.3,-7.0
2023-11-24,IND,False,False,L,30,8.0,6.0,3.0,0.0,2.0,1.0,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0
2023-11-27,WAS,True,False,L,28,16.0,4.0,2.0,2.0,1.0,1.0,8.0,14.0,0.571,0.0,2.0,0.0,0.0,0.0,0.0,12.1,-3.0
2023-11-29,LAL,True,False,L,21,12.0,6.0,0.0,1.0,0.0,0.0,6.0,11.0,0.545,0.0,3.0,0.0,0.0,0.0,0.0,8.3,-23.0
2023-11-30,NYK,False,True,L,13,3.0,7.0,0.0,0.0,0.0,3.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,-0.5,-13.0
2023-12-02,CLE,True,False,L,16,4.0,8.0,0.0,0.0,0.0,2.0,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.6,-14.0
2023-12-06,MEM,True,False,L,16,5.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,3.6,-15.0
2023-12-08,ORL,False,False,L,20,5.0,2.0,2.0,1.0,0.0,0.0,2.0,12.0,0.167,0.0,5.0,0.0,1.0,2.0,0.5,-0.8,-15.0
2023-12-11,IND,True,False,L,33,20.0,6.0,2.0,1.0,1.0,1.0,8.0,10.0,0.8,1.0,2.0,0.5,3.0,5.0,0.6,18.5,-8.0
2023-12-13,PHI,True,False,L,30,10.0,8.0,3.0,1.0,0.0,0.0,5.0,7.0,0.714,0.0,1.0,0.0,0.0,0.0,0.0,12.2,-1.0
2023-12-15,PHI,False,False,L,22,8.0,3.0,1.0,0.0,1.0,1.0,3.0,5.0,0.6,0.0,0.0,0.0,2.0,2.0,1.0,6.2,-15.0
2023-12-16,MIL,False,True,L,24,7.0,6.0,1.0,0.0,0.0,0.0,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,4.9,-17.0
2023-12-18,ATL,False,False,L,19,2.0,8.0,3.0,1.0,0.0,2.0,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,2.8,-16.0
2023-12-21,UTA,True,False,L,19,7.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,6.0,-18.0
