date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2016-10-26,DEN,True,False,L,17,4.0,1.0,3.0,0.0,0.0,0.0,2.0,8.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,1.6,-12.0
2016-10-28,GSW,True,False,L,19,2.0,1.0,1.0,0.0,1.0,2.0,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,-2.5,-12.0
2016-10-29,SAS,False,True,L,18,8.0,5.0,0.0,2.0,0.0,1.0,3.0,10.0,0.3,0.0,3.0,0.0,2.0,2.0,1.0,4.7,1.0
2016-11-01,MIL,True,False,L,14,10.0,0.0,0.0,1.0,0.0,4.0,4.0,10.0,0.4,1.0,6.0,0.167,1.0,1.0,1.0,1.6,-11.0
2016-11-02,MEM,False,True,L,31,18.0,4.0,1.0,2.0,1.0,2.0,6.0,15.0,0.4,4.0,9.0,0.444,2.0,2.0,1.0,10.9,6.0
2016-11-04,PHX,True,False,L,23,10.0,3.0,1.0,0.0,0.0,0.0,4.0,14.0,0.286,2.0,10.0,0.2,0.0,0.0,0.0,3.0,11.0
2016-11-07,GSW,False,False,L,28,9.0,6.0,1.0,0.0,0.0,1.0,4.0,10.0,0.4,1.0,5.0,0.2,0.0,0.0,0.0,4.7,-10.0
2016-11-08,SAC,False,True,L,22,14.0,2.0,1.0,0.0,0.0,0.0,6.0,16.0,0.375,1.0,7.0,0.143,1.0,2.0,0.5,5.3,-4.0
2016-11-10,MIL,False,False,W,16,9.0,4.0,0.0,1.0,0.0,1.0,3.0,7.0,0.429,3.0,6.0,0.5,0.0,0.0,0.0,6.9,7.0
2016-11-12,LAL,True,False,L,26,18.0,3.0,1.0,0.0,0.0,1.0,8.0,13.0,0.615,1.0,4.0,0.25,1.0,1.0,1.0,11.5,-20.0
2016-11-14,BOS,True,False,W,21,5.0,2.0,3.0,0.0,0.0,0.0,2.0,7.0,0.286,1.0,4.0,0.25,0.0,0.0,0.0,2.8,-3.0
2016-11-16,ORL,False,False,L,20,8.0,5.0,5.0,0.0,0.0,2.0,3.0,7.0,0.429,1.0,3.0,0.333,1.0,1.0,1.0,6.5,-11.0
2016-11-18,POR,True,False,W,7,5.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.7,3.0
2016-11-19,CHA,True,True,W,6,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,-0.4,-8.0
2016-11-22,ATL,False,False,W,8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-15.0
2016-11-23,MIN,True,True,W,13,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-5.6,-7.0
2016-11-25,POR,False,False,L,12,6.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,4.6,3.0
2016-11-27,DAL,False,False,L,16,5.0,4.0,1.0,0.0,0.0,0.0,1.0,5.0,0.2,1.0,3.0,0.333,2.0,2.0,1.0,3.0,-1.0
2016-11-29,LAL,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-3.0
2016-12-02,LAC,True,False,L,3,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,-1.0
2016-12-04,OKC,False,False,L,15,16.0,4.0,1.0,0.0,0.0,1.0,6.0,12.0,0.5,4.0,7.0,0.571,0.0,0.0,0.0,11.3,9.0
2016-12-05,MEM,True,True,L,24,8.0,3.0,1.0,1.0,0.0,0.0,3.0,8.0,0.375,2.0,5.0,0.4,0.0,0.0,0.0,5.4,-13.0
