date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-10-30,ORL,True,False,W,19,2.0,7.0,2.0,0.0,1.0,2.0,1.0,8.0,0.125,0.0,5.0,0.0,0.0,0.0,0.0,-0.2,1.0
2021-11-02,MIL,True,False,L,29,6.0,2.0,3.0,0.0,0.0,2.0,2.0,14.0,0.143,0.0,9.0,0.0,2.0,2.0,1.0,-3.1,-22.0
2021-11-04,PHI,True,False,L,32,18.0,10.0,4.0,1.0,0.0,3.0,4.0,17.0,0.235,1.0,7.0,0.143,9.0,10.0,0.9,11.5,7.0
2021-11-05,BKN,True,True,L,30,17.0,4.0,2.0,1.0,0.0,6.0,6.0,17.0,0.353,3.0,7.0,0.429,2.0,2.0,1.0,3.5,-16.0
2021-11-10,HOU,False,False,W,30,20.0,4.0,3.0,2.0,1.0,4.0,8.0,18.0,0.444,4.0,8.0,0.5,0.0,0.0,0.0,11.8,1.0
2021-11-12,CLE,False,False,L,31,9.0,6.0,3.0,1.0,0.0,7.0,4.0,8.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,2.9,-9.0
2021-11-13,TOR,False,True,W,33,10.0,3.0,4.0,1.0,1.0,1.0,4.0,10.0,0.4,2.0,8.0,0.25,0.0,0.0,0.0,7.8,4.0
2021-11-15,SAC,True,False,L,35,25.0,8.0,8.0,2.0,0.0,4.0,10.0,20.0,0.5,5.0,11.0,0.455,0.0,0.0,0.0,21.4,-15.0
2021-11-17,IND,True,False,W,34,16.0,8.0,6.0,2.0,1.0,1.0,6.0,18.0,0.333,1.0,8.0,0.125,3.0,4.0,0.75,12.9,3.0
2021-11-19,GSW,True,False,L,36,19.0,6.0,6.0,3.0,2.0,2.0,6.0,12.0,0.5,3.0,8.0,0.375,4.0,4.0,1.0,21.0,-4.0
2021-11-21,LAL,True,False,L,38,13.0,12.0,10.0,2.0,0.0,3.0,6.0,21.0,0.286,1.0,9.0,0.111,0.0,0.0,0.0,9.5,0.0
2021-11-23,MIA,True,False,L,29,6.0,3.0,6.0,1.0,0.0,4.0,2.0,10.0,0.2,1.0,7.0,0.143,1.0,1.0,1.0,0.3,-11.0
2021-11-24,MIL,False,True,L,30,9.0,8.0,7.0,0.0,0.0,4.0,3.0,10.0,0.3,2.0,6.0,0.333,1.0,2.0,0.5,5.7,-23.0
2021-11-26,LAC,False,False,L,28,10.0,6.0,6.0,3.0,0.0,4.0,3.0,13.0,0.231,0.0,5.0,0.0,4.0,5.0,0.8,5.5,0.0
2021-11-28,LAL,False,False,L,34,15.0,11.0,2.0,0.0,1.0,5.0,6.0,16.0,0.375,3.0,9.0,0.333,0.0,0.0,0.0,6.6,0.0
2021-11-30,POR,False,False,L,33,26.0,7.0,1.0,1.0,3.0,6.0,10.0,13.0,0.769,5.0,7.0,0.714,1.0,2.0,0.5,18.8,0.0
2021-12-02,PHX,False,False,L,31,19.0,2.0,5.0,1.0,1.0,5.0,8.0,15.0,0.533,3.0,5.0,0.6,0.0,0.0,0.0,11.7,5.0
