date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2012-10-31,LAL,True,False,W,35,23.0,3.0,11.0,1.0,0.0,6.0,7.0,17.0,0.412,1.0,4.0,0.25,8.0,8.0,1.0,16.7,16.0
2012-11-02,OKC,False,False,L,38,21.0,3.0,7.0,1.0,0.0,2.0,9.0,19.0,0.474,2.0,6.0,0.333,1.0,1.0,1.0,16.1,-9.0
2012-11-03,HOU,False,True,W,42,20.0,6.0,9.0,0.0,0.0,3.0,8.0,15.0,0.533,3.0,6.0,0.5,1.0,2.0,0.5,17.8,10.0
2012-11-05,DAL,False,False,L,33,13.0,3.0,5.0,1.0,0.0,1.0,2.0,13.0,0.154,1.0,8.0,0.125,8.0,8.0,1.0,8.7,-12.0
2012-11-08,LAC,True,False,L,41,16.0,2.0,4.0,3.0,0.0,3.0,6.0,13.0,0.462,2.0,4.0,0.5,2.0,4.0,0.5,11.5,-9.0
2012-11-10,SAS,True,False,L,38,20.0,3.0,6.0,2.0,0.0,4.0,8.0,16.0,0.5,4.0,8.0,0.5,0.0,1.0,0.0,13.9,1.0
2012-11-12,ATL,True,False,L,39,12.0,3.0,2.0,2.0,1.0,4.0,5.0,18.0,0.278,2.0,7.0,0.286,0.0,0.0,0.0,1.6,-20.0
2012-11-13,SAC,False,True,W,35,22.0,2.0,9.0,0.0,0.0,4.0,7.0,10.0,0.7,5.0,6.0,0.833,3.0,4.0,0.75,19.9,24.0
2012-11-16,HOU,True,False,W,42,27.0,5.0,5.0,2.0,0.0,4.0,9.0,18.0,0.5,3.0,9.0,0.333,6.0,6.0,1.0,20.2,10.0
2012-11-18,CHI,True,False,W,32,16.0,2.0,3.0,3.0,0.0,2.0,7.0,13.0,0.538,1.0,4.0,0.25,1.0,2.0,0.5,12.2,-5.0
2012-11-21,PHX,False,False,L,35,24.0,0.0,3.0,1.0,0.0,6.0,7.0,13.0,0.538,2.0,4.0,0.5,8.0,9.0,0.889,14.0,-16.0
2012-11-23,MIN,True,False,W,37,28.0,4.0,8.0,0.0,1.0,0.0,11.0,17.0,0.647,4.0,8.0,0.5,2.0,4.0,0.5,27.2,10.0
2012-11-25,BKN,False,False,L,31,13.0,6.0,7.0,2.0,2.0,4.0,4.0,12.0,0.333,3.0,5.0,0.6,2.0,2.0,1.0,11.1,-12.0
2012-11-26,DET,False,True,L,37,12.0,3.0,7.0,1.0,0.0,3.0,4.0,18.0,0.222,1.0,5.0,0.2,3.0,3.0,1.0,3.6,-5.0
2012-11-28,WAS,False,False,L,43,20.0,2.0,5.0,2.0,0.0,2.0,6.0,21.0,0.286,4.0,9.0,0.444,4.0,4.0,1.0,12.2,2.0
2012-11-30,BOS,False,False,L,31,8.0,3.0,3.0,1.0,0.0,3.0,2.0,8.0,0.25,1.0,5.0,0.2,3.0,4.0,0.75,3.0,-12.0
2012-12-01,CLE,False,True,W,46,24.0,6.0,11.0,1.0,0.0,6.0,9.0,17.0,0.529,4.0,7.0,0.571,2.0,2.0,1.0,19.4,4.0
2012-12-03,CHA,False,False,W,43,24.0,3.0,9.0,1.0,0.0,3.0,6.0,16.0,0.375,1.0,8.0,0.125,11.0,14.0,0.786,18.0,11.0
2012-12-05,IND,False,False,L,43,23.0,3.0,6.0,0.0,0.0,0.0,9.0,15.0,0.6,1.0,5.0,0.2,4.0,5.0,0.8,19.6,-3.0
2012-12-08,SAC,True,False,L,39,12.0,1.0,9.0,0.0,0.0,4.0,5.0,13.0,0.385,2.0,5.0,0.4,0.0,1.0,0.0,6.7,-16.0
2012-12-10,TOR,True,False,W,35,9.0,5.0,6.0,0.0,0.0,2.0,2.0,14.0,0.143,0.0,5.0,0.0,5.0,5.0,1.0,4.1,16.0
2012-12-13,SAS,True,False,W,40,29.0,7.0,6.0,0.0,0.0,2.0,11.0,22.0,0.5,2.0,6.0,0.333,5.0,5.0,1.0,21.1,6.0
2012-12-16,NOH,True,False,W,39,16.0,2.0,4.0,1.0,1.0,1.0,5.0,14.0,0.357,4.0,10.0,0.4,2.0,2.0,1.0,11.1,-3.0
2012-12-20,DEN,True,False,W,35,12.0,4.0,10.0,1.0,0.0,2.0,3.0,14.0,0.214,1.0,6.0,0.167,5.0,6.0,0.833,10.6,9.0
2012-12-22,PHX,True,False,W,39,25.0,1.0,7.0,1.0,0.0,3.0,7.0,13.0,0.538,2.0,5.0,0.4,9.0,10.0,0.9,21.1,7.0
2012-12-23,SAC,False,True,L,36,15.0,2.0,7.0,1.0,1.0,3.0,6.0,14.0,0.429,3.0,6.0,0.5,0.0,0.0,0.0,11.4,-3.0
2012-12-26,SAC,True,False,W,38,17.0,8.0,11.0,1.0,1.0,4.0,7.0,14.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,17.4,27.0
2012-12-28,LAL,False,False,L,37,11.0,2.0,4.0,1.0,0.0,3.0,4.0,17.0,0.235,1.0,4.0,0.25,2.0,2.0,1.0,1.3,-21.0
2012-12-29,PHI,True,True,W,39,20.0,0.0,0.0,0.0,1.0,1.0,8.0,18.0,0.444,4.0,11.0,0.364,0.0,0.0,0.0,9.1,1.0
2013-01-01,NYK,False,False,W,40,21.0,5.0,6.0,2.0,0.0,3.0,9.0,19.0,0.474,2.0,8.0,0.25,1.0,2.0,0.5,15.2,5.0
2013-01-02,TOR,False,True,L,37,18.0,5.0,7.0,0.0,0.0,7.0,6.0,13.0,0.462,1.0,5.0,0.2,5.0,6.0,0.833,9.9,-18.0
2013-01-04,MEM,False,False,W,38,11.0,5.0,8.0,1.0,0.0,5.0,5.0,14.0,0.357,1.0,4.0,0.25,0.0,0.0,0.0,6.3,-1.0
2013-01-05,MIN,False,True,W,39,20.0,4.0,6.0,0.0,0.0,3.0,7.0,14.0,0.5,3.0,5.0,0.6,3.0,3.0,1.0,15.0,16.0
2013-01-07,ORL,True,False,W,43,18.0,3.0,10.0,2.0,0.0,3.0,7.0,17.0,0.412,0.0,6.0,0.0,4.0,4.0,1.0,15.0,10.0
2013-01-10,MIA,True,False,W,41,10.0,3.0,8.0,2.0,0.0,2.0,4.0,11.0,0.364,2.0,7.0,0.286,0.0,2.0,0.0,9.6,3.0
2013-01-11,GSW,False,True,L,43,37.0,6.0,4.0,2.0,0.0,2.0,15.0,25.0,0.6,7.0,12.0,0.583,0.0,0.0,0.0,30.1,4.0
2013-01-13,OKC,True,False,L,41,9.0,4.0,9.0,1.0,0.0,3.0,3.0,14.0,0.214,2.0,9.0,0.222,1.0,2.0,0.5,5.1,-2.0
2013-01-15,DEN,False,False,L,42,14.0,8.0,5.0,1.0,2.0,2.0,5.0,14.0,0.357,3.0,5.0,0.6,1.0,2.0,0.5,10.5,-5.0
2013-01-16,CLE,True,True,L,36,13.0,1.0,7.0,1.0,0.0,2.0,3.0,9.0,0.333,1.0,5.0,0.2,6.0,8.0,0.75,10.1,-1.0
2013-01-19,MIL,True,False,L,42,26.0,3.0,10.0,1.0,1.0,3.0,9.0,21.0,0.429,3.0,9.0,0.333,5.0,6.0,0.833,19.9,14.0
2013-01-21,WAS,True,False,L,38,18.0,3.0,5.0,0.0,0.0,3.0,7.0,17.0,0.412,2.0,6.0,0.333,2.0,2.0,1.0,9.9,-10.0
2013-01-23,IND,True,False,W,39,20.0,2.0,8.0,0.0,0.0,0.0,9.0,16.0,0.563,0.0,3.0,0.0,2.0,2.0,1.0,18.6,7.0
2013-01-26,LAC,True,False,W,37,20.0,0.0,2.0,2.0,0.0,3.0,6.0,13.0,0.462,4.0,7.0,0.571,4.0,4.0,1.0,13.3,-1.0
