date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2020-12-27,LAL,False,False,L,8,6.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,6.9,0.0
2020-12-29,LAC,False,False,L,7,3.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,5.0
2021-01-01,WAS,True,False,L,9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,14.0
2021-01-03,DEN,True,False,L,1,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.4,5.0
2021-01-07,POR,False,False,L,12,3.0,4.0,3.0,0.0,0.0,1.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,3.6,13.0
2021-01-18,ATL,False,False,L,12,3.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,-1.3,-2.0
2021-01-20,ORL,True,False,L,26,12.0,8.0,1.0,0.0,3.0,0.0,5.0,9.0,0.556,2.0,4.0,0.5,0.0,0.0,0.0,12.5,19.0
2021-01-22,ATL,True,False,L,23,4.0,5.0,0.0,0.0,1.0,0.0,2.0,9.0,0.222,0.0,2.0,0.0,0.0,1.0,0.0,1.1,-20.0
2021-01-23,NOP,True,True,W,20,3.0,3.0,1.0,0.0,2.0,1.0,1.0,7.0,0.143,1.0,3.0,0.333,0.0,0.0,0.0,-1.1,5.0
2021-01-25,GSW,False,False,L,26,7.0,5.0,2.0,1.0,0.0,0.0,3.0,9.0,0.333,1.0,3.0,0.333,0.0,2.0,0.0,3.8,-7.0
2021-01-27,GSW,False,False,L,14,5.0,2.0,1.0,0.0,0.0,2.0,1.0,5.0,0.2,1.0,4.0,0.25,2.0,4.0,0.5,-1.2,1.0
2021-01-29,PHI,True,False,L,24,6.0,7.0,0.0,0.0,1.0,0.0,3.0,8.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,2.4,-13.0
2021-01-31,CLE,True,False,W,20,3.0,3.0,1.0,1.0,3.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,4.4,5.0
2021-02-01,CLE,False,True,L,22,11.0,4.0,0.0,0.0,0.0,2.0,5.0,10.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,4.8,2.0
2021-02-03,SAS,False,False,L,18,3.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,3.2,-3.0
2021-02-05,OKC,False,False,W,29,0.0,5.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.3,20.0
2021-02-06,OKC,False,True,L,24,8.0,6.0,2.0,1.0,0.0,3.0,3.0,5.0,0.6,1.0,3.0,0.333,1.0,2.0,0.5,6.5,6.0
2021-02-08,DAL,False,False,L,20,6.0,5.0,1.0,0.0,0.0,2.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,3.7,-22.0
2021-02-10,LAC,True,False,L,18,10.0,3.0,3.0,0.0,4.0,1.0,4.0,7.0,0.571,2.0,5.0,0.4,0.0,0.0,0.0,11.1,3.0
2021-02-12,CHA,False,False,L,24,9.0,4.0,1.0,1.0,2.0,1.0,3.0,7.0,0.429,2.0,4.0,0.5,1.0,2.0,0.5,7.4,3.0
2021-02-14,TOR,False,False,W,18,6.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0,0.667,1.0,2.0,0.5,1.0,2.0,0.5,5.6,11.0
2021-02-16,LAL,True,False,L,18,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.9,-9.0
2021-02-17,IND,True,True,L,37,11.0,4.0,1.0,0.0,3.0,1.0,4.0,10.0,0.4,3.0,6.0,0.5,0.0,0.0,0.0,7.8,0.0
2021-02-19,TOR,True,False,L,31,8.0,6.0,1.0,0.0,2.0,1.0,2.0,5.0,0.4,2.0,5.0,0.4,2.0,3.0,0.667,6.6,-1.0
2021-02-21,NYK,False,False,L,22,6.0,4.0,0.0,0.0,0.0,1.0,2.0,7.0,0.286,1.0,3.0,0.333,1.0,1.0,1.0,1.3,3.0
2021-02-23,MIL,False,False,L,22,4.0,1.0,2.0,1.0,2.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,4.1,-14.0
2021-02-24,CHI,False,True,L,16,2.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.6,-12.0
