date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2016-10-26,NOP,False,False,W,13,1.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.1,8.0
2016-10-29,POR,True,False,L,12,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-5.0
2016-10-31,TOR,False,False,L,12,1.0,2.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,-2.0,3.0
2016-11-03,MIN,False,False,W,29,0.0,3.0,4.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-3.7,5.0
2016-11-05,DET,False,False,L,27,9.0,1.0,2.0,1.0,0.0,4.0,4.0,10.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,2.3,-11.0
2016-11-06,BOS,False,True,W,13,9.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,0.429,2.0,4.0,0.5,1.0,1.0,1.0,5.6,-2.0
2016-11-08,MEM,False,False,L,17,10.0,0.0,1.0,0.0,0.0,0.0,4.0,7.0,0.571,2.0,4.0,0.5,0.0,0.0,0.0,6.6,-3.0
2016-11-10,GSW,True,False,L,29,14.0,3.0,6.0,0.0,1.0,3.0,5.0,15.0,0.333,2.0,7.0,0.286,2.0,2.0,1.0,7.9,-3.0
2016-11-12,DET,True,False,L,20,7.0,1.0,0.0,1.0,0.0,0.0,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,4.9,-12.0
2016-11-13,POR,False,True,L,28,19.0,5.0,1.0,0.0,0.0,6.0,6.0,12.0,0.5,5.0,9.0,0.556,2.0,3.0,0.667,8.0,17.0
2016-11-16,PHX,True,False,W,20,9.0,1.0,1.0,0.0,0.0,0.0,3.0,8.0,0.375,3.0,4.0,0.75,0.0,0.0,0.0,5.2,4.0
2016-11-18,TOR,True,False,L,19,5.0,3.0,4.0,1.0,0.0,1.0,2.0,8.0,0.25,0.0,3.0,0.0,1.0,2.0,0.5,3.1,-2.0
2016-11-20,UTA,True,False,W,23,18.0,1.0,4.0,0.0,1.0,0.0,6.0,9.0,0.667,3.0,4.0,0.75,3.0,4.0,0.75,17.1,15.0
2016-11-22,CHI,True,False,W,22,24.0,6.0,2.0,0.0,0.0,0.0,9.0,13.0,0.692,3.0,4.0,0.75,3.0,3.0,1.0,21.7,9.0
2016-11-23,UTA,False,True,L,35,23.0,4.0,3.0,0.0,1.0,4.0,8.0,19.0,0.421,5.0,8.0,0.625,2.0,2.0,1.0,12.9,-6.0
2016-11-25,OKC,True,False,L,34,20.0,7.0,0.0,1.0,1.0,2.0,5.0,16.0,0.313,2.0,7.0,0.286,8.0,10.0,0.8,11.0,1.0
2016-11-27,PHX,False,False,W,22,9.0,4.0,2.0,0.0,0.0,1.0,3.0,8.0,0.375,1.0,4.0,0.25,2.0,2.0,1.0,5.0,6.0
2016-11-30,MIA,True,False,L,23,9.0,3.0,2.0,0.0,2.0,2.0,3.0,10.0,0.3,2.0,6.0,0.333,1.0,1.0,1.0,3.3,3.0
2016-12-02,HOU,True,False,L,17,2.0,3.0,1.0,0.0,0.0,2.0,1.0,7.0,0.143,0.0,5.0,0.0,0.0,0.0,0.0,-3.3,2.0
2016-12-03,UTA,False,True,L,18,0.0,4.0,2.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.2,-12.0
2016-12-05,PHI,False,False,W,24,22.0,3.0,2.0,0.0,0.0,1.0,8.0,12.0,0.667,3.0,7.0,0.429,3.0,3.0,1.0,18.1,12.0
2016-12-07,BKN,False,False,L,34,12.0,5.0,3.0,1.0,0.0,0.0,4.0,14.0,0.286,2.0,8.0,0.25,2.0,2.0,1.0,7.6,21.0
2016-12-08,WAS,False,True,L,17,6.0,2.0,2.0,1.0,0.0,5.0,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,0.9,-6.0
2016-12-10,ORL,False,False,W,22,2.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,-0.2,16.0
2016-12-12,DAL,False,False,L,28,15.0,6.0,4.0,1.0,0.0,1.0,7.0,14.0,0.5,1.0,5.0,0.2,0.0,1.0,0.0,13.0,-1.0
2016-12-15,POR,True,False,W,16,4.0,2.0,1.0,1.0,0.0,1.0,1.0,6.0,0.167,0.0,2.0,0.0,2.0,2.0,1.0,1.1,7.0
2016-12-17,NYK,True,False,W,13,6.0,3.0,0.0,0.0,1.0,0.0,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,5.3,-7.0
2016-12-19,DAL,True,False,W,14,3.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.8,-16.0
2016-12-20,LAC,False,True,L,27,8.0,5.0,5.0,0.0,1.0,0.0,3.0,9.0,0.333,2.0,8.0,0.25,0.0,1.0,0.0,9.0,12.0
2016-12-23,ATL,True,False,L,17,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,-1.2,9.0
2016-12-26,LAC,False,False,W,12,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,-0.8,-1.0
2016-12-28,MIN,True,False,W,13,7.0,1.0,0.0,3.0,1.0,0.0,3.0,5.0,0.6,1.0,3.0,0.333,0.0,0.0,0.0,7.5,9.0
2016-12-30,PHI,True,False,L,12,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.4,-4.0
