date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2009-10-28,SAC,True,False,W,13,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.8,-5.0
2009-10-30,DET,False,False,W,17,2.0,2.0,8.0,0.0,0.0,0.0,1.0,6.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,3.6,17.0
2009-11-01,POR,True,False,L,18,6.0,3.0,2.0,1.0,1.0,1.0,2.0,9.0,0.222,2.0,3.0,0.667,0.0,0.0,0.0,3.1,4.0
2009-11-03,LAL,True,False,L,17,9.0,1.0,3.0,1.0,0.0,0.0,3.0,9.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,6.5,16.0
2009-11-06,HOU,False,False,L,10,4.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-8.0
2009-11-08,ORL,True,False,W,19,5.0,4.0,5.0,2.0,0.0,0.0,2.0,5.0,0.4,0.0,1.0,0.0,1.0,2.0,0.5,7.8,0.0
2009-11-10,SAC,False,False,L,19,9.0,4.0,1.0,1.0,1.0,1.0,3.0,7.0,0.429,3.0,5.0,0.6,0.0,0.0,0.0,6.7,1.0
2009-11-11,LAC,False,True,W,24,7.0,5.0,8.0,1.0,1.0,2.0,3.0,8.0,0.375,0.0,3.0,0.0,1.0,2.0,0.5,8.6,9.0
2009-11-14,SAS,False,False,W,20,8.0,2.0,1.0,1.0,1.0,2.0,3.0,6.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,4.4,-3.0
2009-11-15,LAC,True,True,L,18,4.0,3.0,2.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0,5.0,0.0,4.0,4.0,1.0,-0.3,-9.0
2009-11-17,MIA,False,False,W,14,5.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,0.3,6.0
2009-11-18,ORL,False,True,L,31,24.0,3.0,3.0,1.0,0.0,1.0,7.0,14.0,0.5,6.0,7.0,0.857,4.0,4.0,1.0,19.2,5.0
2009-11-20,WAS,True,False,W,26,25.0,4.0,1.0,4.0,0.0,2.0,8.0,11.0,0.727,4.0,6.0,0.667,5.0,6.0,0.833,23.2,4.0
2009-11-22,LAL,False,False,L,30,10.0,3.0,6.0,3.0,2.0,3.0,2.0,15.0,0.133,0.0,10.0,0.0,6.0,6.0,1.0,5.6,-4.0
2009-11-24,UTA,False,False,W,20,10.0,2.0,1.0,0.0,0.0,0.0,4.0,5.0,0.8,1.0,2.0,0.5,1.0,1.0,1.0,9.0,6.0
2009-11-27,MIL,True,False,W,27,15.0,2.0,2.0,1.0,0.0,2.0,6.0,7.0,0.857,3.0,3.0,1.0,0.0,2.0,0.0,11.9,1.0
2009-11-29,HOU,True,False,L,19,5.0,3.0,0.0,2.0,0.0,1.0,1.0,4.0,0.25,0.0,1.0,0.0,3.0,4.0,0.75,2.9,-12.0
2009-12-02,PHI,True,False,W,27,9.0,5.0,1.0,0.0,0.0,3.0,3.0,7.0,0.429,1.0,3.0,0.333,2.0,2.0,1.0,5.3,12.0
2009-12-04,BOS,True,False,L,23,6.0,5.0,1.0,1.0,0.0,1.0,1.0,6.0,0.167,0.0,3.0,0.0,4.0,6.0,0.667,3.2,3.0
2009-12-07,GSW,True,False,W,30,26.0,9.0,5.0,2.0,0.0,0.0,6.0,13.0,0.462,1.0,4.0,0.25,13.0,14.0,0.929,27.1,17.0
2009-12-11,MEM,False,False,W,23,6.0,5.0,4.0,2.0,1.0,1.0,2.0,11.0,0.182,0.0,2.0,0.0,2.0,2.0,1.0,5.5,5.0
2009-12-13,CLE,True,False,L,21,3.0,2.0,2.0,0.0,0.0,2.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,0.5,-7.0
2009-12-14,DEN,False,True,L,24,9.0,3.0,5.0,0.0,0.0,4.0,3.0,7.0,0.429,1.0,1.0,1.0,2.0,2.0,1.0,4.9,1.0
2009-12-16,DAL,True,False,L,29,12.0,6.0,1.0,1.0,0.0,3.0,3.0,9.0,0.333,0.0,4.0,0.0,6.0,9.0,0.667,6.2,-15.0
2009-12-18,DET,True,False,W,26,14.0,3.0,7.0,1.0,1.0,1.0,5.0,11.0,0.455,2.0,3.0,0.667,2.0,2.0,1.0,13.6,19.0
2009-12-19,HOU,False,True,L,32,15.0,3.0,0.0,0.0,1.0,0.0,5.0,11.0,0.455,0.0,3.0,0.0,5.0,5.0,1.0,10.1,8.0
2009-12-22,LAL,False,False,L,26,16.0,2.0,0.0,0.0,0.0,0.0,6.0,14.0,0.429,2.0,3.0,0.667,2.0,2.0,1.0,8.4,-2.0
2009-12-23,PHX,False,True,W,28,14.0,4.0,1.0,2.0,0.0,2.0,3.0,9.0,0.333,1.0,4.0,0.25,7.0,7.0,1.0,9.2,3.0
2009-12-26,CHA,True,False,W,25,8.0,4.0,3.0,2.0,0.0,1.0,3.0,6.0,0.5,1.0,2.0,0.5,1.0,3.0,0.333,7.7,0.0
2009-12-28,NJN,False,False,W,23,3.0,6.0,1.0,3.0,1.0,2.0,0.0,10.0,0.0,0.0,4.0,0.0,3.0,4.0,0.75,-0.2,7.0
2009-12-29,WAS,False,True,W,16,11.0,2.0,1.0,0.0,0.0,1.0,3.0,7.0,0.429,1.0,1.0,1.0,4.0,6.0,0.667,6.0,9.0
2009-12-31,UTA,True,False,W,13,5.0,2.0,0.0,1.0,0.0,2.0,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,1.9,0.0
2010-01-02,MIL,False,False,L,18,3.0,3.0,1.0,0.0,0.0,3.0,1.0,4.0,0.25,0.0,3.0,0.0,1.0,2.0,0.5,-2.4,-7.0
2010-01-04,CHI,False,False,W,27,13.0,1.0,4.0,1.0,0.0,2.0,5.0,11.0,0.455,3.0,5.0,0.6,0.0,0.0,0.0,7.4,5.0
2010-01-06,NOH,True,False,L,24,9.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.375,1.0,3.0,0.333,2.0,4.0,0.5,3.4,-3.0
2010-01-09,IND,True,False,W,26,13.0,2.0,3.0,2.0,0.0,1.0,3.0,7.0,0.429,3.0,4.0,0.75,4.0,6.0,0.667,11.0,-9.0
2010-01-11,NYK,True,False,W,28,7.0,1.0,2.0,3.0,0.0,2.0,3.0,9.0,0.333,0.0,4.0,0.0,1.0,1.0,1.0,4.2,2.0
2010-01-13,SAS,True,False,L,33,12.0,7.0,1.0,1.0,0.0,1.0,3.0,5.0,0.6,1.0,2.0,0.5,5.0,6.0,0.833,10.9,8.0
2010-01-15,DAL,False,False,L,26,11.0,3.0,1.0,1.0,0.0,2.0,4.0,8.0,0.5,2.0,4.0,0.5,1.0,2.0,0.5,5.6,-2.0
2010-01-16,MIA,True,True,W,21,14.0,3.0,0.0,0.0,0.0,1.0,4.0,9.0,0.444,2.0,3.0,0.667,4.0,4.0,1.0,8.4,5.0
2010-01-18,ATL,False,False,W,23,11.0,4.0,0.0,0.0,0.0,1.0,5.0,11.0,0.455,1.0,3.0,0.333,0.0,0.0,0.0,4.3,-3.0
2010-01-20,MIN,False,False,W,26,12.0,3.0,3.0,1.0,0.0,0.0,5.0,11.0,0.455,2.0,7.0,0.286,0.0,0.0,0.0,9.5,5.0
2010-01-22,MEM,False,False,L,28,13.0,7.0,5.0,2.0,0.0,1.0,3.0,6.0,0.5,3.0,4.0,0.75,4.0,4.0,1.0,16.2,1.0
2010-01-23,CLE,False,True,L,27,9.0,4.0,1.0,1.0,0.0,0.0,1.0,8.0,0.125,1.0,3.0,0.333,6.0,6.0,1.0,6.7,4.0
2010-01-27,CHI,True,False,L,19,8.0,2.0,1.0,0.0,0.0,1.0,3.0,10.0,0.3,2.0,4.0,0.5,0.0,0.0,0.0,1.7,1.0
2010-01-29,DEN,True,False,W,20,12.0,1.0,1.0,1.0,0.0,2.0,4.0,8.0,0.5,3.0,5.0,0.6,1.0,2.0,0.5,6.4,6.0
2010-01-31,GSW,True,False,W,20,5.0,6.0,1.0,1.0,0.0,1.0,1.0,7.0,0.143,0.0,2.0,0.0,3.0,4.0,0.75,1.8,1.0
2010-02-02,ATL,True,False,W,20,9.0,1.0,2.0,1.0,0.0,1.0,2.0,6.0,0.333,1.0,4.0,0.25,4.0,5.0,0.8,5.7,-2.0
2010-02-03,NOH,False,True,W,16,5.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,2.4,-1.0
2010-02-06,GSW,False,False,W,22,7.0,2.0,0.0,0.0,0.0,2.0,3.0,8.0,0.375,1.0,3.0,0.333,0.0,0.0,0.0,-0.4,1.0
2010-02-09,POR,False,False,W,24,13.0,3.0,2.0,2.0,0.0,0.0,4.0,9.0,0.444,2.0,5.0,0.4,3.0,4.0,0.75,11.8,2.0
2010-02-16,DAL,True,False,W,31,17.0,5.0,6.0,0.0,0.0,2.0,5.0,7.0,0.714,3.0,4.0,0.75,4.0,4.0,1.0,15.8,16.0
2010-02-20,NYK,False,False,W,31,14.0,5.0,2.0,1.0,1.0,4.0,4.0,9.0,0.444,1.0,3.0,0.333,5.0,7.0,0.714,7.5,4.0
2010-02-21,MIN,False,True,W,21,8.0,4.0,1.0,1.0,0.0,2.0,3.0,6.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,5.5,-10.0
2010-02-23,PHX,True,False,L,27,5.0,3.0,2.0,2.0,0.0,4.0,2.0,7.0,0.286,0.0,4.0,0.0,1.0,2.0,0.5,-0.4,13.0
2010-02-24,SAS,False,True,L,27,8.0,7.0,0.0,2.0,0.0,1.0,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,6.6,-6.0
2010-02-26,MIN,True,False,W,18,6.0,2.0,2.0,0.0,0.0,2.0,2.0,9.0,0.222,0.0,3.0,0.0,2.0,5.0,0.4,-1.1,-3.0
2010-02-28,TOR,True,False,W,26,12.0,4.0,1.0,1.0,0.0,1.0,4.0,8.0,0.5,0.0,3.0,0.0,4.0,4.0,1.0,7.5,2.0
