date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2017-10-20,PHX,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2017-10-22,NOP,True,False,L,15,5.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,6.0,21.0
2017-10-25,WAS,True,False,W,16,2.0,5.0,0.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,2.4,-12.0
2017-10-27,TOR,True,False,L,20,9.0,4.0,0.0,2.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,10.1,8.0
2017-10-28,UTA,False,True,L,16,6.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,5.6,7.0
2017-10-31,DET,True,False,W,17,3.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,1.2,8.0
2017-11-02,POR,False,False,L,14,2.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,2.2,-7.0
2017-11-03,BKN,True,True,W,12,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.5,-1.0
2017-11-05,MEM,True,False,W,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,-6.0
2017-11-08,BOS,False,False,L,12,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.1,-8.0
2017-11-09,WAS,False,True,L,14,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.3,-6.0
2017-11-19,DEN,True,False,W,12,3.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,3.6,4.0
2017-11-21,CHI,True,False,W,15,5.0,3.0,1.0,1.0,0.0,1.0,2.0,6.0,0.333,0.0,2.0,0.0,1.0,2.0,0.5,3.6,-2.0
2017-11-22,SAC,False,True,L,10,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.3,-1.0
2017-11-27,LAC,False,False,L,22,5.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,4.9,17.0
2017-11-29,GSW,True,False,L,13,6.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,3.8,-4.0
2017-12-02,DEN,False,False,L,22,9.0,3.0,2.0,2.0,1.0,0.0,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,0.0,12.4,6.0
2017-12-03,HOU,True,True,L,15,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.4,-14.0
2017-12-07,PHI,False,False,W,9,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,4.2,-2.0
2017-12-09,CHA,False,False,W,13,5.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0
2017-12-12,NYK,False,False,L,10,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,3.0
2017-12-14,CLE,False,False,L,33,11.0,10.0,2.0,1.0,1.0,1.0,4.0,11.0,0.364,1.0,4.0,0.25,2.0,2.0,1.0,9.6,-3.0
2017-12-18,GSW,True,False,L,19,7.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,4.1,0.0
2017-12-20,HOU,False,False,W,28,11.0,4.0,4.0,1.0,1.0,0.0,3.0,11.0,0.273,3.0,8.0,0.375,2.0,4.0,0.5,8.2,-24.0
2017-12-22,GSW,False,False,L,16,0.0,1.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0
2017-12-23,POR,True,True,L,34,11.0,10.0,3.0,1.0,0.0,1.0,5.0,11.0,0.455,1.0,3.0,0.333,0.0,0.0,0.0,10.4,8.0
2017-12-25,MIN,True,False,L,39,12.0,6.0,2.0,1.0,0.0,1.0,5.0,13.0,0.385,2.0,8.0,0.25,0.0,0.0,0.0,7.3,-8.0
2017-12-27,MEM,True,False,L,30,9.0,8.0,2.0,0.0,0.0,0.0,3.0,5.0,0.6,1.0,2.0,0.5,2.0,2.0,1.0,10.5,-3.0
2017-12-29,LAC,True,False,L,22,2.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.8,-15.0
2017-12-31,HOU,False,False,L,37,26.0,6.0,1.0,1.0,0.0,0.0,9.0,13.0,0.692,4.0,7.0,0.571,4.0,8.0,0.5,20.4,6.0
2018-01-01,MIN,False,True,L,21,10.0,1.0,1.0,1.0,0.0,1.0,4.0,7.0,0.571,2.0,4.0,0.5,0.0,0.0,0.0,5.7,-17.0
2018-01-03,OKC,True,False,L,19,6.0,2.0,1.0,1.0,1.0,1.0,2.0,7.0,0.286,1.0,6.0,0.167,1.0,1.0,1.0,4.3,-19.0
2018-01-05,CHA,True,False,L,23,4.0,3.0,1.0,1.0,0.0,1.0,1.0,6.0,0.167,1.0,4.0,0.25,1.0,2.0,0.5,1.0,-11.0
2018-01-07,ATL,True,False,W,20,12.0,5.0,3.0,1.0,0.0,1.0,4.0,7.0,0.571,2.0,3.0,0.667,2.0,2.0,1.0,11.1,17.0
2018-01-09,SAC,True,False,W,21,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,7.0
2018-01-11,SAS,True,False,W,13,6.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,4.9,7.0
2018-01-13,DAL,False,False,W,12,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0
2018-01-15,MEM,False,False,L,32,16.0,3.0,1.0,1.0,1.0,0.0,5.0,10.0,0.5,2.0,6.0,0.333,4.0,4.0,1.0,13.9,1.0
2018-01-17,OKC,False,False,L,26,9.0,3.0,2.0,2.0,0.0,0.0,3.0,8.0,0.375,3.0,6.0,0.5,0.0,0.0,0.0,8.5,-19.0
2018-01-19,IND,True,False,W,33,9.0,5.0,1.0,0.0,0.0,3.0,4.0,8.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,3.4,5.0
2018-01-21,NYK,True,False,W,17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.2,-2.0
2018-01-23,BOS,True,False,W,23,4.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,2.0,0.0,0.0,2.0,0.0,2.5,7.0
2018-01-26,CHI,False,False,W,23,5.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,4.8,-17.0
2018-01-28,TOR,False,False,L,14,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-1.5,-14.0
2018-01-31,ORL,False,False,L,14,3.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.7,-6.0
2018-02-02,BKN,False,False,W,35,15.0,14.0,2.0,1.0,0.0,0.0,5.0,8.0,0.625,3.0,6.0,0.5,2.0,4.0,0.5,17.6,0.0
2018-02-04,OKC,False,False,W,39,14.0,11.0,2.0,2.0,0.0,2.0,5.0,6.0,0.833,2.0,3.0,0.667,2.0,2.0,1.0,16.5,7.0
2018-02-06,PHX,True,False,W,31,15.0,11.0,3.0,1.0,1.0,1.0,5.0,7.0,0.714,3.0,4.0,0.75,2.0,2.0,1.0,17.4,15.0
