date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2015-10-28,LAL,False,False,W,32,14.0,12.0,1.0,0.0,0.0,3.0,6.0,10.0,0.6,0.0,1.0,0.0,2.0,2.0,1.0,9.9,6.0
2015-10-30,DEN,False,False,W,33,28.0,14.0,2.0,0.0,4.0,1.0,11.0,19.0,0.579,0.0,0.0,0.0,6.0,7.0,0.857,26.1,15.0
2015-11-02,POR,True,False,L,27,11.0,5.0,0.0,0.0,4.0,4.0,5.0,9.0,0.556,1.0,1.0,1.0,0.0,0.0,0.0,5.4,-5.0
2015-11-05,MIA,True,False,L,22,6.0,4.0,1.0,0.0,3.0,0.0,3.0,13.0,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-21.0
2015-11-07,CHI,False,False,W,27,17.0,13.0,2.0,1.0,4.0,0.0,8.0,18.0,0.444,0.0,0.0,0.0,1.0,1.0,1.0,17.5,15.0
2015-11-09,ATL,False,False,W,32,17.0,12.0,1.0,0.0,3.0,2.0,5.0,7.0,0.714,0.0,1.0,0.0,7.0,8.0,0.875,18.1,11.0
2015-11-10,CHA,True,True,L,30,19.0,13.0,2.0,1.0,3.0,2.0,7.0,16.0,0.438,0.0,1.0,0.0,5.0,5.0,1.0,16.6,10.0
2015-11-12,GSW,True,False,L,30,17.0,11.0,0.0,1.0,0.0,5.0,7.0,15.0,0.467,0.0,0.0,0.0,3.0,4.0,0.75,8.6,-24.0
2015-11-13,IND,False,True,L,27,12.0,9.0,1.0,1.0,0.0,0.0,5.0,9.0,0.556,0.0,0.0,0.0,2.0,2.0,1.0,12.9,-7.0
2015-11-15,MEM,True,False,L,32,14.0,9.0,1.0,0.0,1.0,3.0,5.0,11.0,0.455,0.0,1.0,0.0,4.0,4.0,1.0,9.0,1.0
