date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2017-10-19,LAC,True,False,L,29,3.0,9.0,4.0,1.0,1.0,2.0,1.0,6.0,0.167,1.0,3.0,0.333,0.0,2.0,0.0,3.2,-14.0
2017-10-20,PHX,False,True,W,37,29.0,11.0,9.0,1.0,0.0,4.0,12.0,27.0,0.444,4.0,9.0,0.444,1.0,2.0,0.5,20.3,1.0
2017-10-22,NOP,True,False,L,36,8.0,8.0,13.0,1.0,0.0,5.0,3.0,13.0,0.231,0.0,5.0,0.0,2.0,2.0,1.0,7.6,-24.0
2017-10-25,WAS,True,False,W,40,6.0,8.0,10.0,1.0,1.0,1.0,2.0,11.0,0.182,0.0,5.0,0.0,2.0,3.0,0.667,8.0,13.0
2017-10-27,TOR,True,False,L,32,5.0,7.0,6.0,2.0,0.0,4.0,2.0,7.0,0.286,1.0,4.0,0.25,0.0,0.0,0.0,5.6,-15.0
2017-10-28,UTA,False,True,L,36,9.0,2.0,4.0,2.0,0.0,5.0,3.0,10.0,0.3,3.0,6.0,0.5,0.0,0.0,0.0,3.2,-19.0
2017-10-31,DET,True,False,W,28,13.0,6.0,3.0,0.0,2.0,0.0,6.0,13.0,0.462,1.0,3.0,0.333,0.0,0.0,0.0,12.4,8.0
2017-11-02,POR,False,False,L,28,0.0,3.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.3,10.0
2017-11-03,BKN,True,True,W,29,6.0,5.0,7.0,2.0,0.0,0.0,3.0,15.0,0.2,0.0,3.0,0.0,0.0,1.0,0.0,3.5,21.0
2017-11-05,MEM,True,False,W,35,9.0,5.0,9.0,0.0,0.0,2.0,3.0,13.0,0.231,1.0,8.0,0.125,2.0,3.0,0.667,6.5,10.0
2017-11-08,BOS,False,False,L,39,9.0,5.0,6.0,1.0,4.0,2.0,4.0,15.0,0.267,1.0,5.0,0.2,0.0,0.0,0.0,7.6,-5.0
2017-11-09,WAS,False,True,L,29,10.0,8.0,8.0,2.0,0.0,4.0,3.0,12.0,0.25,1.0,7.0,0.143,3.0,7.0,0.429,8.0,-18.0
2017-11-11,MIL,False,False,L,39,19.0,12.0,13.0,3.0,3.0,4.0,7.0,12.0,0.583,3.0,5.0,0.6,2.0,4.0,0.5,25.2,10.0
2017-11-13,PHX,False,False,W,28,7.0,5.0,5.0,2.0,0.0,4.0,3.0,10.0,0.3,1.0,4.0,0.25,0.0,0.0,0.0,4.2,-11.0
2017-11-15,PHI,True,False,L,21,2.0,5.0,2.0,1.0,0.0,2.0,1.0,9.0,0.111,0.0,6.0,0.0,0.0,0.0,0.0,-2.0,-18.0
2017-11-17,PHX,True,False,L,38,6.0,6.0,6.0,5.0,2.0,3.0,3.0,7.0,0.429,0.0,1.0,0.0,0.0,2.0,0.0,10.1,-2.0
2017-11-19,DEN,True,False,W,40,11.0,16.0,11.0,0.0,2.0,2.0,5.0,13.0,0.385,1.0,4.0,0.25,0.0,0.0,0.0,15.4,29.0
2017-11-21,CHI,True,False,W,32,8.0,13.0,4.0,1.0,0.0,1.0,3.0,13.0,0.231,2.0,8.0,0.25,0.0,0.0,0.0,6.8,14.0
2017-11-22,SAC,False,True,L,37,11.0,7.0,11.0,1.0,0.0,4.0,4.0,8.0,0.5,3.0,5.0,0.6,0.0,2.0,0.0,12.2,-1.0
2017-11-27,LAC,False,False,L,26,3.0,5.0,7.0,1.0,0.0,3.0,1.0,7.0,0.143,1.0,6.0,0.167,0.0,0.0,0.0,2.1,-12.0
2017-11-29,GSW,True,False,L,43,15.0,2.0,10.0,1.0,0.0,2.0,5.0,12.0,0.417,3.0,7.0,0.429,2.0,2.0,1.0,14.8,-8.0
2017-12-02,DEN,False,False,L,33,9.0,9.0,5.0,2.0,0.0,5.0,4.0,10.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,7.2,-15.0
2017-12-03,HOU,True,True,L,22,2.0,1.0,3.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,-0.4,-9.0
2017-12-07,PHI,False,False,W,38,10.0,8.0,8.0,3.0,4.0,0.0,5.0,11.0,0.455,0.0,3.0,0.0,0.0,0.0,0.0,18.9,7.0
2017-12-09,CHA,False,False,W,27,5.0,5.0,9.0,0.0,1.0,2.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,2.0,0.0,6.4,-6.0
2017-12-12,NYK,False,False,L,40,17.0,8.0,6.0,2.0,1.0,1.0,6.0,13.0,0.462,3.0,6.0,0.5,2.0,3.0,0.667,17.4,-11.0
2017-12-14,CLE,False,False,L,38,13.0,8.0,11.0,2.0,0.0,6.0,5.0,11.0,0.455,3.0,8.0,0.375,0.0,0.0,0.0,12.6,-11.0
2017-12-18,GSW,True,False,L,39,16.0,6.0,6.0,1.0,2.0,2.0,6.0,12.0,0.5,3.0,6.0,0.5,1.0,2.0,0.5,14.4,10.0
2017-12-20,HOU,False,False,W,38,16.0,9.0,4.0,1.0,2.0,5.0,5.0,14.0,0.357,2.0,8.0,0.25,4.0,7.0,0.571,9.1,6.0
2017-12-22,GSW,False,False,L,37,24.0,5.0,5.0,0.0,1.0,5.0,9.0,16.0,0.563,5.0,6.0,0.833,1.0,4.0,0.25,15.9,-13.0
2017-12-23,POR,True,True,L,36,10.0,8.0,11.0,2.0,1.0,5.0,4.0,13.0,0.308,2.0,6.0,0.333,0.0,0.0,0.0,9.5,8.0
2018-01-05,CHA,True,False,L,27,11.0,4.0,5.0,2.0,0.0,1.0,4.0,8.0,0.5,3.0,7.0,0.429,0.0,0.0,0.0,11.9,-24.0
2018-01-07,ATL,True,False,W,30,13.0,10.0,6.0,1.0,0.0,2.0,5.0,13.0,0.385,3.0,9.0,0.333,0.0,0.0,0.0,11.3,11.0
2018-01-09,SAC,True,False,W,37,5.0,11.0,11.0,5.0,1.0,1.0,2.0,10.0,0.2,1.0,7.0,0.143,0.0,0.0,0.0,14.9,33.0
2018-01-11,SAS,True,False,W,36,18.0,10.0,6.0,4.0,0.0,5.0,7.0,11.0,0.636,4.0,7.0,0.571,0.0,0.0,0.0,20.5,17.0
2018-01-13,DAL,False,False,W,43,9.0,7.0,7.0,1.0,0.0,0.0,4.0,13.0,0.308,1.0,7.0,0.143,0.0,0.0,0.0,9.5,7.0
2018-02-23,DAL,True,False,W,17,9.0,7.0,6.0,0.0,0.0,2.0,3.0,8.0,0.375,3.0,6.0,0.5,0.0,0.0,0.0,9.7,-6.0
2018-02-26,ATL,False,False,W,24,13.0,7.0,5.0,3.0,0.0,2.0,4.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,17.2,18.0
2018-03-01,MIA,False,False,W,34,8.0,6.0,7.0,6.0,0.0,2.0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,1.0,0.0,14.8,24.0
2018-03-03,SAS,False,False,W,35,18.0,7.0,11.0,1.0,2.0,2.0,6.0,12.0,0.5,6.0,10.0,0.6,0.0,0.0,0.0,20.6,8.0
2018-03-05,POR,True,False,L,33,10.0,2.0,2.0,2.0,0.0,1.0,3.0,9.0,0.333,3.0,7.0,0.429,1.0,3.0,0.333,6.3,-7.0
2018-03-07,ORL,True,False,W,37,16.0,6.0,5.0,2.0,2.0,3.0,6.0,16.0,0.375,4.0,13.0,0.308,0.0,0.0,0.0,12.1,-10.0
2018-03-09,DEN,False,False,L,38,15.0,8.0,8.0,4.0,1.0,4.0,7.0,16.0,0.438,1.0,8.0,0.125,0.0,0.0,0.0,15.7,-14.0
2018-03-11,CLE,True,False,W,32,5.0,3.0,7.0,1.0,0.0,0.0,2.0,11.0,0.182,1.0,6.0,0.167,0.0,0.0,0.0,4.1,-1.0
2018-03-13,DEN,True,False,W,41,5.0,9.0,8.0,3.0,2.0,4.0,2.0,11.0,0.182,1.0,7.0,0.143,0.0,2.0,0.0,5.6,18.0
2018-03-14,GSW,False,True,L,39,8.0,6.0,11.0,3.0,1.0,3.0,3.0,11.0,0.273,1.0,8.0,0.125,1.0,3.0,0.333,10.1,-10.0
2018-03-16,MIA,True,False,L,38,9.0,8.0,8.0,2.0,1.0,3.0,4.0,15.0,0.267,1.0,3.0,0.333,0.0,0.0,0.0,9.0,1.0
2018-03-19,IND,False,False,L,37,4.0,2.0,8.0,2.0,0.0,4.0,1.0,4.0,0.25,1.0,4.0,0.25,1.0,2.0,0.5,5.0,-3.0
