date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2007-11-07,SEA,False,False,W,9,2.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.2,-5.0
2007-11-09,POR,False,False,L,17,8.0,1.0,4.0,1.0,0.0,1.0,3.0,4.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,9.5,-13.0
2007-11-10,UTA,False,True,L,23,10.0,2.0,9.0,0.0,0.0,2.0,2.0,5.0,0.4,0.0,0.0,0.0,6.0,8.0,0.75,11.4,-10.0
2007-11-14,MIL,False,False,L,18,6.0,1.0,6.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,8.2,9.0
2007-11-17,DAL,False,False,L,5,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.4,-5.0
2007-12-30,SAS,False,False,L,20,6.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,5.0,0.4,2.3,-9.0
2008-01-02,IND,False,False,W,35,7.0,6.0,8.0,3.0,0.0,1.0,3.0,7.0,0.429,0.0,2.0,0.0,1.0,2.0,0.5,11.5,23.0
2008-01-04,BOS,False,False,L,35,10.0,2.0,4.0,1.0,0.0,2.0,4.0,9.0,0.444,1.0,3.0,0.333,1.0,2.0,0.5,6.9,5.0
2008-01-06,MIA,True,False,W,35,11.0,5.0,7.0,2.0,0.0,4.0,4.0,8.0,0.5,0.0,1.0,0.0,3.0,4.0,0.75,11.4,10.0
2008-01-08,LAL,True,False,L,38,11.0,5.0,6.0,2.0,0.0,2.0,5.0,15.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,8.2,-5.0
2008-01-10,SAC,False,False,L,30,15.0,1.0,3.0,1.0,0.0,4.0,5.0,9.0,0.556,2.0,5.0,0.4,3.0,4.0,0.75,9.3,-18.0
2008-01-11,GSW,False,True,L,19,5.0,2.0,1.0,0.0,0.0,1.0,2.0,6.0,0.333,0.0,1.0,0.0,1.0,1.0,1.0,2.3,-26.0
2008-01-13,LAL,False,False,L,24,10.0,4.0,7.0,1.0,0.0,2.0,4.0,12.0,0.333,2.0,5.0,0.4,0.0,0.0,0.0,7.9,2.0
2008-01-15,CLE,True,False,L,39,20.0,1.0,7.0,2.0,0.0,4.0,7.0,10.0,0.7,2.0,3.0,0.667,4.0,6.0,0.667,17.8,-9.0
2008-01-18,SEA,True,False,W,30,7.0,3.0,8.0,1.0,0.0,0.0,3.0,8.0,0.375,1.0,3.0,0.333,0.0,0.0,0.0,9.7,28.0
2008-01-19,CHA,False,True,L,37,8.0,4.0,3.0,0.0,1.0,1.0,3.0,10.0,0.3,0.0,2.0,0.0,2.0,2.0,1.0,4.8,-20.0
2008-01-21,CHI,True,False,W,33,10.0,2.0,10.0,1.0,0.0,2.0,4.0,5.0,0.8,0.0,1.0,0.0,2.0,2.0,1.0,14.3,13.0
2008-01-23,ORL,True,False,L,37,13.0,3.0,5.0,1.0,0.0,1.0,5.0,13.0,0.385,0.0,3.0,0.0,3.0,5.0,0.6,8.7,-25.0
2008-01-25,WAS,False,False,L,14,7.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,3.6,-17.0
2008-02-08,DAL,False,False,L,34,8.0,4.0,5.0,0.0,0.0,0.0,2.0,8.0,0.25,0.0,1.0,0.0,4.0,5.0,0.8,7.5,-9.0
2008-02-09,NOH,False,True,L,33,16.0,4.0,4.0,1.0,0.0,4.0,6.0,11.0,0.545,0.0,2.0,0.0,4.0,4.0,1.0,10.5,-7.0
2008-02-12,SAC,True,False,W,31,11.0,2.0,4.0,2.0,0.0,1.0,5.0,7.0,0.714,0.0,0.0,0.0,1.0,2.0,0.5,11.3,7.0
2008-02-13,PHI,False,True,L,9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-20.0
2008-02-19,SEA,False,False,L,31,8.0,4.0,9.0,2.0,0.0,1.0,3.0,9.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,10.6,-12.0
2008-02-20,LAC,False,True,L,32,16.0,3.0,2.0,1.0,0.0,3.0,5.0,10.0,0.5,1.0,1.0,1.0,5.0,6.0,0.833,10.9,-9.0
2008-02-22,DAL,True,False,L,31,11.0,0.0,4.0,0.0,0.0,2.0,4.0,13.0,0.308,1.0,3.0,0.333,2.0,2.0,1.0,4.3,-2.0
2008-02-24,CLE,False,False,L,20,10.0,1.0,4.0,2.0,0.0,0.0,4.0,7.0,0.571,0.0,0.0,0.0,2.0,5.0,0.4,10.2,-8.0
2008-02-26,PHX,True,False,L,31,15.0,2.0,11.0,2.0,0.0,3.0,7.0,15.0,0.467,0.0,3.0,0.0,1.0,1.0,1.0,13.0,-10.0
2008-02-29,HOU,False,False,L,17,9.0,1.0,1.0,2.0,0.0,0.0,3.0,9.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,6.9,-20.0
2008-03-01,UTA,True,True,L,28,6.0,0.0,3.0,0.0,0.0,2.0,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,3.1,-12.0
2008-03-04,CHI,False,False,L,16,0.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2,-15.0
2008-03-05,NJN,True,True,W,13,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-3.4,3.0
2008-03-08,BOS,True,False,L,24,11.0,1.0,3.0,0.0,0.0,3.0,5.0,8.0,0.625,1.0,1.0,1.0,0.0,0.0,0.0,6.8,-17.0
2008-03-11,PHX,False,False,L,23,10.0,5.0,4.0,0.0,0.0,1.0,5.0,13.0,0.385,0.0,1.0,0.0,0.0,0.0,0.0,5.8,-6.0
2008-03-12,DEN,False,True,L,27,4.0,2.0,3.0,0.0,0.0,4.0,2.0,13.0,0.154,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,-3.0
2008-03-15,GSW,False,False,L,28,5.0,2.0,2.0,1.0,0.0,2.0,2.0,5.0,0.4,0.0,0.0,0.0,1.0,2.0,0.5,1.7,-13.0
2008-03-17,CHA,True,False,W,27,8.0,3.0,5.0,0.0,0.0,1.0,3.0,8.0,0.375,0.0,1.0,0.0,2.0,4.0,0.5,6.2,14.0
2008-03-19,MIN,False,False,L,27,9.0,3.0,0.0,1.0,0.0,1.0,3.0,10.0,0.3,0.0,1.0,0.0,3.0,4.0,0.75,2.5,-9.0
2008-03-21,NYK,False,False,W,30,11.0,3.0,6.0,1.0,0.0,3.0,5.0,8.0,0.625,1.0,1.0,1.0,0.0,0.0,0.0,9.7,15.0
2008-03-22,SAC,True,True,W,27,10.0,2.0,6.0,1.0,0.0,3.0,4.0,6.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,9.0,11.0
2008-03-24,DEN,True,False,L,24,3.0,6.0,4.0,1.0,0.0,1.0,1.0,5.0,0.2,0.0,0.0,0.0,1.0,2.0,0.5,3.7,-20.0
2008-03-26,SAC,False,False,L,23,9.0,2.0,3.0,0.0,0.0,2.0,4.0,9.0,0.444,0.0,2.0,0.0,1.0,2.0,0.5,3.8,-8.0
2008-03-28,LAL,False,False,W,24,6.0,3.0,5.0,0.0,0.0,2.0,1.0,6.0,0.167,0.0,2.0,0.0,4.0,4.0,1.0,3.4,11.0
2008-03-29,LAC,False,True,L,32,17.0,1.0,5.0,0.0,0.0,4.0,6.0,12.0,0.5,1.0,3.0,0.333,4.0,4.0,1.0,10.0,-10.0
2008-03-31,ATL,True,False,L,17,2.0,1.0,1.0,0.0,0.0,2.0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,-25.0
2008-04-02,NYK,True,False,W,20,18.0,3.0,2.0,0.0,0.0,0.0,8.0,10.0,0.8,2.0,4.0,0.5,0.0,0.0,0.0,15.7,15.0
2008-04-04,GSW,True,False,L,20,8.0,2.0,2.0,1.0,0.0,1.0,4.0,12.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,2.8,-23.0
2008-04-06,MIN,False,False,W,23,4.0,4.0,3.0,2.0,1.0,2.0,2.0,9.0,0.222,0.0,2.0,0.0,0.0,0.0,0.0,2.1,8.0
