date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-12-08,LAL,False,False,L,3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0
2019-12-09,PHX,False,True,L,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,2.0
2019-12-30,BKN,True,False,W,20,13.0,4.0,1.0,1.0,1.0,2.0,5.0,16.0,0.313,3.0,10.0,0.3,0.0,0.0,0.0,4.6,4.0
2020-01-01,MIL,False,False,L,18,11.0,2.0,1.0,0.0,1.0,1.0,4.0,10.0,0.4,2.0,7.0,0.286,1.0,2.0,0.5,4.2,3.0
2020-01-02,GSW,True,True,W,20,13.0,6.0,1.0,0.0,1.0,1.0,5.0,11.0,0.455,3.0,6.0,0.5,0.0,3.0,0.0,8.7,2.0
2020-01-05,CLE,False,False,W,11,8.0,2.0,3.0,3.0,0.0,2.0,4.0,7.0,0.571,0.0,1.0,0.0,0.0,0.0,0.0,8.0,-11.0
2020-01-07,MEM,False,False,L,11,10.0,5.0,1.0,0.0,0.0,1.0,3.0,6.0,0.5,1.0,3.0,0.333,3.0,3.0,1.0,8.2,7.0
2020-01-09,POR,True,False,W,17,0.0,6.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.3,-1.0
2020-01-11,HOU,False,False,L,18,14.0,2.0,1.0,0.0,1.0,0.0,5.0,14.0,0.357,1.0,8.0,0.125,3.0,4.0,0.75,7.4,-8.0
2020-01-13,OKC,True,False,L,18,20.0,1.0,1.0,0.0,1.0,0.0,7.0,13.0,0.538,4.0,8.0,0.5,2.0,2.0,1.0,13.8,3.0
2020-01-15,IND,True,False,L,8,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,-0.8,6.0
2020-01-18,TOR,True,False,L,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-01-25,OKC,True,False,L,7,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
2020-01-27,SAC,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-6.0
2020-02-01,LAC,False,False,L,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,5.0
2020-02-05,ATL,True,False,L,13,10.0,2.0,0.0,0.0,2.0,1.0,4.0,6.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,6.4,5.0
2020-02-08,LAC,True,False,W,14,14.0,9.0,1.0,0.0,0.0,1.0,5.0,13.0,0.385,4.0,6.0,0.667,0.0,0.0,0.0,8.9,2.0
2020-02-10,TOR,False,False,L,10,8.0,3.0,0.0,0.0,1.0,1.0,2.0,5.0,0.4,1.0,1.0,1.0,3.0,3.0,1.0,5.9,-2.0
2020-02-12,CHA,True,False,L,22,12.0,6.0,0.0,1.0,1.0,0.0,4.0,7.0,0.571,0.0,2.0,0.0,4.0,4.0,1.0,10.6,0.0
2020-02-21,BOS,True,False,L,33,19.0,9.0,1.0,3.0,0.0,0.0,7.0,15.0,0.467,2.0,5.0,0.4,3.0,4.0,0.75,16.9,3.0
2020-02-23,DEN,False,False,L,22,13.0,5.0,1.0,1.0,0.0,2.0,5.0,12.0,0.417,1.0,4.0,0.25,2.0,3.0,0.667,5.8,2.0
2020-02-24,DAL,False,True,L,27,6.0,5.0,2.0,0.0,3.0,0.0,2.0,10.0,0.2,1.0,3.0,0.333,1.0,1.0,1.0,4.0,-3.0
2020-02-26,MIA,False,False,W,19,9.0,3.0,0.0,1.0,1.0,0.0,4.0,7.0,0.571,0.0,3.0,0.0,1.0,3.0,0.333,5.5,2.0
2020-02-28,ORL,False,False,L,23,7.0,1.0,2.0,0.0,2.0,0.0,3.0,6.0,0.5,1.0,2.0,0.5,0.0,1.0,0.0,5.1,7.0
2020-03-01,DAL,True,False,L,27,9.0,12.0,2.0,0.0,0.0,0.0,4.0,13.0,0.308,0.0,2.0,0.0,1.0,2.0,0.5,7.7,1.0
2020-03-03,NOP,False,False,W,27,13.0,14.0,3.0,3.0,2.0,1.0,5.0,12.0,0.417,1.0,4.0,0.25,2.0,2.0,1.0,15.9,3.0
2020-03-04,CHI,True,True,W,25,16.0,11.0,3.0,0.0,2.0,0.0,5.0,10.0,0.5,3.0,3.0,1.0,3.0,6.0,0.5,17.8,12.0
2020-03-06,ORL,True,False,L,28,16.0,3.0,3.0,1.0,1.0,2.0,5.0,14.0,0.357,1.0,5.0,0.2,5.0,6.0,0.833,9.3,-14.0
2020-03-08,NOP,True,False,L,25,10.0,5.0,1.0,3.0,1.0,2.0,4.0,14.0,0.286,0.0,5.0,0.0,2.0,2.0,1.0,4.9,-26.0
2020-03-10,HOU,False,False,L,23,11.0,4.0,3.0,1.0,0.0,3.0,5.0,8.0,0.625,0.0,0.0,0.0,1.0,2.0,0.5,6.7,-7.0
2020-12-23,DET,True,False,W,18,8.0,5.0,1.0,0.0,3.0,0.0,2.0,5.0,0.4,0.0,1.0,0.0,4.0,6.0,0.667,9.6,-1.0
2020-12-26,UTA,False,False,W,18,8.0,2.0,2.0,1.0,0.0,1.0,3.0,8.0,0.375,2.0,4.0,0.5,0.0,0.0,0.0,5.2,-9.0
2020-12-27,LAL,False,True,L,28,11.0,5.0,4.0,2.0,0.0,1.0,5.0,13.0,0.385,1.0,4.0,0.25,0.0,0.0,0.0,7.6,-21.0
2020-12-29,LAC,False,False,L,20,11.0,3.0,1.0,0.0,0.0,0.0,4.0,6.0,0.667,1.0,1.0,1.0,2.0,2.0,1.0,9.6,-12.0
2021-01-01,WAS,True,False,L,24,17.0,6.0,1.0,1.0,2.0,2.0,7.0,10.0,0.7,1.0,3.0,0.333,2.0,3.0,0.667,14.1,4.0
2021-01-03,DEN,True,False,L,23,13.0,4.0,1.0,0.0,1.0,2.0,6.0,9.0,0.667,0.0,2.0,0.0,1.0,2.0,0.5,7.3,0.0
2021-01-05,DEN,False,False,L,10,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-13.0
2021-01-07,POR,False,False,L,16,13.0,5.0,1.0,0.0,1.0,0.0,4.0,7.0,0.571,1.0,3.0,0.333,4.0,7.0,0.571,10.6,-2.0
2021-01-09,SAS,True,False,L,16,16.0,7.0,1.0,0.0,3.0,2.0,6.0,8.0,0.75,3.0,4.0,0.75,1.0,2.0,0.5,15.3,5.0
2021-01-10,SAS,True,True,W,29,11.0,7.0,1.0,0.0,1.0,3.0,3.0,7.0,0.429,1.0,4.0,0.25,4.0,4.0,1.0,7.0,-5.0
2021-01-13,MEM,True,False,L,14,9.0,3.0,0.0,0.0,0.0,2.0,3.0,6.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,4.5,-16.0
2021-01-18,ATL,False,False,L,28,9.0,2.0,1.0,2.0,1.0,2.0,4.0,9.0,0.444,1.0,2.0,0.5,0.0,0.0,0.0,5.5,-7.0
2021-01-20,ORL,True,False,L,29,14.0,3.0,1.0,0.0,3.0,1.0,5.0,8.0,0.625,2.0,4.0,0.5,2.0,2.0,1.0,12.7,-4.0
2021-01-22,ATL,True,False,L,25,13.0,8.0,2.0,1.0,4.0,0.0,6.0,7.0,0.857,1.0,2.0,0.5,0.0,0.0,0.0,16.9,-1.0
2021-01-23,NOP,True,True,W,27,20.0,4.0,2.0,0.0,1.0,1.0,5.0,10.0,0.5,2.0,4.0,0.5,8.0,8.0,1.0,16.1,8.0
2021-01-25,GSW,False,False,L,24,11.0,10.0,1.0,0.0,2.0,2.0,5.0,16.0,0.313,1.0,6.0,0.167,0.0,0.0,0.0,4.1,-11.0
2021-01-27,GSW,False,False,L,27,19.0,7.0,1.0,3.0,5.0,3.0,6.0,10.0,0.6,1.0,2.0,0.5,6.0,9.0,0.667,19.9,-17.0
2021-02-01,CLE,False,False,L,13,12.0,3.0,0.0,0.0,0.0,0.0,5.0,11.0,0.455,2.0,3.0,0.667,0.0,0.0,0.0,6.0,5.0
2021-02-03,SAS,False,False,L,32,8.0,11.0,3.0,2.0,0.0,1.0,3.0,7.0,0.429,2.0,3.0,0.667,0.0,0.0,0.0,9.9,-5.0
2021-02-05,OKC,False,False,W,28,17.0,9.0,1.0,0.0,1.0,0.0,8.0,12.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,15.1,-8.0
2021-02-06,OKC,False,True,L,27,29.0,6.0,0.0,2.0,0.0,3.0,12.0,21.0,0.571,1.0,4.0,0.25,4.0,6.0,0.667,19.5,-4.0
