date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-10-22,TOR,False,False,L,12,3.0,4.0,2.0,2.0,0.0,1.0,1.0,10.0,0.1,1.0,7.0,0.143,0.0,0.0,0.0,-0.4,6.0
2019-10-25,DAL,True,False,L,15,6.0,1.0,6.0,0.0,0.0,1.0,2.0,9.0,0.222,2.0,5.0,0.4,0.0,0.0,0.0,3.6,7.0
2019-10-26,HOU,False,True,L,12,2.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,-1.9,-3.0
2019-10-28,GSW,True,False,L,24,15.0,4.0,9.0,1.0,0.0,1.0,6.0,11.0,0.545,2.0,4.0,0.5,1.0,2.0,0.5,16.0,6.0
2019-10-31,DEN,True,False,W,12,0.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.3,5.0
2019-11-02,OKC,False,False,L,8,4.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,1.0,0.0,2.0,2.0,1.0,0.4,-6.0
2019-11-04,BKN,False,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,-1.0
2019-11-08,TOR,True,False,L,16,13.0,2.0,4.0,0.0,0.0,2.0,4.0,8.0,0.5,3.0,5.0,0.6,2.0,2.0,1.0,9.6,5.0
2019-11-09,CHA,False,True,W,8,5.0,2.0,0.0,0.0,0.0,5.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,-2.2,-6.0
2019-11-11,HOU,True,False,L,11,2.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,-2.2,-9.0
2019-11-14,LAC,True,False,W,21,2.0,2.0,3.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.1,12.0
2019-11-16,MIA,False,False,L,30,27.0,4.0,3.0,0.0,0.0,3.0,10.0,18.0,0.556,6.0,9.0,0.667,1.0,2.0,0.5,17.9,-6.0
2019-11-17,GSW,True,True,W,35,19.0,5.0,4.0,1.0,0.0,1.0,7.0,18.0,0.389,5.0,13.0,0.385,0.0,0.0,0.0,11.9,0.0
2019-11-19,POR,True,False,W,16,3.0,4.0,1.0,0.0,0.0,2.0,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,-1.7,5.0
2019-11-21,PHX,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2019-11-24,LAC,False,False,L,3,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,0.5,0.8,-7.0
2019-12-03,DAL,True,False,L,12,7.0,3.0,0.0,0.0,0.0,0.0,3.0,9.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,3.2,-12.0
2019-12-05,PHX,True,False,L,11,7.0,2.0,1.0,1.0,0.0,1.0,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,0.0,3.9,3.0
2019-12-07,DAL,False,False,L,21,7.0,4.0,2.0,1.0,0.0,2.0,3.0,10.0,0.3,0.0,4.0,0.0,1.0,2.0,0.5,2.8,-22.0
2019-12-09,DET,True,False,L,6,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.0,-4.0
2019-12-11,MIL,False,False,L,10,6.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,4.3,-6.0
2019-12-13,PHI,False,False,L,10,3.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,2.9,1.0
2019-12-17,BKN,True,False,L,23,9.0,4.0,4.0,0.0,0.0,1.0,4.0,7.0,0.571,1.0,4.0,0.25,0.0,0.0,0.0,8.3,6.0
2019-12-18,MIN,False,True,W,7,0.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-4.0
2019-12-20,GSW,False,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,0.0
2019-12-23,POR,False,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,-6.0
2019-12-28,IND,True,False,W,4,5.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.3,-2.0
2020-01-06,UTA,True,False,L,15,5.0,5.0,2.0,0.0,0.0,1.0,2.0,5.0,0.4,1.0,2.0,0.5,0.0,2.0,0.0,2.6,9.0
2020-01-08,CHI,True,False,W,20,11.0,4.0,6.0,0.0,0.0,2.0,4.0,8.0,0.5,2.0,5.0,0.4,1.0,3.0,0.333,9.6,8.0
2020-01-10,NYK,False,False,W,24,9.0,1.0,4.0,0.0,0.0,1.0,3.0,8.0,0.375,3.0,7.0,0.429,0.0,0.0,0.0,6.3,14.0
2020-01-11,BOS,False,True,L,23,5.0,3.0,4.0,0.0,0.0,0.0,2.0,10.0,0.2,1.0,5.0,0.2,0.0,0.0,0.0,1.7,-22.0
2020-01-13,DET,False,False,W,14,5.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,0.25,0.0,1.0,0.0,3.0,3.0,1.0,1.2,-2.0
2020-01-16,UTA,True,False,W,16,12.0,1.0,3.0,1.0,1.0,0.0,5.0,11.0,0.455,2.0,4.0,0.5,0.0,0.0,0.0,10.0,2.0
2020-01-18,LAC,True,False,L,14,10.0,2.0,1.0,0.0,1.0,2.0,3.0,6.0,0.5,2.0,5.0,0.4,2.0,4.0,0.5,5.4,-9.0
2020-01-20,MEM,False,False,W,13,2.0,2.0,5.0,0.0,1.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,4.4,5.0
2020-01-22,SAS,True,False,L,5,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-9.0
2020-01-24,DEN,True,False,L,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-2.0
2020-01-28,CLE,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,MEM,True,False,W,6,0.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.1,-1.0
2020-02-06,CHI,False,False,W,4,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-14.0
2020-02-11,POR,True,False,W,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-1.0
2020-08-01,LAC,False,False,L,12,15.0,1.0,2.0,2.0,0.0,0.0,6.0,7.0,0.857,2.0,3.0,0.667,1.0,2.0,0.5,14.2,14.0
2020-08-03,MEM,True,False,W,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-7.0
2020-08-06,SAC,False,False,L,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,1.0
2020-08-09,SAS,True,False,L,8,3.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,-1.4,3.0
2020-08-11,SAC,False,False,L,25,9.0,0.0,6.0,2.0,1.0,3.0,3.0,10.0,0.3,1.0,5.0,0.2,2.0,2.0,1.0,6.3,6.0
2020-08-13,ORL,False,False,L,36,29.0,1.0,7.0,1.0,0.0,6.0,11.0,18.0,0.611,2.0,6.0,0.333,5.0,5.0,1.0,19.8,-11.0
2020-12-23,TOR,False,False,W,4,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.3,-2.0
2020-12-29,PHX,False,False,L,22,11.0,0.0,4.0,1.0,0.0,1.0,4.0,10.0,0.4,0.0,1.0,0.0,3.0,3.0,1.0,6.8,-9.0
2020-12-31,OKC,False,False,W,19,14.0,3.0,1.0,2.0,0.0,3.0,6.0,13.0,0.462,2.0,5.0,0.4,0.0,0.0,0.0,7.5,24.0
2021-01-02,TOR,True,False,W,7,3.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,0.0,0.9,-8.0
2021-01-04,IND,True,False,L,11,6.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,4.6,-7.0
2021-01-06,OKC,True,False,L,27,13.0,5.0,1.0,2.0,0.0,1.0,5.0,14.0,0.357,0.0,5.0,0.0,3.0,3.0,1.0,7.6,9.0
2021-01-08,CHA,True,False,L,15,5.0,1.0,2.0,0.0,0.0,2.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,0.8,-6.0
2021-01-13,LAC,False,False,L,33,37.0,8.0,1.0,1.0,0.0,1.0,15.0,23.0,0.652,5.0,8.0,0.625,2.0,2.0,1.0,29.2,-4.0
2021-01-15,LAL,False,False,L,20,12.0,3.0,2.0,0.0,0.0,5.0,5.0,8.0,0.625,2.0,3.0,0.667,0.0,0.0,0.0,3.7,-5.0
2021-01-17,SAC,False,False,W,33,9.0,5.0,5.0,2.0,0.0,0.0,3.0,8.0,0.375,1.0,3.0,0.333,2.0,5.0,0.4,10.0,-2.0
2021-01-19,UTA,False,False,L,31,9.0,5.0,2.0,2.0,1.0,2.0,4.0,13.0,0.308,1.0,6.0,0.167,0.0,0.0,0.0,4.7,-13.0
2021-01-21,UTA,False,False,L,18,11.0,1.0,3.0,1.0,0.0,2.0,3.0,7.0,0.429,0.0,2.0,0.0,5.0,7.0,0.714,7.5,8.0
2021-01-23,MIN,False,False,L,21,10.0,3.0,1.0,0.0,0.0,2.0,3.0,6.0,0.5,1.0,4.0,0.25,3.0,3.0,1.0,5.4,-10.0
2021-01-27,WAS,True,False,W,30,8.0,5.0,5.0,2.0,1.0,2.0,3.0,11.0,0.273,2.0,6.0,0.333,0.0,0.0,0.0,6.8,11.0
