date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2015-10-28,HOU,False,False,W,4,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0
2015-10-30,MIN,True,False,L,18,10.0,9.0,1.0,0.0,0.0,2.0,5.0,8.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,7.8,10.0
2015-11-01,OKC,False,False,L,24,8.0,4.0,0.0,0.0,0.0,1.0,4.0,9.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,3.9,-2.0
2015-11-05,UTA,True,False,L,18,5.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,3.0,4.0,0.75,2.8,-6.0
2015-11-06,GSW,False,True,L,17,4.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,4.2,-5.0
2015-11-09,POR,True,False,W,16,10.0,2.0,1.0,2.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,10.6,-1.0
2015-11-11,MIL,True,False,W,14,8.0,5.0,4.0,2.0,0.0,2.0,4.0,7.0,0.571,0.0,0.0,0.0,0.0,1.0,0.0,9.8,9.0
2015-11-13,HOU,True,False,W,6,3.0,5.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,1.4,5.0
2015-11-14,PHX,False,True,L,18,4.0,6.0,0.0,3.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,7.1,2.0
2015-11-17,NOP,False,False,W,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
2015-11-18,SAS,False,True,L,32,23.0,12.0,0.0,2.0,3.0,0.0,8.0,13.0,0.615,1.0,1.0,1.0,6.0,6.0,1.0,26.4,-2.0
2015-11-20,PHX,True,False,L,18,6.0,4.0,1.0,1.0,0.0,0.0,2.0,6.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,5.1,-9.0
2015-11-22,GSW,True,False,L,27,11.0,11.0,2.0,2.0,1.0,1.0,3.0,7.0,0.429,0.0,0.0,0.0,5.0,7.0,0.714,14.5,-12.0
2015-11-24,LAC,True,False,L,24,16.0,6.0,2.0,0.0,0.0,1.0,7.0,13.0,0.538,0.0,1.0,0.0,2.0,3.0,0.667,9.9,-4.0
2015-11-27,SAS,True,False,L,12,6.0,2.0,0.0,0.0,0.0,3.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.8,5.0
2015-11-28,DAL,False,True,L,19,8.0,6.0,0.0,1.0,0.0,3.0,2.0,3.0,0.667,1.0,1.0,1.0,3.0,4.0,0.75,5.7,-7.0
2015-11-30,MIL,False,False,L,25,8.0,6.0,2.0,0.0,2.0,1.0,4.0,7.0,0.571,0.0,1.0,0.0,0.0,2.0,0.0,7.5,-14.0
2015-12-02,CHI,False,False,L,10,7.0,3.0,0.0,0.0,1.0,0.0,3.0,6.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,5.2,-1.0
2015-12-03,TOR,False,True,W,14,8.0,6.0,0.0,0.0,0.0,0.0,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,6.9,3.0
2015-12-08,ORL,True,False,L,17,4.0,4.0,1.0,0.0,0.0,0.0,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.0
2015-12-11,MIN,True,False,W,25,19.0,6.0,4.0,1.0,0.0,2.0,5.0,10.0,0.5,1.0,2.0,0.5,8.0,8.0,1.0,16.8,9.0
2015-12-14,HOU,True,False,W,22,9.0,7.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,10.5,24.0
2015-12-15,MIN,False,True,W,21,6.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,7.7,12.0
2015-12-18,UTA,False,False,L,21,7.0,10.0,0.0,1.0,0.0,2.0,1.0,5.0,0.2,0.0,2.0,0.0,5.0,6.0,0.833,5.5,-5.0
2015-12-20,NOP,True,False,L,23,13.0,3.0,2.0,0.0,1.0,0.0,6.0,8.0,0.75,0.0,1.0,0.0,1.0,2.0,0.5,12.0,11.0
2015-12-22,LAL,True,False,L,30,15.0,10.0,5.0,0.0,0.0,3.0,5.0,7.0,0.714,0.0,0.0,0.0,5.0,6.0,0.833,17.2,3.0
2015-12-23,PHX,False,True,W,22,13.0,9.0,2.0,1.0,0.0,2.0,5.0,7.0,0.714,1.0,2.0,0.5,2.0,2.0,1.0,14.0,18.0
2015-12-26,SAS,False,False,L,26,22.0,7.0,5.0,1.0,1.0,3.0,10.0,19.0,0.526,1.0,2.0,0.5,1.0,2.0,0.5,17.0,7.0
2015-12-27,OKC,False,True,L,17,7.0,3.0,2.0,1.0,0.0,2.0,3.0,7.0,0.429,1.0,1.0,1.0,0.0,0.0,0.0,3.4,4.0
2015-12-29,CLE,True,False,L,22,10.0,7.0,1.0,1.0,1.0,2.0,4.0,11.0,0.364,0.0,0.0,0.0,2.0,3.0,0.667,4.4,4.0
2015-12-30,POR,False,True,L,18,10.0,6.0,1.0,0.0,2.0,2.0,3.0,6.0,0.5,0.0,0.0,0.0,4.0,4.0,1.0,10.1,0.0
2016-01-02,GSW,False,False,L,5,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-18.0
2016-01-03,POR,True,True,L,22,9.0,10.0,2.0,2.0,1.0,2.0,3.0,7.0,0.429,0.0,1.0,0.0,3.0,4.0,0.75,9.6,0.0
2016-01-06,MIN,False,False,W,26,4.0,5.0,3.0,0.0,0.0,2.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,3.3,-7.0
