date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2015-10-28,BOS,False,False,L,28,4.0,1.0,4.0,3.0,1.0,3.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,3.9,-19.0
2015-10-30,UTA,True,False,L,26,2.0,2.0,4.0,2.0,0.0,3.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
2015-11-02,CLE,True,False,L,23,6.0,7.0,12.0,1.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,15.9,12.0
2015-11-04,MIL,False,False,L,35,7.0,9.0,12.0,0.0,0.0,1.0,3.0,4.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,15.1,4.0
2015-11-06,CLE,False,False,L,25,8.0,1.0,4.0,1.0,0.0,3.0,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,5.7,-16.0
2015-11-07,ORL,True,True,L,36,6.0,8.0,9.0,3.0,2.0,5.0,3.0,9.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,8.6,1.0
2015-11-09,CHI,True,False,L,29,6.0,5.0,8.0,0.0,2.0,2.0,3.0,8.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,8.1,-18.0
2015-11-11,TOR,True,False,L,31,2.0,4.0,13.0,0.0,0.0,2.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,6.0,-13.0
2015-11-13,OKC,False,False,L,34,10.0,4.0,3.0,0.0,0.0,2.0,5.0,8.0,0.625,0.0,1.0,0.0,0.0,0.0,0.0,7.3,-24.0
2015-11-14,SAS,False,True,L,26,8.0,5.0,1.0,2.0,0.0,3.0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,5.8,-20.0
2015-11-16,DAL,True,False,L,34,13.0,7.0,6.0,2.0,1.0,4.0,6.0,9.0,0.667,1.0,3.0,0.333,0.0,0.0,0.0,12.9,5.0
2015-11-18,IND,True,False,L,20,16.0,6.0,3.0,0.0,0.0,5.0,7.0,9.0,0.778,2.0,3.0,0.667,0.0,0.0,0.0,11.4,-9.0
2015-11-20,CHA,False,False,L,27,5.0,7.0,6.0,1.0,0.0,1.0,2.0,8.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,6.1,-12.0
2015-11-21,MIA,False,True,L,30,6.0,5.0,5.0,2.0,0.0,5.0,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,4.2,-19.0
2015-11-23,MIN,False,False,L,26,4.0,3.0,8.0,3.0,0.0,3.0,2.0,9.0,0.222,0.0,2.0,0.0,0.0,0.0,0.0,3.8,-4.0
2015-11-25,BOS,False,False,L,20,6.0,3.0,1.0,1.0,1.0,4.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,3.7,-5.0
2015-11-27,HOU,False,False,L,26,6.0,5.0,6.0,2.0,0.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,9.9,10.0
2015-11-29,MEM,False,False,L,22,7.0,3.0,6.0,0.0,0.0,3.0,3.0,5.0,0.6,1.0,1.0,1.0,0.0,1.0,0.0,4.8,4.0
2015-12-01,LAL,True,False,W,21,7.0,5.0,6.0,2.0,0.0,1.0,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,10.7,-2.0
2015-12-02,NYK,False,True,L,26,9.0,3.0,2.0,1.0,0.0,0.0,4.0,9.0,0.444,0.0,1.0,0.0,1.0,2.0,0.5,7.2,-5.0
2015-12-05,DEN,True,False,L,30,10.0,8.0,6.0,3.0,0.0,2.0,4.0,10.0,0.4,1.0,2.0,0.5,1.0,2.0,0.5,11.4,-4.0
2015-12-07,SAS,True,False,L,18,2.0,2.0,2.0,0.0,0.0,1.0,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,-1.2,-13.0
2015-12-10,BKN,False,False,L,24,17.0,1.0,1.0,3.0,0.0,2.0,6.0,9.0,0.667,3.0,4.0,0.75,2.0,2.0,1.0,14.7,3.0
2015-12-11,DET,True,True,L,25,6.0,8.0,7.0,1.0,0.0,3.0,3.0,8.0,0.375,0.0,1.0,0.0,0.0,0.0,0.0,6.9,3.0
2015-12-13,TOR,False,False,L,12,2.0,5.0,3.0,0.0,0.0,2.0,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.5,-9.0
2015-12-14,CHI,False,True,L,22,7.0,6.0,3.0,1.0,0.0,1.0,3.0,11.0,0.273,1.0,2.0,0.5,0.0,0.0,0.0,4.4,3.0
2015-12-16,ATL,False,False,L,17,5.0,2.0,4.0,1.0,0.0,3.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,5.1,8.0
2015-12-18,NYK,True,False,L,14,5.0,5.0,3.0,1.0,0.0,0.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,9.1,12.0
2015-12-20,CLE,False,False,L,15,10.0,5.0,3.0,1.0,0.0,3.0,4.0,6.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,9.0,3.0
2015-12-22,MEM,True,False,L,18,2.0,2.0,3.0,0.0,0.0,3.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,-1.5,-9.0
2015-12-23,MIL,False,True,L,15,0.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,-12.0
2015-12-26,PHX,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2015-12-28,UTA,False,False,L,12,2.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.9,8.0
2015-12-30,SAC,False,False,W,15,0.0,1.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-9.0
2016-01-01,LAL,False,False,L,23,12.0,4.0,7.0,0.0,1.0,4.0,5.0,6.0,0.833,1.0,2.0,0.5,1.0,2.0,0.5,11.8,-7.0
2016-01-02,LAC,False,True,L,19,0.0,1.0,7.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.3,-5.0
2016-01-04,MIN,True,False,W,18,9.0,4.0,6.0,4.0,0.0,0.0,4.0,8.0,0.5,1.0,5.0,0.2,0.0,0.0,0.0,14.8,10.0
2016-01-07,ATL,True,False,L,9,0.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-18.0
2016-01-09,TOR,True,False,L,15,5.0,1.0,8.0,2.0,0.0,0.0,2.0,6.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,9.1,0.0
2016-01-10,CLE,True,True,L,10,4.0,1.0,1.0,2.0,0.0,2.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,2.3,-6.0
2016-01-14,CHI,True,False,L,18,10.0,3.0,3.0,3.0,0.0,2.0,4.0,5.0,0.8,0.0,1.0,0.0,2.0,3.0,0.667,11.7,18.0
2016-01-16,POR,True,False,W,15,8.0,1.0,7.0,1.0,0.0,1.0,3.0,4.0,0.75,1.0,1.0,1.0,1.0,2.0,0.5,10.0,13.0
2016-01-18,NYK,False,False,L,14,6.0,2.0,7.0,0.0,0.0,0.0,3.0,7.0,0.429,0.0,2.0,0.0,0.0,0.0,0.0,8.2,-1.0
2016-01-20,ORL,False,False,W,18,3.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,2.3,2.0
2016-01-24,BOS,True,False,L,16,8.0,5.0,2.0,2.0,0.0,3.0,4.0,7.0,0.571,0.0,1.0,0.0,0.0,0.0,0.0,6.6,7.0
2016-01-26,PHX,True,False,W,17,9.0,5.0,4.0,3.0,0.0,3.0,4.0,7.0,0.571,0.0,1.0,0.0,1.0,4.0,0.25,8.4,0.0
2016-01-27,DET,False,True,L,17,6.0,2.0,6.0,0.0,0.0,2.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,5.6,3.0
2016-01-30,GSW,True,False,L,21,6.0,4.0,4.0,3.0,0.0,0.0,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,9.6,6.0
2016-02-03,ATL,True,False,L,17,2.0,1.0,3.0,1.0,0.0,2.0,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,-17.0
2016-02-05,WAS,False,False,L,18,9.0,2.0,4.0,1.0,0.0,1.0,4.0,6.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,9.4,5.0
2016-02-06,BKN,True,True,W,28,17.0,2.0,6.0,2.0,0.0,2.0,7.0,10.0,0.7,2.0,2.0,1.0,1.0,2.0,0.5,17.2,6.0
2016-02-08,LAC,True,False,L,20,4.0,3.0,4.0,0.0,0.0,3.0,2.0,9.0,0.222,0.0,1.0,0.0,0.0,0.0,0.0,-1.2,-18.0
2016-02-10,SAC,True,False,L,17,4.0,5.0,3.0,1.0,0.0,1.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,6.1,-7.0
2016-02-19,NOP,False,False,L,7,2.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0
2016-02-21,DAL,False,False,L,16,6.0,1.0,6.0,2.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,0.0,8.9,-11.0
2016-02-23,ORL,True,False,L,17,8.0,0.0,4.0,1.0,0.0,2.0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-7.0
2016-02-26,WAS,True,False,L,18,10.0,2.0,2.0,0.0,0.0,0.0,5.0,10.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,6.6,-15.0
2016-02-28,ORL,False,False,L,20,2.0,2.0,4.0,1.0,0.0,0.0,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,2.9,1.0
2016-02-29,WAS,False,True,L,17,8.0,4.0,6.0,0.0,0.0,0.0,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,9.7,-11.0
2016-03-02,CHA,True,False,L,16,4.0,3.0,5.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,5.6,-12.0
2016-03-04,MIA,True,False,L,16,3.0,0.0,3.0,3.0,0.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,3.5,-10.0
2016-03-06,MIA,False,False,L,12,4.0,2.0,3.0,1.0,0.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.3,15.0
2016-03-09,HOU,True,False,L,13,5.0,3.0,2.0,0.0,0.0,2.0,2.0,3.0,0.667,0.0,1.0,0.0,1.0,1.0,1.0,4.0,-14.0
2016-03-11,BKN,True,False,W,16,10.0,2.0,4.0,0.0,0.0,1.0,4.0,6.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,9.8,6.0
2016-03-12,DET,True,True,L,17,6.0,2.0,3.0,2.0,0.0,2.0,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,5.7,4.0
2016-03-15,BKN,False,False,L,20,8.0,4.0,5.0,2.0,0.0,3.0,4.0,7.0,0.571,0.0,1.0,0.0,0.0,0.0,0.0,8.4,8.0
2016-03-17,WAS,True,False,L,18,6.0,2.0,3.0,0.0,0.0,1.0,3.0,10.0,0.3,0.0,2.0,0.0,0.0,0.0,0.0,1.5,-15.0
2016-03-18,OKC,True,True,L,19,8.0,1.0,5.0,1.0,0.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,2.0,2.0,1.0,9.4,7.0
2016-03-20,BOS,True,False,L,17,5.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,5.4,2.0
2016-03-21,IND,False,True,L,21,4.0,3.0,4.0,0.0,0.0,2.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,2.6,-5.0
2016-03-23,DEN,False,False,L,20,17.0,3.0,5.0,2.0,0.0,2.0,7.0,10.0,0.7,1.0,1.0,1.0,2.0,2.0,1.0,16.8,5.0
2016-03-26,POR,False,False,L,14,4.0,0.0,2.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0
