date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2012-01-07,LAC,False,False,L,9,4.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.9,7.0
2012-01-08,PHX,False,True,L,23,15.0,4.0,2.0,0.0,0.0,1.0,4.0,8.0,0.5,0.0,1.0,0.0,7.0,10.0,0.7,11.4,11.0
2012-01-10,SAS,True,False,W,16,6.0,1.0,0.0,1.0,1.0,2.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,3.2,7.0
2012-01-12,DET,True,False,W,5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,-7.0
2012-01-13,DAL,False,True,L,17,6.0,4.0,1.0,0.0,0.0,4.0,1.0,6.0,0.167,0.0,2.0,0.0,4.0,4.0,1.0,-0.7,-18.0
2012-01-16,PHI,False,False,L,22,12.0,3.0,0.0,0.0,1.0,1.0,5.0,8.0,0.625,0.0,0.0,0.0,2.0,4.0,0.5,9.0,1.0
2012-01-17,DEN,True,True,L,27,14.0,8.0,3.0,1.0,0.0,2.0,5.0,10.0,0.5,0.0,1.0,0.0,4.0,4.0,1.0,12.9,13.0
2012-01-20,NYK,False,False,W,8,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.2,-5.0
2012-01-22,MIA,False,False,W,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0
2012-01-25,HOU,False,False,W,3,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.3,-7.0
2012-01-27,CHI,False,False,L,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,2.0
2012-01-28,LAL,True,True,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2012-01-30,DET,True,False,W,4,8.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,0.667,2.0,2.0,1.0,2.0,2.0,1.0,6.6,1.0
2012-02-03,DET,False,False,L,11,8.0,5.0,0.0,0.0,1.0,0.0,2.0,6.0,0.333,0.0,1.0,0.0,4.0,4.0,1.0,7.6,2.0
2012-02-04,CHI,True,True,L,30,19.0,2.0,0.0,1.0,0.0,0.0,8.0,14.0,0.571,1.0,2.0,0.5,2.0,2.0,1.0,14.4,-10.0
2012-02-07,PHX,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012-02-13,MIA,True,False,L,8,3.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,2.9,5.0
2012-02-15,NOH,True,False,L,4,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.4,2.0
