date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-05-19,CON,True,False,L,24,15.0,9.0,1.0,1.0,1.0,1.0,6.0,10.0,0.6,0.0,1.0,0.0,3.0,6.0,0.5,12.5,-2.0
2023-05-21,NYL,False,False,L,29,15.0,4.0,2.0,1.0,2.0,1.0,5.0,7.0,0.714,0.0,0.0,0.0,5.0,6.0,0.833,15.7,-18.0
2023-05-28,ATL,False,False,W,26,13.0,7.0,1.0,1.0,0.0,2.0,5.0,7.0,0.714,0.0,0.0,0.0,3.0,4.0,0.75,10.7,2.0
2023-05-30,CON,False,False,L,29,20.0,4.0,4.0,0.0,2.0,0.0,8.0,12.0,0.667,1.0,1.0,1.0,3.0,4.0,0.75,19.0,-11.0
2023-06-04,LVA,True,False,L,22,7.0,4.0,1.0,0.0,1.0,2.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,2.0,0.5,4.4,-17.0
2023-06-06,CHI,False,False,L,39,25.0,11.0,1.0,1.0,2.0,0.0,12.0,15.0,0.8,0.0,0.0,0.0,1.0,1.0,1.0,26.1,0.0
2023-06-09,MIN,False,False,W,33,10.0,11.0,2.0,2.0,2.0,1.0,3.0,9.0,0.333,0.0,0.0,0.0,4.0,6.0,0.667,12.0,8.0
2023-06-11,PHO,True,False,L,23,4.0,7.0,5.0,0.0,2.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.6,2.0
2023-06-13,WAS,True,False,W,30,23.0,14.0,6.0,1.0,1.0,1.0,11.0,14.0,0.786,0.0,0.0,0.0,1.0,2.0,0.5,27.9,22.0
2023-06-15,CHI,False,False,W,33,19.0,8.0,0.0,0.0,0.0,1.0,6.0,10.0,0.6,0.0,0.0,0.0,7.0,7.0,1.0,16.2,0.0
2023-06-18,ATL,True,False,L,32,25.0,6.0,0.0,1.0,4.0,2.0,10.0,15.0,0.667,0.0,0.0,0.0,5.0,5.0,1.0,20.5,-5.0
2023-06-22,SEA,False,False,W,31,9.0,11.0,5.0,0.0,2.0,1.0,3.0,8.0,0.375,0.0,0.0,0.0,3.0,4.0,0.75,12.2,10.0
2023-06-24,LVA,False,False,L,31,18.0,9.0,0.0,3.0,1.0,0.0,8.0,11.0,0.727,0.0,0.0,0.0,2.0,2.0,1.0,19.1,-5.0
2023-06-26,LVA,False,False,L,34,20.0,14.0,3.0,2.0,2.0,1.0,7.0,14.0,0.5,0.0,0.0,0.0,6.0,7.0,0.857,23.3,-3.0
2023-06-29,PHO,False,False,L,27,6.0,9.0,4.0,0.0,0.0,3.0,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-17.0
