date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2014-05-16,WAS,False,False,W,31,6.0,12.0,5.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,12.9,15.0
2014-05-18,CON,True,False,W,40,10.0,9.0,2.0,0.0,0.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,10.9,-3.0
2014-05-23,TUL,False,False,W,31,8.0,5.0,1.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,0.0,0.0,4.0,6.0,0.667,4.9,-8.0
2014-05-24,NYL,True,True,W,35,2.0,8.0,1.0,3.0,0.0,2.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.9,9.0
2014-05-26,CHI,False,False,W,23,2.0,7.0,2.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-9.0
2014-05-30,SAN,True,False,W,30,17.0,5.0,0.0,2.0,1.0,0.0,7.0,10.0,0.7,1.0,1.0,1.0,2.0,2.0,1.0,17.0,27.0
2014-06-01,SAN,False,False,W,18,4.0,7.0,5.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,5.1,-2.0
2014-06-06,SEA,False,False,L,23,4.0,8.0,1.0,1.0,0.0,2.0,2.0,7.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-10.0
2014-06-08,LAS,False,False,W,35,15.0,11.0,1.0,0.0,0.0,0.0,6.0,9.0,0.667,0.0,0.0,0.0,3.0,4.0,0.75,16.7,10.0
2014-06-13,ATL,False,False,L,27,6.0,4.0,3.0,1.0,1.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,8.7,-9.0
2014-06-15,PHO,True,False,L,29,10.0,12.0,0.0,1.0,0.0,0.0,4.0,9.0,0.444,0.0,0.0,0.0,2.0,2.0,1.0,11.9,12.0
2014-06-17,LAS,False,False,W,18,6.0,4.0,0.0,1.0,1.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0
2014-06-18,PHO,False,True,L,23,6.0,2.0,2.0,0.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,5.3,-15.0
2014-06-20,WAS,True,False,W,17,2.0,4.0,1.0,0.0,0.0,2.0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,3.0
2014-06-22,IND,True,False,W,16,1.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.4,-8.0
2014-06-27,SEA,False,False,L,26,12.0,3.0,0.0,1.0,1.0,1.0,5.0,9.0,0.556,0.0,0.0,0.0,2.0,2.0,1.0,8.9,3.0
2014-06-29,SEA,True,False,W,24,9.0,4.0,0.0,0.0,1.0,1.0,3.0,5.0,0.6,0.0,0.0,0.0,3.0,4.0,0.75,7.2,10.0
