date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-05-06,WAS,False,False,L,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-13.0
2022-05-08,LAS,True,False,L,14,0.0,2.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-2.6,-2.0
2022-05-13,NYL,False,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,0.0
2022-05-15,ATL,True,False,L,8,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,-0.6,-8.0
2022-05-17,ATL,True,False,L,10,6.0,1.0,2.0,1.0,0.0,0.0,3.0,7.0,0.429,0.0,4.0,0.0,0.0,0.0,0.0,4.2,-1.0
2022-05-20,CON,False,False,L,8,3.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.6,-1.0
2022-05-22,CON,True,False,L,10,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,-0.2,-12.0
2022-05-27,LAS,True,False,W,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.5,-2.0
2022-05-31,WAS,True,False,L,3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.0
2022-06-05,ATL,False,False,L,3,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,6.0
2022-06-08,CON,False,False,L,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-12.0
2022-06-10,NYL,True,False,L,7,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0
2022-06-15,PHO,True,False,L,6,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,4.2,-7.0
2022-06-19,CHI,True,False,W,24,10.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,0.6,1.0,3.0,0.333,3.0,3.0,1.0,8.8,13.0
2022-06-23,DAL,False,False,L,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.4,-9.0
2022-06-27,PHO,False,False,L,11,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-1.0
2022-06-29,PHO,False,False,L,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7,-4.0
2022-07-01,SEA,False,False,L,25,4.0,5.0,2.0,0.0,0.0,0.0,2.0,11.0,0.182,0.0,2.0,0.0,0.0,0.0,0.0,-1.6,-23.0
2022-07-21,LVA,False,False,L,14,6.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,0.333,0.0,1.0,0.0,4.0,4.0,1.0,3.2,3.0
2022-07-24,DAL,True,False,L,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-7.0
2022-07-29,LVA,True,False,L,8,6.0,1.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,6.0,6.0,1.0,7.2,3.0
2022-07-31,LVA,True,False,L,20,4.0,2.0,1.0,1.0,1.0,2.0,1.0,7.0,0.143,0.0,5.0,0.0,2.0,2.0,1.0,0.1,-13.0
2022-08-03,ATL,False,False,L,26,14.0,7.0,1.0,4.0,0.0,4.0,4.0,9.0,0.444,1.0,2.0,0.5,5.0,7.0,0.714,10.1,-8.0
2022-08-06,DAL,False,False,L,35,17.0,3.0,0.0,0.0,0.0,0.0,5.0,8.0,0.625,1.0,4.0,0.25,6.0,6.0,1.0,12.7,-2.0
2022-08-12,WAS,True,False,L,25,6.0,1.0,2.0,0.0,0.0,0.0,2.0,9.0,0.222,2.0,4.0,0.5,0.0,0.0,0.0,1.8,-14.0
2022-08-14,WAS,False,False,L,33,11.0,2.0,4.0,1.0,0.0,2.0,3.0,10.0,0.3,1.0,4.0,0.25,4.0,4.0,1.0,6.4,-4.0
2023-05-19,CON,True,False,L,4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.2,1.0
2023-05-21,NYL,False,False,L,22,3.0,6.0,1.0,1.0,1.0,1.0,1.0,10.0,0.1,0.0,5.0,0.0,1.0,2.0,0.5,0.4,-22.0
2023-05-28,ATL,False,False,W,21,0.0,3.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-3.6,1.0
2023-05-30,CON,False,False,L,20,6.0,5.0,1.0,3.0,0.0,2.0,3.0,8.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,4.0,-6.0
2023-06-04,LVA,True,False,L,11,2.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.3,1.0
2023-06-06,CHI,False,False,L,24,13.0,5.0,2.0,0.0,0.0,1.0,4.0,6.0,0.667,3.0,4.0,0.75,2.0,2.0,1.0,12.7,-8.0
2023-06-09,MIN,False,False,W,10,0.0,1.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-6.7,-4.0
2023-06-11,PHO,True,False,L,16,6.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,0.667,1.0,2.0,0.5,1.0,2.0,0.5,3.8,-8.0
2023-06-13,WAS,True,False,W,22,8.0,5.0,0.0,2.0,0.0,0.0,2.0,4.0,0.5,0.0,2.0,0.0,4.0,4.0,1.0,9.1,9.0
2023-06-15,CHI,False,False,W,10,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-7.0
2023-06-18,ATL,True,False,L,17,2.0,2.0,0.0,1.0,0.0,1.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,-0.9,-6.0
2023-06-22,SEA,False,False,W,18,6.0,0.0,1.0,1.0,0.0,0.0,3.0,5.0,0.6,0.0,1.0,0.0,0.0,1.0,0.0,4.2,-1.0
2023-06-24,LVA,False,False,L,30,15.0,4.0,4.0,1.0,0.0,4.0,6.0,12.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,9.2,-10.0
2023-06-26,LVA,False,False,L,24,5.0,5.0,0.0,2.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,6.1,-3.0
2023-06-29,PHO,False,False,L,23,4.0,1.0,0.0,1.0,0.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-12.0
2023-07-02,CHI,True,False,L,13,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0
2023-07-05,MIN,False,False,L,23,8.0,1.0,1.0,4.0,1.0,0.0,4.0,6.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,9.9,-8.0
2023-07-07,WAS,False,False,L,37,20.0,6.0,3.0,2.0,0.0,1.0,7.0,11.0,0.636,3.0,6.0,0.5,3.0,3.0,1.0,18.8,0.0
2023-07-09,DAL,True,False,L,34,7.0,6.0,2.0,0.0,0.0,1.0,2.0,6.0,0.333,0.0,1.0,0.0,3.0,4.0,0.75,4.2,11.0
2023-07-23,NYL,False,False,L,25,7.0,1.0,0.0,2.0,0.0,2.0,3.0,6.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.3,-16.0
2023-07-25,LAS,False,False,L,25,8.0,2.0,2.0,0.0,2.0,1.0,4.0,8.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,5.6,8.0
2023-07-27,LAS,False,False,L,17,3.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,-0.2,-6.0
2023-07-30,SEA,True,False,L,34,0.0,2.0,4.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.7,-13.0
2023-08-01,PHO,True,False,W,31,3.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,0.333,0.0,2.0,0.0,1.0,2.0,0.5,2.0,-2.0
2023-08-04,CON,True,False,L,18,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.0,-8.0
2023-08-06,ATL,False,False,L,30,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-6.0
