date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2018-05-20,DAL,False,False,L,10,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-6.0
2018-05-23,CHI,False,False,W,4,8.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,-9.0
2018-05-26,DAL,True,False,L,15,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1.0
2018-05-29,MIN,True,False,W,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-3.0
2018-06-08,LVA,False,False,W,9,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0
2018-06-10,SEA,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-12,LAS,False,False,L,11,2.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.0
2018-06-14,IND,True,False,W,8,4.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,6.0
2018-06-16,IND,False,False,L,7,4.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8,-11.0
2018-06-19,NYL,False,False,L,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0
2018-06-22,CON,True,False,W,10,7.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,1.0,1.0,1.0,6.3,14.0
2018-06-27,CHI,False,False,L,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.2,3.0
2018-06-29,MIN,False,False,L,17,4.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,2.7,2.0
2018-07-01,IND,False,False,W,13,2.0,6.0,1.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.8,-2.0
2018-07-06,SEA,True,False,L,13,4.0,4.0,2.0,1.0,0.0,2.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,3.5,13.0
2018-07-08,PHO,True,False,W,13,3.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,-0.8,-10.0
2018-07-11,WAS,False,False,W,8,2.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-5.0
2018-07-13,IND,True,False,W,18,2.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,11.0
2018-07-15,WAS,True,False,W,14,10.0,5.0,1.0,0.0,0.0,0.0,4.0,5.0,0.8,0.0,0.0,0.0,2.0,3.0,0.667,10.7,8.0
2018-07-17,CON,False,False,W,12,4.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,4.6,-6.0
2018-07-19,NYL,True,False,W,14,3.0,5.0,0.0,0.0,0.0,1.0,1.0,5.0,0.2,0.0,0.0,0.0,1.0,2.0,0.5,-0.0,-2.0
