date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2018-05-20,IND,True,False,W,11,6.0,2.0,0.0,2.0,0.0,1.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.0
2018-05-22,LVA,True,False,W,10,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.3,-3.0
2018-05-24,IND,False,False,W,11,6.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,4.7,-4.0
2018-05-27,MIN,True,False,W,25,15.0,13.0,0.0,1.0,1.0,2.0,7.0,8.0,0.875,0.0,0.0,0.0,1.0,2.0,0.5,17.4,36.0
2018-05-29,SEA,False,False,L,34,10.0,11.0,0.0,0.0,0.0,1.0,5.0,9.0,0.556,0.0,0.0,0.0,0.0,0.0,0.0,7.6,-4.0
2018-05-30,PHO,False,True,W,10,2.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-17.0
2018-06-01,LVA,False,False,L,16,5.0,5.0,3.0,2.0,0.0,0.0,2.0,7.0,0.286,0.0,0.0,0.0,1.0,3.0,0.333,5.7,0.0
2018-06-03,CON,True,False,L,22,7.0,1.0,1.0,0.0,0.0,0.0,3.0,10.0,0.3,0.0,1.0,0.0,1.0,2.0,0.5,1.4,-21.0
2018-06-07,MIN,True,False,L,17,2.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-8.0
2018-06-13,CON,False,False,W,8,2.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,10.0
2018-06-15,LAS,True,False,L,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,4.0
2018-06-19,CHI,True,False,W,13,4.0,5.0,1.0,1.0,2.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,3.0,0.667,6.5,-7.0
2018-06-26,CON,True,False,W,13,2.0,7.0,0.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.3,5.0
2018-06-28,NYL,True,False,W,7,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-4.0
2018-07-05,NYL,True,False,W,7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.667,2.0,0.0
2018-07-07,LAS,False,False,W,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.2,-4.0
2018-07-08,SEA,False,True,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
2018-07-11,ATL,True,False,L,16,8.0,4.0,0.0,1.0,0.0,1.0,2.0,5.0,0.4,0.0,0.0,0.0,4.0,5.0,0.8,6.5,-2.0
2018-07-13,CHI,True,False,W,4,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2018-07-15,ATL,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-3.0
2018-07-21,NYL,False,False,W,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-2.0
2018-07-24,CON,False,False,L,11,4.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-7.0
