date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2026-05-09,DAL,True,False,L,12,4.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,5.3,-5.0
2026-05-13,LAS,False,False,W,5,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
2026-05-15,WAS,True,False,L,4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-10.0
2026-05-17,SEA,True,False,W,17,0.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.8,0.0
2026-05-20,PDX,True,False,W,22,9.0,3.0,1.0,0.0,1.0,3.0,3.0,12.0,0.25,1.0,8.0,0.125,2.0,2.0,1.0,-0.5,-8.0
2026-05-22,GSV,True,False,W,15,7.0,2.0,2.0,0.0,0.0,2.0,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,3.1,5.0
2026-05-28,GSV,False,False,L,21,16.0,4.0,2.0,0.0,1.0,1.0,7.0,10.0,0.7,2.0,3.0,0.667,0.0,0.0,0.0,13.7,4.0
2026-05-30,PDX,False,False,L,10,3.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.25,0.0,3.0,0.0,1.0,2.0,0.5,-1.9,-11.0
2026-06-04,ATL,True,False,W,23,5.0,2.0,3.0,2.0,0.0,1.0,2.0,5.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,5.2,15.0
2026-06-06,NYL,False,False,L,17,6.0,2.0,4.0,0.0,0.0,1.0,2.0,7.0,0.286,0.0,2.0,0.0,2.0,2.0,1.0,4.3,-6.0
2026-06-08,WAS,False,False,W,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2026-06-11,CHI,True,False,W,13,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.3,4.0
2026-06-13,CON,False,False,W,3,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,-4.0
2026-06-16,TOR,True,False,W,14,6.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,2.6,15.0
2026-06-18,ATL,True,False,L,3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,-5.0
2026-06-20,ATL,False,False,L,21,9.0,6.0,2.0,0.0,0.0,1.0,4.0,6.0,0.667,1.0,3.0,0.333,0.0,0.0,0.0,8.6,-5.0
