date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-05-25,SEA,False,False,L,12,0.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.6,3.0
2019-05-31,LVA,True,False,W,7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.9,-19.0
2019-06-06,MIN,False,False,L,7,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,6.0
2019-06-09,IND,False,False,W,8,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-3.0
2019-06-11,CHI,False,False,L,9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,7.0
2019-06-23,LAS,True,False,W,12,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.8,-7.0
2019-06-28,IND,True,False,W,22,19.0,3.0,2.0,0.0,1.0,2.0,5.0,6.0,0.833,3.0,3.0,1.0,6.0,7.0,0.857,16.2,17.0
2019-06-30,SEA,False,False,W,17,7.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,0.4,1.0,4.0,0.25,2.0,2.0,1.0,5.6,6.0
2019-07-05,NYL,True,False,L,15,2.0,6.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.7,1.0
2019-07-07,ATL,True,False,W,16,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.5,-5.0
2019-07-10,WAS,False,False,W,7,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,6.0
2019-07-12,CON,False,False,L,3,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0
2019-07-14,MIN,False,False,L,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-9.0
2019-07-17,DAL,True,False,W,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2019-07-20,DAL,False,False,W,17,5.0,0.0,0.0,2.0,0.0,1.0,2.0,4.0,0.5,0.0,2.0,0.0,1.0,1.0,1.0,2.4,-8.0
2019-07-23,IND,True,False,W,23,10.0,4.0,2.0,1.0,0.0,0.0,2.0,4.0,0.5,2.0,3.0,0.667,4.0,4.0,1.0,11.2,-1.0
2019-07-30,WAS,False,False,L,11,0.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.3,-8.0
2019-08-01,CON,False,False,L,19,5.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,5.9,-6.0
2019-08-04,WAS,True,False,W,18,8.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,2.0,3.0,0.667,2.0,2.0,1.0,5.8,14.0
2019-08-08,LAS,False,False,L,19,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,0.0,-1.0
2019-08-10,DAL,True,False,L,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.5,0.0
2019-08-14,CON,True,False,L,21,2.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,-0.5,-20.0
2019-08-16,ATL,True,False,W,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.4,5.0
