date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2020-07-26,ATL,False,False,L,20,13.0,0.0,6.0,0.0,0.0,2.0,4.0,7.0,0.571,3.0,6.0,0.5,2.0,2.0,1.0,11.5,3.0
2020-07-29,NYL,True,False,W,11,7.0,1.0,4.0,0.0,0.0,1.0,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,6.0,4.0
2020-07-31,IND,True,False,W,25,7.0,1.0,5.0,1.0,0.0,1.0,3.0,9.0,0.333,0.0,4.0,0.0,1.0,2.0,0.5,5.3,12.0
2020-08-02,LVA,False,False,L,17,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,2.8,-8.0
2020-08-04,CHI,False,False,L,21,5.0,1.0,2.0,1.0,0.0,0.0,2.0,5.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,4.6,-2.0
2020-08-06,CON,True,False,L,21,10.0,1.0,7.0,2.0,0.0,1.0,4.0,7.0,0.571,1.0,2.0,0.5,1.0,1.0,1.0,12.5,-3.0
2020-08-10,PHO,True,False,L,5,5.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.7,-8.0
2020-08-12,CON,False,False,L,24,13.0,2.0,1.0,2.0,0.0,2.0,4.0,9.0,0.444,3.0,6.0,0.5,2.0,2.0,1.0,8.4,-3.0
2020-08-14,SEA,True,False,L,17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.6,-26.0
2020-08-16,PHO,False,False,W,19,5.0,2.0,3.0,2.0,0.0,0.0,2.0,8.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,4.5,2.0
2020-08-19,MIN,False,False,L,18,2.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-9.0
2020-08-21,WAS,True,False,W,26,10.0,1.0,3.0,1.0,0.0,0.0,4.0,6.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,10.4,-8.0
2020-08-23,LAS,False,False,L,15,5.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,3.0,-3.0
