date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2018-05-20,CON,False,False,L,32,14.0,10.0,0.0,2.0,2.0,2.0,3.0,13.0,0.231,0.0,0.0,0.0,8.0,10.0,0.8,9.7,-22.0
2018-05-22,WAS,False,False,L,31,16.0,8.0,3.0,1.0,1.0,0.0,6.0,16.0,0.375,0.0,0.0,0.0,4.0,8.0,0.5,12.6,-6.0
2018-05-27,SEA,True,False,L,34,27.0,8.0,3.0,1.0,0.0,3.0,9.0,17.0,0.529,0.0,0.0,0.0,9.0,10.0,0.9,20.4,-3.0
2018-05-31,SEA,False,False,L,25,21.0,3.0,2.0,0.0,1.0,1.0,8.0,12.0,0.667,0.0,0.0,0.0,5.0,6.0,0.833,16.6,-34.0
2018-06-01,WAS,True,True,W,31,26.0,12.0,1.0,1.0,3.0,2.0,6.0,15.0,0.4,0.0,0.0,0.0,14.0,18.0,0.778,21.3,12.0
2018-06-03,CHI,False,False,L,22,22.0,5.0,0.0,0.0,2.0,2.0,9.0,15.0,0.6,0.0,0.0,0.0,4.0,7.0,0.571,12.8,6.0
2018-06-08,ATL,True,False,L,30,20.0,9.0,3.0,0.0,0.0,2.0,6.0,18.0,0.333,0.0,0.0,0.0,8.0,10.0,0.8,12.2,2.0
2018-06-10,PHO,False,False,L,33,17.0,7.0,2.0,0.0,0.0,0.0,5.0,17.0,0.294,0.0,0.0,0.0,7.0,8.0,0.875,10.6,-3.0
2018-06-12,IND,False,False,W,40,35.0,13.0,2.0,0.0,3.0,0.0,16.0,24.0,0.667,0.0,0.0,0.0,3.0,6.0,0.5,31.6,12.0
2018-06-13,NYL,False,True,W,30,13.0,2.0,1.0,2.0,1.0,1.0,3.0,11.0,0.273,0.0,0.0,0.0,7.0,8.0,0.875,9.1,18.0
2018-06-15,DAL,False,False,L,31,14.0,3.0,2.0,0.0,4.0,2.0,6.0,10.0,0.6,0.0,0.0,0.0,2.0,4.0,0.5,10.5,-6.0
